,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,buf,tam,151.0,2321.5,414.0,5.6,12.0,5.5,135.0,159.5,232.0,1639.0,10.5,6.5,6.65,81.0,169.0,682.5,5.5,4.0,44.0,40.5,293.5,10.0,67.5,40.35,18.05,110.5,2046.5,388.5,5.25,10.0,4.0,116.5,140.5,209.0,1364.0,7.0,6.0,6.050000000000001,72.0,163.0,682.5,3.0,4.15,31.0,39.0,308.0,13.5,67.5,31.9,14.45,86.5,42.5,49.15,6.5,4.0,61.25,23.0,12.0,46.8,83.0,35.5,42.8,6.0,2.5,44.3,20.5,8.0,38.75,24,18,42,6,-10.0
1,oti,atl,118.5,1849.5,376.5,4.949999999999999,6.5,1.5,112.5,121.5,195.5,1185.0,7.0,5.0,5.55,63.5,163.0,664.5,3.0,4.15,31.5,42.5,340.5,17.5,68.5,36.9,8.9,116.0,2210.5,421.5,5.25,9.0,5.0,128.0,144.0,211.0,1469.5,6.0,4.0,6.449999999999999,74.0,193.0,741.0,4.0,3.8,44.0,38.5,345.0,10.0,68.5,38.1,11.8,78.5,26.5,33.75,6.0,2.5,44.3,19.5,7.0,36.099999999999994,87.0,35.0,40.25,7.5,4.0,55.55,23.0,9.0,39.099999999999994,15,13,28,2,3.0
2,car,htx,112.5,1946.0,397.5,4.9,8.5,4.5,122.5,150.5,227.5,1326.5,6.0,4.0,5.55,71.0,156.0,619.5,5.0,4.0,40.5,43.5,336.0,11.0,64.0,31.25,12.5,160.5,2068.5,378.0,5.5,4.0,1.0,120.0,120.5,192.0,1369.0,10.0,3.0,6.65,71.5,172.5,699.5,6.5,4.050000000000001,38.5,34.0,277.0,10.0,67.5,42.95,5.85,84.0,36.0,42.9,8.0,2.0,16.65,17.5,9.5,55.0,79.0,31.5,39.3,6.0,3.0,51.45,22.5,13.0,56.55,43,20,63,23,3.0
3,pit,jax,124.5,2061.0,406.5,5.050000000000001,11.0,4.5,108.5,150.0,240.0,1535.0,7.5,6.5,5.949999999999999,68.5,152.0,526.0,4.0,3.45,34.0,38.5,351.5,6.0,77.0,27.85,12.55,150.0,2327.5,439.0,5.35,11.0,6.5,131.5,143.5,227.0,1503.5,8.5,4.5,6.15,74.5,194.5,824.0,6.5,4.25,44.0,37.0,300.5,13.0,78.0,34.55,13.75,92.0,33.0,35.95,12.5,6.0,45.0,18.0,9.0,50.0,89.0,33.5,37.85,9.5,3.0,30.7,16.5,9.5,57.8,10,24,34,-14,3.0
4,gnb,min,141.0,2025.5,403.0,5.05,8.0,2.0,124.0,142.5,213.0,1383.5,10.0,6.0,6.1,71.5,175.5,642.0,5.0,3.7,42.0,44.5,357.5,10.5,69.0,35.4,11.55,141.5,2256.0,414.5,5.449999999999999,9.5,5.0,133.0,160.0,235.5,1563.0,11.0,4.5,6.1,81.5,163.5,693.0,3.0,4.2,38.0,37.5,361.0,13.5,67.0,38.150000000000006,13.2,87.0,37.5,43.0,9.5,6.0,63.35,18.0,11.5,63.95,85.0,31.5,37.05,12.0,8.5,70.95,20.5,9.5,46.45,28,23,51,5,0.0
5,clt,nor,152.5,2264.0,445.0,5.1,12.0,5.5,125.5,144.5,238.5,1484.5,8.0,6.5,5.8,72.5,190.5,779.5,7.0,4.05,40.0,47.5,359.0,13.0,86.0,32.5,13.35,162.0,2370.5,492.0,4.8,9.5,4.0,140.0,169.0,263.5,1611.5,6.5,5.5,5.7,80.0,208.5,759.0,8.0,3.65,46.5,37.5,349.0,13.5,86.0,35.85,9.8,98.0,34.5,35.05,11.5,4.0,35.4,21.5,12.0,55.45,106.0,37.0,34.95,11.5,6.5,56.4,22.5,11.0,49.7,27,38,65,-11,0.0
6,mia,nwe,208.5,2707.5,437.5,6.25,7.5,2.5,146.0,160.5,233.0,1787.0,12.0,5.0,7.35,92.0,193.0,920.5,10.5,4.85,45.0,45.5,345.5,9.0,79.0,42.45,9.55,144.0,2238.5,450.5,4.95,9.5,4.5,137.5,164.5,244.5,1546.5,8.5,5.0,5.85,75.0,186.5,692.0,6.5,3.7,49.0,39.0,295.5,13.5,78.0,31.65,12.1,82.5,33.0,40.4,8.0,2.5,32.55,25.5,16.0,61.8,96.0,36.5,38.05,12.0,4.0,31.45,21.0,14.0,66.7,10,20,30,-10,-9.0
7,nyg,nyj,102.0,2030.0,435.0,4.699999999999999,11.5,4.5,123.0,149.0,222.5,1275.0,6.0,7.0,5.2,68.5,187.5,755.0,2.5,4.050000000000001,42.0,38.5,310.5,12.5,73.0,29.15,14.55,143.5,2061.0,381.0,5.35,7.0,2.5,114.5,123.5,202.0,1228.0,6.0,4.5,5.6,61.5,163.5,833.0,6.5,5.1,41.0,42.5,320.5,12.0,71.5,34.2,9.15,97.0,40.5,42.25,8.0,4.5,53.55,18.5,6.5,35.05,79.0,25.0,31.1,6.0,3.0,51.45,20.5,9.5,43.849999999999994,31,17,48,14,3.0
8,was,phi,140.5,2058.5,426.0,4.800000000000001,10.0,5.0,132.5,170.0,261.0,1537.0,10.5,5.0,5.25,85.0,133.0,521.5,4.5,3.9,32.0,43.0,314.5,15.5,76.5,31.5,12.35,188.0,2672.0,478.0,5.6,10.5,4.0,152.5,154.5,240.0,1732.5,11.5,6.5,6.65,78.5,218.0,939.5,6.5,4.35,61.0,40.0,344.0,13.0,75.5,46.4,13.3,86.5,30.5,35.15,11.0,6.0,56.45,22.5,13.5,60.099999999999994,99.0,43.0,43.45,12.0,8.0,65.7,25.5,12.5,48.9,10,13,23,-3,7.0
9,dal,ram,147.5,2130.5,415.5,5.1,5.5,2.0,128.5,134.5,212.0,1362.0,5.0,3.5,6.05,70.5,190.0,768.5,7.0,4.0,44.5,45.0,372.5,13.5,68.0,41.35,7.449999999999999,127.5,2144.0,402.5,5.3,9.5,2.5,124.5,127.5,213.0,1417.0,7.5,7.0,6.1,70.5,172.5,727.0,6.0,4.25,39.0,40.5,356.0,15.0,68.5,36.2,13.35,88.5,38.0,43.1,8.0,3.5,42.1,22.5,10.5,46.8,86.5,35.0,39.75,9.5,5.5,60.25,17.5,10.0,56.65,31,38,69,-7,-7.0
10,sea,cle,129.5,1719.5,346.0,4.95,7.0,3.5,97.5,107.5,175.0,1120.0,6.5,3.5,5.8,53.5,155.0,599.5,6.0,3.9,32.0,44.5,391.0,12.0,72.0,31.55,8.9,126.0,1924.0,417.0,4.6,10.5,4.0,117.5,137.5,221.5,1220.0,5.5,6.5,5.0,65.5,174.0,704.0,6.5,4.0,39.5,42.0,328.5,12.5,73.0,33.55,14.05,75.0,23.5,31.6,4.5,2.0,50.0,19.0,10.5,58.6,88.5,33.5,37.8,9.5,4.0,45.2,13.0,9.0,69.65,24,20,44,4,-4.0
11,sfo,cin,164.0,2344.0,404.5,5.8,8.0,2.5,141.0,125.5,194.0,1438.0,9.5,5.5,6.9,75.0,195.0,906.0,9.0,4.65,51.5,39.5,327.5,14.5,72.0,41.45,11.3,104.5,1829.0,402.5,4.550000000000001,8.5,1.0,113.0,165.5,256.5,1342.0,7.0,7.5,4.9,69.5,131.5,487.0,2.0,3.7,31.5,40.5,321.5,12.0,70.0,29.9,11.95,75.0,32.5,43.3,5.5,2.5,51.8,25.5,15.0,57.85,87.0,32.5,37.099999999999994,8.5,3.5,39.3,13.0,7.0,53.8,17,31,48,-14,-3.0
12,den,kan,126.5,2119.5,404.0,5.25,11.0,6.5,123.0,142.5,225.5,1359.0,10.5,4.5,5.55,68.0,157.5,760.5,1.5,4.85,39.0,39.0,313.0,16.0,71.0,31.05,14.8,197.5,2875.0,460.0,6.25,9.0,2.5,161.5,179.5,249.5,1900.0,15.5,6.5,7.35,94.5,200.0,975.0,6.0,4.85,52.0,51.5,459.0,15.0,73.0,48.650000000000006,10.95,83.5,32.0,38.400000000000006,9.5,4.5,45.0,20.5,10.5,51.1,86.5,38.5,44.2,7.5,4.0,52.25,28.5,16.0,56.150000000000006,24,31,55,-7,7.0
