,home_team,away_team,ht_vegas_line,model_pred,ht_pts_diff
0,nor,jax,-2.0,7.47618174742683,-7
1,tam,atl,-3.0,10.864889982570142,-1
2,nwe,buf,9.0,-8.247853107644598,-3
3,clt,cle,3.0,3.320067172631399,4
4,rav,det,-3.0,2.1537527195529957,18
5,chi,rai,3.0,-3.020903035542183,32
6,nyg,was,3.0,-2.748142798732861,7
7,sea,crd,-8.0,6.47095865849362,-7
8,ram,pit,-3.0,3.8141029840820697,10
9,den,gnb,1.0,-9.624812251858987,2
10,kan,sdg,-6.0,4.268354932509103,14
11,phi,mia,-3.0,-11.328893709776114,14
12,min,sfo,7.0,-6.215508643672656,5
