,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,pit,oti,126.5,2139.0,429.5,5.0,7.0,3.0,116.5,149.0,229.5,1484.0,6.5,4.0,5.95,70.0,180.0,655.0,3.5,3.5999999999999996,37.0,38.5,322.0,9.5,78.5,34.25,7.6,139.5,2377.0,438.5,5.4,11.5,5.0,131.5,134.0,218.5,1491.5,8.5,6.5,6.15,69.5,196.5,885.5,4.5,4.5,45.5,44.5,387.0,16.5,78.0,36.599999999999994,13.9,96.5,35.5,36.8,7.5,3.5,45.55,18.5,7.0,40.05,91.5,35.0,38.0,7.0,3.0,45.85,20.0,8.5,43.2,20,16,36,4,-3.0
1,kan,mia,195.5,2843.0,519.5,5.449999999999999,12.0,5.0,172.5,199.5,289.5,1991.0,13.5,7.0,6.45,98.5,211.5,852.0,6.5,4.05,58.5,44.5,355.5,15.5,85.0,41.25,13.05,200.0,2964.0,490.0,6.0,12.0,5.5,161.0,175.0,266.5,1910.5,15.0,6.5,6.65,99.5,203.5,1053.5,9.0,5.15,50.5,42.0,355.0,11.0,86.0,36.85,14.0,103.0,43.5,42.3,11.5,5.0,43.349999999999994,30.0,17.5,58.55,93.5,37.0,39.8,13.5,6.0,44.2,27.0,17.5,63.2,21,14,35,7,-1.0
2,nor,chi,194.5,2760.5,528.5,5.25,9.5,4.0,158.0,200.5,299.0,2021.5,12.5,5.5,6.45,100.0,214.0,739.0,5.5,3.45,45.5,45.0,404.5,12.5,88.0,38.9,9.7,162.5,2468.0,495.0,5.0,13.0,4.0,142.5,156.5,257.5,1509.5,11.0,9.0,5.449999999999999,77.0,216.0,958.5,5.5,4.449999999999999,52.5,52.5,415.5,13.0,90.0,33.5,14.0,111.5,46.5,42.15,10.0,5.5,55.05,25.5,15.0,60.599999999999994,108.5,41.0,37.9,11.5,4.5,40.05,21.5,13.0,60.6,27,0,27,27,-9.0
3,cle,crd,183.5,2573.0,507.0,5.1,13.5,5.5,161.0,155.5,245.5,1530.5,8.5,8.0,5.699999999999999,81.0,238.0,1042.5,9.5,4.4,63.0,50.5,412.5,17.0,87.5,39.75,14.05,145.0,2184.5,443.0,4.9,9.5,4.5,120.5,137.5,230.0,1295.0,8.0,5.0,5.25,66.0,194.5,889.5,7.0,4.55,42.0,53.0,461.0,12.5,89.0,28.8,10.7,99.0,37.5,38.2,7.0,3.0,41.65,27.5,16.0,58.95,97.5,33.5,34.05,10.0,3.5,50.0,19.5,11.5,59.55,20,3,23,17,-8.0
4,atl,min,150.0,2655.5,525.0,5.05,12.0,6.0,159.5,183.5,268.0,1744.0,9.0,6.0,5.95,94.0,232.5,911.5,6.0,3.9,56.5,50.5,438.5,9.0,87.0,33.4,13.7,168.0,2601.5,492.5,5.300000000000001,11.0,6.5,151.5,189.0,285.0,1900.5,16.5,4.5,6.25,98.0,191.0,701.0,1.0,3.7,34.0,48.5,380.0,19.5,85.5,34.65,12.6,108.0,44.0,40.75,12.0,6.0,49.65,23.5,12.5,53.55,102.5,38.5,37.5,11.0,6.5,54.45,21.0,9.5,44.95,39,37,76,2,-5.0
5,gnb,ram,162.0,2339.0,456.5,5.1,7.0,1.0,141.5,148.0,249.0,1569.0,9.5,6.0,5.949999999999999,83.0,193.0,770.0,6.5,3.95,42.5,50.0,416.5,16.0,79.5,36.85,8.899999999999999,165.5,2605.0,492.5,5.3,7.0,1.5,157.5,162.0,257.0,1705.0,8.0,5.5,6.15,88.0,216.0,900.0,8.0,4.15,55.0,46.0,429.5,14.5,78.0,42.2,8.3,98.5,39.5,40.099999999999994,12.0,6.5,55.0,24.5,13.5,55.15,107.0,44.0,41.05,11.0,8.0,72.5,24.0,12.5,52.650000000000006,28,31,59,-3,-3.0
6,rav,sea,170.0,2562.0,494.5,5.15,10.0,5.5,154.0,166.5,247.0,1650.5,8.5,4.5,6.15,82.5,224.5,911.5,10.5,4.0,55.0,47.5,394.0,16.5,85.5,36.0,11.8,144.5,2277.5,475.0,4.9,9.5,2.5,141.5,171.5,269.5,1503.0,7.5,7.0,5.35,81.0,183.0,774.5,5.0,4.199999999999999,42.5,49.0,411.5,18.0,84.5,33.75,9.45,105.0,47.5,45.25,9.0,3.0,35.4,25.0,17.0,68.19999999999999,102.5,37.5,36.4,11.0,4.0,38.099999999999994,25.0,11.0,42.5,24,17,41,7,-6.0
7,htx,tam,138.0,2397.5,452.0,5.3,9.0,5.0,136.0,160.0,248.0,1731.0,9.0,4.0,6.55,87.5,187.5,666.5,3.5,3.5999999999999996,38.0,45.0,351.0,10.5,74.0,37.8,12.25,124.5,2218.0,440.0,5.050000000000001,7.5,3.5,130.0,165.5,246.0,1598.0,7.5,4.0,6.2,78.5,181.0,620.0,4.5,3.4000000000000004,36.5,48.0,365.0,15.0,73.0,32.85,9.6,99.5,47.0,47.25,7.0,3.5,50.0,22.5,8.0,35.4,96.5,41.0,42.45,6.0,2.5,41.7,20.5,9.0,43.5,17,20,37,-3,-3.0
8,nwe,was,173.0,2635.5,504.0,5.2,12.5,6.0,145.0,177.0,276.0,1828.5,13.5,6.5,6.15,85.5,206.5,807.0,4.5,3.9,49.0,51.5,413.5,10.5,90.0,35.15,13.35,189.5,2563.0,517.0,4.95,9.5,3.5,160.5,196.0,293.5,1828.0,12.0,6.0,5.75,99.0,195.5,735.0,6.5,3.85,44.5,49.0,368.5,17.0,92.5,35.2,10.25,109.0,41.0,37.55,11.5,5.0,44.3,22.5,12.5,57.35,103.0,36.5,35.3,11.0,6.0,55.0,27.0,14.5,53.95,37,3,40,34,-4.0
9,car,clt,178.0,2481.0,510.5,4.8,9.5,4.5,156.5,177.0,276.5,1669.0,9.0,5.0,5.55,88.0,211.0,812.0,8.5,3.85,49.0,42.0,335.0,19.5,89.0,35.75,10.7,202.0,2590.5,477.5,5.45,9.5,4.0,146.0,153.5,240.0,1586.5,10.0,5.5,6.15,83.0,219.0,1004.0,13.0,4.6,53.5,48.0,355.0,9.5,89.0,38.5,10.35,107.5,41.0,38.25,13.0,6.0,47.0,22.0,13.0,58.3,99.5,38.0,37.8,11.0,5.0,52.1,26.5,18.0,68.1,13,27,40,-14,3.0
10,phi,dal,172.0,2555.5,481.5,5.3,13.0,4.5,152.0,156.5,242.0,1645.5,11.0,8.5,6.25,77.5,221.0,910.0,7.5,4.1,56.5,40.5,329.5,18.0,80.5,38.7,16.2,184.5,2435.0,468.5,5.2,8.5,4.0,148.5,187.5,273.5,1763.0,13.0,4.5,6.05,96.5,173.5,672.0,4.0,3.85,38.5,50.5,384.5,13.5,76.5,40.2,9.7,99.5,43.0,42.25,14.0,8.5,59.75,25.0,13.0,52.2,99.0,45.0,45.5,12.0,4.5,37.5,25.0,13.0,52.95,28,23,51,5,-3.0
11,rai,nyg,156.5,2428.5,475.0,5.1,12.0,3.5,148.5,160.5,259.5,1639.0,8.5,8.5,5.9,86.5,197.0,789.5,7.0,3.95,42.5,51.5,441.5,19.5,85.5,30.85,14.5,141.0,2422.0,523.0,4.65,9.0,3.0,150.5,168.5,248.5,1408.5,7.0,6.0,5.1,75.5,246.0,1013.5,7.0,4.1,56.0,51.5,452.0,19.0,87.5,31.1,9.75,95.0,31.5,33.150000000000006,10.0,5.5,52.1,25.5,12.5,48.9,115.5,45.0,39.55,11.5,7.0,61.900000000000006,24.5,12.5,48.8,30,6,36,24,-2.0
12,cin,buf,133.5,2273.5,451.5,5.0,10.0,4.0,138.5,174.0,260.0,1509.0,9.0,6.0,5.35,84.5,169.0,764.5,3.5,4.4,39.5,40.5,322.0,14.5,80.5,30.45,12.25,183.0,2805.0,474.5,5.9,12.5,3.5,164.5,173.0,255.5,1867.5,13.0,9.0,6.85,94.5,202.5,937.5,7.5,4.65,57.0,44.5,357.5,13.0,81.5,39.7,15.4,94.5,35.0,36.85,7.5,2.5,33.05,22.0,11.0,51.7,92.0,42.5,45.95,8.0,3.5,42.1,29.5,17.5,58.45,24,18,42,6,-3.0
13,nyj,sdg,147.0,2324.5,431.5,5.35,11.0,5.5,133.5,154.5,243.0,1616.0,8.5,5.5,5.95,80.0,165.0,708.5,5.5,4.35,39.0,48.0,354.5,14.5,80.5,34.45,12.55,151.5,2421.0,468.5,5.199999999999999,9.5,3.5,141.5,160.5,240.5,1551.5,11.0,6.0,6.05,82.0,212.0,869.5,4.5,4.1,45.0,39.0,347.5,14.5,80.5,36.349999999999994,11.0,86.0,26.0,30.3,10.0,5.5,53.55,23.5,10.5,41.7,100.0,40.5,40.55,7.0,4.0,54.15,23.0,12.0,51.55,6,27,33,-21,4.0
