,home_team,away_team,ht_vegas_line,model_pred,ht_pts_diff
0,chi,car,-3.0,6.207019172394941,3
1,nwe,clt,2.0,-1.6552584710988416,-4
2,rav,cle,-6.0,8.07548759644884,-3
3,pit,gnb,-4.0,3.3006743696676972,-2
4,cin,htx,-7.0,2.5137521063434605,4
5,min,nor,3.0,3.075339742047536,-31
6,tam,oti,0.0,1.0320743282023472,14
7,jax,sfo,3.0,1.8907741182982387,8
8,crd,atl,2.0,1.2413853261182974,-3
9,sdg,det,3.0,0.3604059614312351,2
10,dal,nyg,-17.0,12.43311074137772,32
11,sea,was,-6.0,4.358639531422227,3
12,rai,nyj,-1.0,4.200645670534024,4
13,buf,den,-8.0,7.922191078402947,-2
