,home_team,away_team,ht_vegas_line,model_pred,ht_pts_diff
0,kan,den,-11,-6.8463743,11
1,oti,rav,4,0.5912166225945388,-8
2,mia,car,-14,0.9699814426502034,2
3,jax,clt,-4,0.950501216,4
4,chi,min,3,-6.848848037,-8
5,htx,nor,1,7.311598172502133,17
6,cin,sea,-3,-12.26173028,-6
7,cle,sfo,7,-8.951893429,7
8,atl,was,-3,-0.359485578,21
9,rai,nwe,-3,11.514369559968904,4
10,ram,crd,-7,-5.398257936,6
11,tam,det,3,1.251546672147386,17
12,nyj,phi,7,1.7667474448409433,-14
13,buf,nyg,-14,6.084342110914202,5
14,sdg,dal,2,-6.713902686,-3
