,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,nor,jax,115.5,1974.5,391.0,5.05,11.5,5.5,107.5,147.5,228.0,1461.0,7.0,6.0,5.95,69.0,147.5,513.5,3.5,3.5,32.0,43.5,407.5,6.5,68.0,29.4,14.65,119.0,1847.0,387.0,4.75,9.0,3.5,110.5,128.5,207.5,1217.5,7.0,5.5,5.5,62.5,165.0,629.5,4.0,3.85,33.0,35.0,265.0,15.0,72.5,32.4,12.45,85.5,33.0,38.65,9.5,4.0,41.45,20.0,9.0,44.599999999999994,83.5,28.5,34.1,7.5,2.5,33.3,16.5,8.0,48.55,24,31,55,-7,-2.0
1,tam,atl,105.0,1563.0,328.0,4.75,4.0,1.0,91.0,109.5,173.5,1069.0,8.5,3.0,5.9,58.5,147.0,494.0,1.0,3.35,24.0,35.0,266.0,8.5,59.5,33.5,6.85,93.5,1820.0,361.5,5.05,10.0,4.0,109.0,128.5,198.5,1253.5,6.0,6.0,5.800000000000001,67.0,146.0,566.5,3.0,3.85,34.5,28.0,249.5,7.5,59.5,32.25,17.05,71.5,26.0,36.55,5.0,2.5,54.15,15.0,6.5,43.349999999999994,76.5,33.0,43.4,7.0,3.5,52.2,15.5,6.5,39.35,38,39,77,-1,-3.0
2,nwe,buf,80.5,1819.5,368.0,5.0,12.0,4.5,104.5,129.5,201.0,1167.5,4.5,7.5,5.3,60.0,148.0,652.0,3.5,4.4,34.0,35.0,285.5,10.5,67.5,22.450000000000003,17.9,162.5,2044.5,381.5,5.4,6.0,2.0,120.5,138.0,199.0,1378.0,9.5,4.0,6.550000000000001,72.0,172.0,666.5,6.0,3.9,39.5,37.0,282.5,9.0,66.5,41.55,9.3,82.0,31.5,38.650000000000006,8.5,2.0,24.3,15.0,7.0,52.5,79.0,34.0,43.3,4.5,2.0,42.5,22.0,13.5,60.0,13,16,29,-3,9.0
3,clt,cle,108.5,1537.0,332.5,4.449999999999999,6.0,3.0,83.0,104.5,177.5,989.5,5.0,3.0,4.949999999999999,48.5,140.0,547.5,5.5,3.85,27.5,38.5,308.5,7.0,68.0,26.75,8.7,123.5,1871.0,386.5,4.8,10.0,4.5,111.0,124.0,193.5,1163.0,5.5,5.5,5.4,58.0,175.0,708.0,6.5,4.1,42.0,31.5,284.5,11.0,69.5,35.0,14.75,75.5,24.0,30.75,9.0,3.5,50.0,14.5,8.5,60.85,80.0,27.5,34.05,7.5,4.5,60.0,15.5,9.0,58.099999999999994,29,25,54,4,3.0
4,rav,det,123.0,1875.0,379.0,4.95,8.5,4.0,117.0,131.0,202.5,1246.5,6.5,4.5,5.800000000000001,64.0,161.0,628.5,6.0,3.8,39.0,35.5,302.5,14.0,68.0,33.75,12.5,129.5,1933.5,394.5,4.9,7.0,3.0,116.0,136.0,210.5,1268.0,7.5,4.0,5.65,66.5,167.0,665.5,5.0,4.0,37.5,36.0,306.0,12.0,69.0,34.85,8.7,79.5,32.0,39.65,5.5,2.5,41.05,21.5,12.5,58.099999999999994,89.0,35.5,40.05,8.5,4.0,46.45,18.5,8.0,41.05,30,12,42,18,-3.0
5,chi,rai,129.5,1919.5,369.5,5.15,8.0,2.0,114.0,118.5,181.0,1146.5,9.5,6.0,5.699999999999999,59.0,169.5,773.0,5.0,4.55,44.0,36.5,282.5,11.0,62.0,38.75,12.75,138.0,1947.5,365.5,5.35,8.5,2.5,115.5,138.5,202.5,1458.5,10.0,6.0,6.800000000000001,72.0,151.0,489.0,3.5,3.25,31.5,35.0,301.5,12.0,61.5,37.2,14.05,78.0,32.5,41.7,8.0,4.5,57.900000000000006,18.0,11.5,63.15,76.0,33.5,43.6,6.5,4.5,67.85,20.5,12.0,59.900000000000006,38,6,44,32,3.0
6,nyg,was,123.5,1928.0,394.0,4.9,8.0,2.5,111.0,133.0,204.5,1244.5,7.0,5.5,5.449999999999999,62.0,163.5,683.5,3.5,4.199999999999999,38.5,42.0,354.5,10.5,63.5,37.7,12.6,150.0,1999.5,364.5,5.5,7.5,3.0,124.5,130.0,196.5,1293.5,8.5,4.5,6.15,67.5,148.5,706.0,7.0,4.699999999999999,41.5,36.0,286.5,15.5,65.0,38.7,11.35,87.5,34.5,39.45,12.0,7.0,58.55,18.5,7.5,39.45,70.5,27.5,39.0,5.0,2.5,45.85,21.0,13.0,61.9,14,7,21,7,3.0
7,sea,crd,143.0,1961.5,349.5,5.6,5.0,1.5,126.0,127.0,184.5,1301.0,7.0,3.5,6.5,68.5,150.5,660.5,7.0,4.35,43.5,41.5,363.5,14.0,57.5,44.1,7.7,112.5,1837.0,356.0,5.15,7.0,3.5,111.0,130.0,198.0,1216.0,6.5,3.5,5.7,66.5,143.0,621.0,5.0,4.25,33.0,38.0,301.0,11.5,58.5,36.75,12.0,64.0,25.0,38.35,6.0,2.0,33.3,26.0,13.5,51.65,75.0,33.5,44.7,10.0,4.0,40.4,13.0,8.5,70.0,17,24,41,-7,-8.0
8,ram,pit,124.0,2074.5,373.0,5.6,8.5,3.5,117.5,123.5,204.5,1390.5,7.0,5.0,6.300000000000001,72.0,152.0,684.0,5.0,4.5,36.5,36.0,318.5,9.0,61.0,40.95,13.1,98.0,1661.5,339.0,4.85,5.5,2.0,95.0,107.0,184.0,1094.0,4.5,3.5,5.55,52.5,143.0,567.5,3.0,3.85,32.0,29.0,248.0,10.5,61.5,32.35,8.100000000000001,75.5,30.5,40.2,8.0,4.0,50.0,16.5,9.5,57.5,76.0,29.0,38.1,6.0,2.5,37.5,13.0,5.5,38.0,20,10,30,10,-3.0
9,den,gnb,121.0,1763.5,339.0,5.2,8.0,4.0,108.0,114.5,173.5,1087.0,8.5,4.0,5.7,55.0,148.5,676.5,3.5,4.6,41.5,36.0,331.0,11.5,58.0,36.3,12.75,156.5,2025.0,341.0,5.800000000000001,6.0,1.0,115.0,119.5,178.5,1304.0,11.0,5.0,6.75,64.0,150.5,721.0,6.0,4.55,37.0,42.0,369.0,14.0,60.0,43.5,9.25,69.0,25.5,37.05,7.0,5.0,65.0,18.5,10.0,53.95,66.5,26.5,39.849999999999994,8.5,4.0,47.2,21.0,12.0,58.15,19,17,36,2,1.0
