,home_team,away_team,ht_points_for,ht_yards,ht_plays,ht_yards_per_play,ht_turnovers,ht_fumbles_lost,ht_first_downs,ht_completions,ht_pass_attempts,ht_pass_yards,ht_pass_tds,ht_interceptions,ht_pass_yards_per_attempt,ht_pass_first_downs,ht_rush_attempts,ht_rush_yards,ht_rush_tds,ht_rush_yards_per_attempt,ht_rush_first_downs,ht_penalties,ht_penalty_yards,ht_penalty_first_downs,ht_num_drives,ht_scoring_percentage,ht_turnover_percentage,at_points_for,at_yards,at_plays,at_yards_per_play,at_turnovers,at_fumbles_lost,at_first_downs,at_completions,at_pass_attempts,at_pass_yards,at_pass_tds,at_interceptions,at_pass_yards_per_attempt,at_pass_first_downs,at_rush_attempts,at_rush_yards,at_rush_tds,at_rush_yards_per_attempt,at_rush_first_downs,at_penalties,at_penalty_yards,at_penalty_first_downs,at_num_drives,at_scoring_percentage,at_turnover_percentage,ht_3D_attempts,ht_3D_conversions,ht_3D_conversion_percentage,ht_4D_attempts,ht_4D_conversions,ht_4D_conversion_percentage,ht_red_zone_attempts,ht_red_zone_tds,ht_red_zone_td_percentage,at_3D_attempts,at_3D_conversions,at_3D_conversion_percentage,at_4D_attempts,at_4D_conversions,at_4D_conversion_percentage,at_red_zone_attempts,at_red_zone_tds,at_red_zone_td_percentage,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,kan,den,154.5,2079.0,327.5,6.4,6.5,2.0,117.0,122.5,171.5,1302.5,11.5,4.5,7.300000000000001,63.5,148.0,776.5,6.0,5.2,42.0,38.0,325.5,11.5,52.0,50.900000000000006,10.6,100.5,1574.0,297.0,5.35,7.0,5.5,92.0,111.0,174.0,1070.5,8.5,1.5,5.75,54.0,109.0,503.5,1.0,4.6,26.0,30.0,227.5,12.0,51.0,33.35,12.75,61.0,28.5,46.1,5.5,3.0,58.35,20.0,12.5,62.55,60.5,22.5,37.349999999999994,7.5,4.0,58.35,16.5,8.5,51.150000000000006,19,8,27,11,-11
1,oti,rav,81.5,1400.0,315.0,4.5,5.5,1.0,86.0,105.0,170.5,905.0,3.5,4.5,4.949999999999999,49.5,127.0,495.0,2.0,3.9,27.0,30.0,238.0,9.5,55.0,34.15,9.15,101.0,1674.5,315.0,5.300000000000001,6.0,4.5,95.5,108.5,153.0,1073.0,4.5,1.5,6.4,52.0,147.5,601.5,6.0,4.05,34.5,29.5,254.0,9.0,53.5,36.1,9.95,74.0,29.0,38.900000000000006,6.0,3.0,51.45,14.5,4.5,30.15,68.0,28.5,41.8,5.0,2.5,45.85,17.5,9.5,53.75,16,24,40,-8,4
2,mia,car,162.5,2098.5,303.0,6.9,6.0,1.5,112.0,106.5,153.0,1282.0,9.5,4.5,7.75,65.5,140.0,816.5,10.5,5.9,40.5,30.5,254.5,6.0,57.5,46.05,10.4,113.0,1619.0,333.0,4.9,6.5,3.5,105.5,123.5,186.0,1089.5,7.0,3.0,5.449999999999999,58.5,131.0,529.5,3.5,4.0,35.0,34.5,266.0,12.0,54.5,36.65,11.95,51.5,18.0,35.55,6.0,2.5,44.3,20.0,14.5,72.30000000000001,70.0,29.0,41.4,7.0,3.0,41.65,16.0,9.5,58.5,19,17,36,2,-14
3,jax,clt,110.0,1850.5,352.0,5.25,7.0,4.5,107.5,125.0,184.0,1254.5,5.0,2.5,6.35,64.5,154.0,596.0,6.0,3.85,33.5,21.5,199.0,9.5,60.0,34.150000000000006,11.7,111.0,1719.0,314.0,5.45,7.5,4.5,91.5,113.0,174.0,1187.0,6.5,3.0,6.4,57.5,129.5,532.0,5.0,4.050000000000001,28.5,36.0,303.0,5.5,57.5,31.200000000000003,12.35,71.5,27.5,38.45,8.5,3.5,40.3,14.5,7.5,51.25,66.5,26.5,39.85,8.5,2.5,29.85,16.5,9.0,54.599999999999994,17,13,30,4,-4
4,chi,min,118.5,1692.0,322.5,5.3,5.5,2.5,98.0,115.0,165.0,1109.0,10.0,3.0,6.1,56.5,141.0,583.0,3.0,4.2,36.5,34.5,285.5,5.0,52.0,40.4,10.6,133.5,1866.5,312.5,6.0,8.0,4.5,104.5,131.5,191.0,1419.0,12.5,3.5,7.1,69.5,111.5,447.5,2.0,4.050000000000001,24.5,26.0,198.0,10.5,51.5,39.65,14.75,68.0,28.5,41.85,7.5,4.5,60.7,13.5,8.5,63.150000000000006,64.0,31.0,47.849999999999994,7.5,5.0,61.35,17.0,11.0,63.9,16,24,40,-8,3
5,htx,nor,95.5,1580.0,319.0,4.95,5.5,2.0,89.0,107.5,181.0,1144.5,6.5,3.5,5.9,57.5,127.0,435.5,1.0,3.45,20.5,36.0,281.0,11.0,57.0,36.35,9.35,98.0,1569.5,321.0,4.9,6.5,3.5,91.5,114.0,166.0,1045.5,3.5,3.0,5.95,54.0,143.0,524.0,5.5,3.65,31.5,36.0,296.5,6.0,55.0,32.8,11.0,75.0,29.0,38.5,6.5,2.5,38.099999999999994,15.0,6.0,40.75,71.5,30.0,42.2,2.5,1.0,33.35,16.5,8.5,51.3,37,20,57,17,1
6,cin,sea,87.0,1397.0,303.0,4.65,5.0,2.0,88.5,118.0,181.5,1035.5,5.0,3.0,5.4,57.5,108.0,361.5,3.0,3.35,23.0,27.5,191.5,8.0,50.0,32.7,10.35,112.5,1515.0,274.0,5.5,4.5,1.0,90.5,89.0,141.0,913.0,6.5,3.5,6.0,49.5,122.0,602.0,4.5,4.85,32.5,27.0,230.5,8.5,50.0,41.400000000000006,8.15,66.5,28.5,43.349999999999994,8.0,3.0,36.5,9.5,6.0,66.5,54.0,19.5,35.099999999999994,4.5,2.0,45.0,17.5,10.0,57.2,13,19,32,-6,-3
7,cle,sfo,72.0,1299.5,293.0,4.4,9.5,3.0,80.5,107.5,169.5,851.5,4.5,6.5,4.6,44.5,109.0,448.0,2.5,4.050000000000001,27.5,29.0,239.5,8.5,51.0,28.45,18.6,113.5,1400.0,262.5,5.05,2.5,2.0,80.5,78.0,121.5,865.5,6.0,0.5,6.35,44.0,131.0,534.5,6.5,3.85,28.5,29.0,251.0,8.0,52.5,35.650000000000006,4.800000000000001,63.0,23.0,36.25,6.5,3.0,47.2,9.5,6.0,63.35,53.5,19.0,35.35,3.0,2.0,66.7,14.5,10.0,68.15,20,13,33,7,7
8,atl,was,121.5,1722.5,319.0,5.4,6.0,3.5,97.0,101.0,158.5,1084.5,7.0,2.5,6.199999999999999,52.0,144.5,638.0,4.0,4.449999999999999,39.0,32.0,311.5,6.0,54.5,43.5,10.95,102.5,1547.5,313.5,4.9,7.0,2.5,99.5,115.0,176.0,1059.0,6.5,4.5,5.5,58.0,120.5,488.5,3.0,4.15,29.0,30.0,238.5,12.5,56.0,34.8,12.4,66.5,26.5,39.85,6.5,4.0,60.7,16.5,8.0,48.849999999999994,62.0,21.5,34.75,5.0,2.0,40.0,15.5,8.0,49.8,42,21,63,21,-3
9,rai,nwe,105.0,1449.0,308.0,4.699999999999999,6.5,2.0,92.5,109.5,162.5,1000.5,5.5,4.5,5.7,56.5,132.0,448.5,4.0,3.35,26.5,31.5,261.5,9.5,55.5,31.2,12.65,84.5,1535.0,318.0,4.800000000000001,7.0,2.0,92.0,107.5,169.5,1002.0,6.5,5.0,5.65,50.0,139.0,533.0,3.0,3.8,31.0,28.0,214.0,11.0,56.5,28.65,11.95,61.0,20.5,33.5,5.5,3.5,55.35,15.0,8.0,53.55,70.5,26.0,37.2,8.5,3.5,45.7,13.0,8.5,64.6,21,17,38,4,-3
