,ht_pts_diff,ht_vegas_line,model_pred
0,14,-9.5,11.349353790283203
1,-13,-1.0,-2.3082876205444336
2,10,-6.5,15.329212188720703
3,-4,3.0,-0.09977039694786072
4,-4,-2.5,-5.354328155517578
5,32,-7.0,6.182687759399414
6,7,7.0,-12.59974479675293
7,-9,-1.0,-7.968835353851318
8,10,-7.5,-5.116729259490967
9,10,5.5,9.214910507202148
10,-3,2.5,-6.880749702453613
11,-4,-7.0,-0.028765499591827393
12,11,-4.0,3.1025173664093018
13,3,-1.0,11.447364807128906
14,-10,6.0,-8.452463150024414
15,-2,3.5,-9.19148063659668
16,5,-6.0,10.381843566894531
17,1,-3.0,-2.701730728149414
18,-3,5.5,-1.1463427543640137
19,14,-7.5,12.322330474853516
20,4,-4.5,4.2152814865112305
21,17,-3.5,4.365283489227295
22,5,-6.0,12.970634460449219
23,21,-7.0,15.581258773803711
24,3,-7.0,15.019309997558594
25,-18,7.0,-10.003654479980469
26,-18,-2.0,-9.679304122924805
27,15,-7.5,3.0958058834075928
28,-17,7.5,-12.422134399414062
29,-3,8.5,-4.240390777587891
30,5,-4.0,4.475991725921631
31,10,4.0,-11.48086929321289
32,-18,-2.5,-12.529808044433594
33,-4,-2.5,2.671078681945801
34,3,-1.5,0.8576817512512207
35,0,-5.5,2.9450459480285645
36,14,-7.5,2.5144989490509033
37,7,-3.5,12.118171691894531
38,-1,3.0,-4.33087158203125
39,16,-7.0,2.402926206588745
40,-27,3.0,-6.066919803619385
41,-5,-6.0,4.77669620513916
42,29,-12.5,14.527511596679688
43,-3,-4.5,11.395702362060547
44,7,-5.5,8.950071334838867
45,-18,6.0,-11.210111618041992
46,-7,-3.5,1.468881368637085
47,-14,-3.5,3.53271222114563
48,-9,-1.0,-2.433150053024292
49,10,3.0,-6.052208423614502
50,-8,3.5,-5.084658622741699
51,8,-1.0,4.561528205871582
52,-11,-3.5,-6.7461395263671875
53,-6,3.0,-14.153392791748047
54,-8,-3.5,-6.086278438568115
55,-8,4.5,2.6759026050567627
56,-14,14.5,-6.723659992218018
57,7,-7.5,9.160310745239258
58,8,-13.5,11.524591445922852
59,-7,3.0,-9.074386596679688
60,-5,-8.5,9.842607498168945
61,16,-11.0,6.164040565490723
62,14,-5.0,10.072551727294922
63,1,3.5,-7.7869553565979
64,-7,-2.5,3.9442801475524902
65,24,-12.5,15.252275466918945
66,-20,7.0,-10.886781692504883
67,16,-6.5,6.049942970275879
68,-8,-11.0,9.159881591796875
69,9,-7.5,13.198799133300781
70,-20,7.0,-3.3201496601104736
71,-26,-8.5,-1.4515330791473389
72,9,-1.0,-1.7168519496917725
73,3,-7.5,0.6885613203048706
74,1,-6.5,3.4273757934570312
75,3,-7.0,10.211999893188477
76,26,3.0,-1.610771656036377
77,-6,-7.0,5.9842071533203125
78,-18,3.0,-1.7860040664672852
79,-17,-3.5,2.006430149078369
80,-7,-2.0,-1.1455814838409424
81,4,-7.5,12.490985870361328
82,31,-3.0,4.01821231842041
83,6,-4.0,10.315980911254883
84,1,-2.0,-4.819577217102051
