,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,nor,min,14,9,23,5,-5.0
1,pit,atl,15,9,24,6,1.5
2,buf,mia,10,15,25,-5,3.0
3,chi,det,19,14,33,5,-6.5
4,nwe,cin,38,24,62,14,-5.5
5,tam,cle,17,14,31,3,-2.5
6,htx,clt,34,24,58,10,1.0
7,oti,rai,38,13,51,25,-6.5
8,jax,den,24,17,41,7,-3.0
9,nyg,car,31,18,49,13,-6.0
10,ram,crd,13,17,30,-4,3.0
11,phi,gnb,20,27,47,-7,3.0
12,sea,sfo,31,6,37,25,3.0
13,was,dal,13,7,20,6,3.0
14,nyj,rav,9,10,19,-1,-1.0
15,kan,sdg,21,14,35,7,4.0
16,gnb,buf,34,7,41,27,-13.0
17,cin,rav,15,10,25,5,3.0
18,cle,kan,14,16,30,-2,-3.0
19,det,phi,32,35,67,-3,6.5
20,oti,pit,11,19,30,-8,-6.0
21,atl,crd,41,7,48,34,-7.0
22,car,tam,7,20,27,-13,-4.0
23,dal,chi,20,27,47,-7,-7.0
24,min,mia,10,14,24,-4,-6.0
25,rai,ram,16,14,30,2,-3.0
26,den,sea,31,14,45,17,-3.5
27,was,htx,27,30,57,-3,3.0
28,sdg,jax,38,13,51,25,-7.0
29,nyj,nwe,28,14,42,14,3.0
30,clt,nyg,38,14,52,24,-4.0
31,sfo,nor,22,25,47,-3,5.0
32,nwe,buf,38,30,68,8,-14.5
33,car,cin,7,20,27,-13,3.5
34,rav,cle,24,17,41,7,-12.5
35,htx,dal,13,27,40,-14,-2.5
36,nyg,oti,10,29,39,-19,-3.0
37,nor,atl,24,27,51,-3,-3.0
38,tam,pit,13,38,51,-25,3.0
39,kan,sfo,31,10,41,21,3.0
40,min,det,24,10,34,14,-13.0
41,jax,phi,3,28,31,-25,3.0
42,ram,was,30,16,46,14,5.0
43,crd,rai,24,23,47,1,-5.5
44,den,clt,13,27,40,-14,6.0
45,sea,sdg,27,20,47,7,4.0
46,mia,nyj,23,31,54,-8,-2.5
47,chi,gnb,20,17,37,3,3.0
48,ram,sea,20,3,23,17,2.0
49,buf,nyj,14,38,52,-24,6.0
50,cle,cin,23,20,43,3,2.5
51,oti,den,20,26,46,-6,-6.5
52,gnb,det,28,26,54,2,-14.5
53,pit,rav,14,17,31,-3,-2.5
54,atl,sfo,16,14,30,2,-7.0
55,nor,car,16,14,30,2,-12.5
56,jax,clt,31,28,59,3,7.0
57,rai,htx,24,31,55,-7,3.5
58,sdg,crd,41,10,51,31,-9.5
59,phi,was,12,17,29,-5,-5.0
60,nyg,chi,17,3,20,14,-3.5
61,mia,nwe,14,41,55,-27,1.0
62,det,ram,44,6,50,38,-3.0
63,buf,jax,26,36,62,-10,-2.5
64,rav,den,31,17,48,14,-8.0
65,was,gnb,16,13,29,3,3.0
66,cle,atl,10,20,30,-10,3.0
67,car,chi,6,23,29,-17,-3.0
68,cin,tam,21,24,45,-3,-7.0
69,clt,kan,19,9,28,10,-7.5
70,htx,nyg,10,34,44,-24,-3.0
71,crd,nor,30,20,50,10,7.0
72,rai,sdg,35,27,62,8,7.0
73,dal,oti,27,34,61,-7,-7.0
74,sfo,phi,24,27,51,-3,-3.0
75,nyj,min,29,20,49,9,-4.5
76,ram,sdg,20,17,37,3,8.5
77,nwe,rav,23,20,43,3,-3.0
78,phi,atl,31,17,48,14,-1.5
79,chi,sea,20,23,43,-3,-6.0
80,pit,cle,28,10,38,18,-14.0
81,gnb,mia,20,23,43,-3,-3.0
82,tam,nor,6,31,37,-25,5.5
83,nyg,det,28,20,48,8,-10.0
84,htx,kan,35,31,66,4,-4.5
85,den,nyj,20,24,44,-4,3.5
86,sfo,rai,17,9,26,8,-7.0
87,min,dal,24,21,45,3,-1.5
88,was,clt,24,27,51,-3,3.0
89,jax,oti,3,30,33,-27,3.0
90,rav,buf,37,34,71,3,-12.5
91,mia,pit,22,23,45,-1,3.0
92,nor,cle,17,30,47,-13,-12.5
93,oti,phi,37,19,56,18,-3.0
94,tam,ram,18,17,35,1,-3.0
95,car,sfo,23,20,43,3,2.5
96,kan,jax,42,20,62,22,-9.0
97,chi,was,14,17,31,-3,-3.0
98,atl,cin,39,32,71,7,-3.5
99,sea,crd,22,10,32,12,-6.5
100,sdg,nwe,20,23,43,-3,-1.5
101,den,rai,14,59,73,-45,-7.0
102,gnb,min,28,24,52,4,-2.5
103,dal,nyg,35,41,76,-6,-3.5
104,ram,car,20,10,30,10,-2.5
105,det,was,37,25,62,12,-3.0
106,nyj,gnb,0,9,9,-9,-6.0
107,dal,jax,17,35,52,-18,-6.5
108,cin,mia,14,22,36,-8,-1.0
109,sfo,den,24,16,40,8,-2.5
110,kan,buf,13,10,23,3,-7.0
111,sdg,oti,33,25,58,8,-6.0
112,crd,tam,35,38,73,-3,-3.0
113,nwe,min,28,18,46,10,-5.5
114,rai,sea,33,3,36,30,-2.0
115,nor,pit,20,10,30,10,-1.0
116,clt,htx,30,17,47,13,-5.5
117,atl,tam,27,21,48,6,-9.0
118,buf,chi,19,22,41,-3,3.0
119,cle,nwe,34,14,48,20,4.0
120,htx,sdg,23,29,52,-6,3.0
121,rav,mia,26,10,36,16,-5.0
122,det,nyj,20,23,43,-3,5.5
123,car,nor,3,34,37,-31,6.5
124,min,crd,27,24,51,3,-7.5
125,sea,nyg,7,41,48,-34,7.5
126,rai,kan,23,20,43,3,0.0
127,phi,clt,26,24,50,2,-3.0
128,gnb,dal,45,7,52,38,-7.0
129,cin,pit,21,27,48,-6,5.5
130,atl,rav,26,21,47,5,-1.0
131,buf,det,14,12,26,2,-1.5
132,tam,car,31,16,47,15,-7.0
133,chi,min,27,13,40,14,1.0
134,clt,cin,23,17,40,6,-7.0
135,cle,nyj,20,26,46,-6,3.5
136,mia,oti,29,17,46,12,-1.0
137,jax,htx,31,24,55,7,0.0
138,den,kan,49,29,78,20,1.0
