,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,ram,buf,10,31,41,-21,2.5
1,atl,nor,26,27,53,-1,5.5
2,car,cle,24,26,50,-2,-1.5
3,chi,sfo,19,10,29,9,6.0
4,cin,pit,20,23,43,-3,-7.0
5,htx,clt,20,20,40,0,7.0
6,det,phi,35,38,73,-3,6.0
7,was,jax,28,22,50,6,-3.0
8,mia,nwe,20,7,27,13,-3.0
9,nyj,rav,9,24,33,-15,6.5
10,crd,kan,21,44,65,-23,6.5
11,min,gnb,23,7,30,16,-2.5
12,oti,nyg,20,21,41,-1,-5.0
13,sdg,rai,24,19,43,5,-3.5
14,dal,tam,3,19,22,-16,2.0
15,sea,den,17,16,33,1,6.5
16,kan,sdg,27,24,51,3,-4.0
17,nyg,car,19,16,35,3,-2.0
18,cle,nyj,30,31,61,-1,-6.5
19,jax,clt,24,0,24,24,3.0
20,det,was,36,27,63,9,-1.5
21,rav,mia,38,42,80,-4,-3.5
22,nor,tam,10,20,30,-10,2.5
23,pit,nwe,14,17,31,-3,2.5
24,ram,atl,31,27,58,4,-10.0
25,sfo,sea,27,7,34,20,-9.0
26,dal,cin,20,17,37,3,7.0
27,rai,crd,23,29,52,-6,-5.5
28,den,htx,16,9,25,7,-10.0
29,gnb,chi,27,10,37,17,-10.0
30,buf,oti,41,7,48,34,-10.0
31,phi,min,24,7,31,17,-2.5
32,cle,pit,29,17,46,12,-4.5
33,mia,buf,21,19,40,2,4.5
34,car,nor,22,14,36,8,2.5
35,chi,htx,23,20,43,3,-3.0
36,nyj,cin,12,27,39,-15,6.0
37,clt,kan,20,17,37,3,5.5
38,min,det,28,24,52,4,-6.0
39,nwe,rav,26,37,63,-11,2.5
40,oti,rai,24,22,46,2,2.0
41,was,phi,8,24,32,-16,6.0
42,sdg,jax,10,38,48,-28,-3.0
43,sea,atl,23,27,50,-4,-1.0
44,crd,ram,12,20,32,-8,3.5
45,tam,gnb,12,14,26,-2,-1.0
46,den,sfo,11,10,21,1,1.5
47,nyg,dal,16,23,39,-7,-1.0
48,cin,mia,27,15,42,12,-3.5
49,nor,min,25,28,53,-3,3.5
50,atl,cle,23,20,43,3,1.0
51,rav,buf,20,23,43,-3,3.0
52,nyg,chi,20,12,32,8,-3.0
53,clt,oti,17,24,41,-7,-3.5
54,dal,was,25,10,35,15,-3.0
55,det,sea,45,48,93,-3,-3.5
56,htx,sdg,24,34,58,-10,6.0
57,phi,jax,29,21,50,8,-6.5
58,pit,nyj,20,24,44,-4,-3.5
59,car,crd,16,26,42,-10,-1.0
60,rai,den,32,23,55,9,-2.5
61,gnb,nwe,27,24,51,3,-9.5
62,tam,kan,31,41,72,-10,-1.0
63,sfo,ram,24,9,33,15,-1.5
64,den,clt,9,12,21,-3,-3.0
65,gnb,nyg,22,27,49,-5,-8.0
66,tam,atl,21,15,36,6,-10.0
67,buf,pit,38,3,41,35,-14.0
68,min,chi,29,22,51,7,-7.5
69,cle,sdg,28,30,58,-2,1.0
70,nwe,det,29,0,29,29,-3.0
71,jax,htx,6,13,19,-7,-7.0
72,nyj,mia,40,17,57,23,3.5
73,nor,sea,39,32,71,7,-5.0
74,was,oti,17,21,38,-4,2.0
75,car,sfo,15,37,52,-22,6.5
76,crd,phi,17,20,37,-3,5.0
77,ram,dal,10,22,32,-12,-5.5
78,rav,cin,19,17,36,2,-3.5
79,kan,rai,30,29,59,1,-7.0
80,chi,was,7,12,19,-5,1.0
81,atl,sfo,28,14,42,14,4.5
82,nor,cin,26,30,56,-4,3.0
83,cle,nwe,15,38,53,-23,-2.5
84,clt,jax,34,27,61,7,-1.5
85,gnb,nyj,10,27,37,-17,-7.5
86,mia,min,16,24,40,-8,3.0
87,nyg,rav,24,20,44,4,5.5
88,pit,tam,20,18,38,2,9.5
89,ram,car,24,10,34,14,-10.0
90,sea,crd,19,9,28,10,2.5
91,kan,buf,20,24,44,-4,2.5
92,phi,dal,26,17,43,9,-6.5
93,sdg,den,19,16,35,3,-4.5
94,crd,nor,42,34,76,8,-2.5
95,cin,atl,35,17,52,18,-6.5
96,car,tam,21,3,24,18,13.0
97,rav,cle,23,20,43,3,-6.5
98,oti,clt,19,10,29,9,-2.5
99,dal,det,24,6,30,18,-6.5
100,was,gnb,23,21,44,2,4.5
101,jax,nyg,17,23,40,-6,-3.0
102,rai,htx,38,20,58,18,-7.0
103,den,nyj,9,16,25,-7,1.5
104,sfo,kan,23,44,67,-21,1.0
105,sdg,sea,23,37,60,-14,-4.5
106,mia,pit,16,10,26,6,-7.5
107,nwe,chi,14,33,47,-19,-8.5
108,tam,rav,22,27,49,-5,-1.5
109,jax,den,17,21,38,-4,-2.0
110,det,mia,27,31,58,-4,3.5
111,phi,pit,35,13,48,22,-10.5
112,atl,car,37,34,71,3,-4.0
113,dal,chi,49,29,78,20,-10.0
114,min,crd,34,26,60,8,-3.5
115,nor,rai,24,0,24,24,1.5
116,nyj,nwe,17,22,39,-5,2.5
117,htx,oti,10,17,27,-7,3.5
118,ram,sfo,14,31,45,-17,-2.5
119,clt,was,16,17,33,-1,-3.0
