,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,den,car,21,20,41,1,3.0
1,rav,buf,13,7,20,6,-3.0
2,jax,gnb,23,27,50,-4,3.5
3,atl,tam,24,31,55,-7,-2.5
4,htx,chi,23,14,37,9,-5.5
5,nyj,cin,22,23,45,-1,-1.0
6,phi,cle,29,10,39,19,-4.0
7,kan,sdg,33,27,60,6,-6.5
8,oti,min,16,25,41,-9,2.5
9,nor,rai,34,35,69,-1,-2.5
10,sea,mia,12,10,22,2,-10.5
11,clt,det,35,39,74,-4,-2.5
12,dal,nyg,19,20,39,-1,-1.0
13,crd,nwe,21,23,44,-2,-9.0
14,was,pit,16,38,54,-22,2.5
15,sfo,ram,28,0,28,28,2.5
16,buf,nyj,31,37,68,-6,-1.0
17,pit,cin,24,16,40,8,-3.0
18,cle,rav,20,25,45,-5,4.0
19,det,oti,15,16,31,-1,-6.0
20,htx,kan,19,12,31,7,1.0
21,nwe,mia,31,24,55,7,-5.5
22,car,sfo,46,27,73,19,-12.0
23,was,dal,23,27,50,-4,-3.5
24,nyg,nor,16,13,29,3,-3.5
25,crd,tam,40,7,47,33,-7.5
26,ram,sea,9,3,12,6,5.5
27,rai,atl,28,35,63,-7,-4.0
28,den,clt,34,20,54,14,-6.0
29,sdg,jax,38,14,52,24,-3.0
30,min,gnb,17,14,31,3,1.5
31,chi,phi,14,29,43,-15,-3.0
32,nwe,htx,27,0,27,27,0.0
33,buf,crd,33,18,51,15,5.0
34,car,min,10,22,32,-12,-6.0
35,cin,den,17,29,46,-12,-3.5
36,mia,cle,30,24,54,6,-10.0
37,gnb,det,34,27,61,7,-6.0
38,jax,rav,17,19,36,-2,2.5
39,nyg,was,27,29,56,-2,-3.5
40,oti,rai,10,17,27,-7,1.5
41,tam,ram,32,37,69,-5,-3.5
42,sea,sfo,37,18,55,19,-10.5
43,clt,sdg,26,22,48,4,-1.5
44,phi,pit,34,3,37,31,3.5
45,kan,nyj,24,3,27,21,-3.0
46,dal,chi,31,17,48,14,-6.5
47,nor,atl,32,45,77,-13,-2.5
48,cin,mia,22,7,29,15,-7.5
49,jax,clt,30,27,57,3,1.0
50,chi,det,17,14,31,3,3.0
51,nwe,buf,0,16,16,-16,-3.5
52,htx,oti,27,20,47,7,-4.0
53,rav,rai,27,28,55,-1,-3.5
54,nyj,sea,17,27,44,-10,1.0
55,atl,car,48,33,81,15,2.5
56,was,cle,31,20,51,11,-7.5
57,tam,den,7,27,34,-20,3.5
58,crd,ram,13,17,30,-4,-10.0
59,sfo,dal,17,24,41,-7,1.0
60,sdg,nor,34,35,69,-1,-3.5
61,pit,kan,43,14,57,29,-3.0
62,min,nyg,24,10,34,14,-3.5
63,sfo,crd,21,33,54,-12,3.5
64,clt,chi,29,23,52,6,-4.0
65,cle,nwe,13,33,46,-20,10.0
66,det,phi,24,23,47,1,3.5
67,mia,oti,17,30,47,-13,-2.5
68,pit,nyj,31,13,44,18,-10.0
69,rav,was,10,16,26,-6,-4.0
70,min,htx,31,13,44,18,-6.0
71,den,atl,16,23,39,-7,-3.5
72,ram,buf,19,30,49,-11,2.5
73,dal,cin,28,14,42,14,2.5
74,rai,sdg,34,31,65,3,-3.5
75,gnb,nyg,23,16,39,7,-7.0
76,car,tam,14,17,31,-3,-6.0
77,sdg,den,21,13,34,8,3.0
78,buf,sfo,45,16,61,29,-7.5
79,chi,jax,16,17,33,-1,-2.5
80,nwe,cin,35,17,52,18,-7.5
81,oti,cle,28,26,54,2,-7.5
82,det,ram,31,28,59,3,-2.5
83,mia,pit,30,15,45,15,7.5
84,nyg,rav,27,23,50,4,-3.5
85,was,phi,27,20,47,7,3.0
86,nor,car,41,38,79,3,2.5
87,rai,kan,10,26,36,-16,1.0
88,gnb,dal,16,30,46,-14,-5.0
89,sea,atl,26,24,50,2,-7.0
90,htx,clt,26,23,49,3,-3.0
91,crd,nyj,28,3,31,25,-7.0
92,gnb,chi,26,10,36,16,-7.5
93,ram,nyg,10,17,27,-7,2.5
94,jax,rai,16,33,49,-17,-2.0
95,phi,min,21,10,31,11,3.0
96,mia,buf,28,25,53,3,2.5
97,cin,cle,31,17,48,14,-11.0
98,oti,clt,26,34,60,-8,-4.0
99,det,was,20,17,37,3,1.0
100,kan,nor,27,21,48,6,-7.0
101,nyj,rav,24,16,40,8,-2.5
102,atl,sdg,30,33,63,-3,-4.5
103,sfo,tam,17,34,51,-17,-1.0
104,pit,nwe,16,27,43,-11,7.5
105,crd,sea,6,6,12,0,-2.5
106,den,htx,27,9,36,18,-8.5
107,oti,jax,36,22,58,14,-3.0
108,cin,was,27,27,54,0,-3.0
109,car,crd,30,20,50,10,-2.5
110,buf,nwe,25,41,66,-16,5.5
111,cle,nyj,28,31,59,-3,2.5
112,clt,kan,14,30,44,-16,3.0
113,tam,rai,24,30,54,-6,-1.0
114,nor,sea,25,20,45,5,1.0
115,htx,det,20,13,33,7,-1.0
116,den,sdg,27,19,46,8,-3.5
117,atl,gnb,33,32,65,1,-3.0
118,dal,phi,29,23,52,6,-5.0
119,chi,min,20,10,30,10,4.5
120,tam,atl,28,43,71,-15,4.5
121,kan,jax,19,14,33,5,-7.0
122,mia,nyj,27,23,50,4,-3.5
123,nyg,phi,28,23,51,5,-3.0
124,rav,pit,21,14,35,7,3.5
125,cle,dal,10,35,45,-25,7.0
126,min,det,16,22,38,-6,-4.5
127,ram,car,10,13,23,-3,3.0
128,sfo,nor,23,41,64,-18,5.0
129,gnb,clt,26,31,57,-5,-7.5
130,sdg,oti,43,35,78,8,-3.5
131,rai,den,30,20,50,10,-1.0
132,sea,buf,31,25,56,6,-5.5
133,rav,cle,28,7,35,21,-7.5
134,car,kan,17,20,37,-3,-3.0
135,tam,chi,36,10,46,26,2.5
136,oti,gnb,47,25,72,22,3.0
137,jax,htx,21,24,45,-3,-3.0
138,was,min,26,20,46,6,-2.5
139,phi,atl,24,15,39,9,-2.0
140,nor,den,23,25,48,-2,-3.0
141,nyj,ram,6,9,15,-3,1.0
142,sdg,mia,24,31,55,-7,-4.0
143,crd,sfo,23,20,43,3,-13.5
144,pit,dal,30,35,65,-5,-3.0
145,nwe,sea,24,31,55,-7,-7.5
146,nyg,cin,21,20,41,1,1.0
147,car,nor,23,20,43,3,-3.5
148,cin,buf,12,16,28,-4,-2.5
149,nyg,chi,22,16,38,6,-7.0
150,clt,oti,24,17,41,7,-3.0
151,min,crd,30,24,54,6,-2.0
152,dal,rav,27,17,44,10,-7.0
153,det,jax,26,19,45,7,-5.5
154,kan,tam,17,19,36,-2,-7.0
155,cle,pit,9,24,33,-15,8.0
156,ram,mia,10,14,24,-4,-1.0
157,sfo,nwe,17,30,47,-13,10.5
158,sea,phi,26,15,41,11,-6.5
159,was,gnb,42,24,66,18,-3.0
160,rai,htx,27,20,47,7,-6.5
161,det,min,16,13,29,3,-1.5
162,dal,was,31,26,57,5,-5.5
163,clt,pit,7,28,35,-21,8.0
164,atl,crd,38,19,57,19,-4.0
165,buf,jax,28,21,49,7,-8.5
166,chi,oti,21,27,48,-6,6.5
167,rav,cin,19,14,33,5,-3.5
168,htx,sdg,13,21,34,-8,2.5
169,mia,sfo,31,24,55,7,-7.5
170,nor,ram,49,21,70,28,-8.0
171,cle,nyg,13,27,40,-14,6.5
172,tam,sea,14,5,19,9,5.0
173,rai,car,35,32,67,3,-3.5
