,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,340.0,5499.0,1144.0,4.8,25.0,8.0,326.0,433.0,664.0,3626.0,17.0,17.0,5.1,189.0,434.0,1873.0,15.0,4.3,115.0,118.0,916.0,22.0,187.0,32.1,12.8,449.0,5931.0,1075.0,5.5,20.0,9.0,363.0,414.0,593.0,3915.0,29.0,11.0,6.2,218.0,446.0,2016.0,21.0,4.5,124.0,94.0,757.0,21.0,190.0,41.6,10.5,233.0,82.0,35.2,41.0,18.0,43.9,44.0,25.0,56.8,203.0,87.0,42.9,16.0,8.0,50.0,66.0,43.0,65.2
1,atl,365.0,5417.0,1011.0,5.4,21.0,12.0,330.0,257.0,415.0,2699.0,17.0,9.0,6.0,148.0,559.0,2718.0,17.0,4.9,152.0,68.0,594.0,30.0,167.0,39.5,11.4,386.0,6156.0,1082.0,5.7,17.0,7.0,351.0,372.0,561.0,3942.0,26.0,10.0,6.8,200.0,500.0,2214.0,15.0,4.4,136.0,100.0,804.0,15.0,170.0,43.5,10.0,196.0,82.0,41.8,18.0,9.0,50.0,54.0,30.0,55.6,220.0,101.0,45.9,17.0,7.0,41.2,60.0,33.0,55.0
2,rav,350.0,5760.0,1052.0,5.5,21.0,8.0,337.0,300.0,488.0,3040.0,19.0,13.0,5.8,149.0,526.0,2720.0,14.0,5.2,167.0,82.0,678.0,21.0,180.0,38.9,11.7,315.0,5513.0,1047.0,5.3,25.0,11.0,323.0,394.0,593.0,3947.0,20.0,14.0,6.2,206.0,406.0,1566.0,11.0,3.9,91.0,79.0,650.0,26.0,173.0,35.8,13.9,218.0,91.0,41.7,20.0,8.0,40.0,59.0,27.0,45.8,209.0,73.0,34.9,24.0,15.0,62.5,56.0,26.0,46.4
3,buf,455.0,6361.0,1037.0,6.1,27.0,13.0,367.0,361.0,574.0,4129.0,35.0,14.0,6.8,212.0,430.0,2232.0,15.0,5.2,128.0,92.0,709.0,27.0,171.0,45.0,15.2,286.0,5106.0,997.0,5.1,27.0,10.0,313.0,362.0,570.0,3433.0,21.0,17.0,5.6,181.0,387.0,1673.0,10.0,4.3,103.0,89.0,754.0,29.0,168.0,31.0,14.3,193.0,97.0,50.3,13.0,7.0,53.8,58.0,35.0,60.3,208.0,78.0,37.5,33.0,19.0,57.6,49.0,22.0,44.9
4,car,347.0,5206.0,976.0,5.3,21.0,8.0,281.0,267.0,457.0,2996.0,16.0,13.0,6.1,138.0,483.0,2210.0,16.0,4.6,119.0,104.0,862.0,24.0,187.0,35.3,9.6,374.0,5953.0,1103.0,5.4,17.0,7.0,346.0,383.0,580.0,3868.0,25.0,10.0,6.3,194.0,488.0,2085.0,17.0,4.3,125.0,105.0,866.0,27.0,193.0,34.2,8.3,202.0,64.0,31.7,21.0,12.0,57.1,46.0,26.0,56.5,231.0,95.0,41.1,18.0,8.0,44.4,57.0,32.0,56.1
5,chi,326.0,5233.0,993.0,5.3,25.0,10.0,278.0,223.0,377.0,2219.0,19.0,15.0,5.1,109.0,558.0,3014.0,18.0,5.4,148.0,80.0,754.0,21.0,181.0,34.3,12.7,463.0,6390.0,1043.0,6.1,23.0,9.0,361.0,323.0,481.0,3716.0,22.0,14.0,7.4,184.0,542.0,2674.0,31.0,4.9,151.0,84.0,647.0,26.0,177.0,41.8,11.9,220.0,90.0,40.9,25.0,8.0,32.0,50.0,28.0,56.0,204.0,100.0,49.0,15.0,6.0,40.0,62.0,40.0,64.5
6,cin,418.0,5768.0,1053.0,5.5,18.0,6.0,357.0,418.0,610.0,4240.0,35.0,12.0,6.5,221.0,399.0,1528.0,14.0,3.8,96.0,81.0,623.0,40.0,176.0,41.5,9.7,322.0,5371.0,996.0,5.4,24.0,11.0,295.0,329.0,559.0,3665.0,17.0,13.0,6.2,173.0,407.0,1706.0,12.0,4.2,102.0,100.0,832.0,20.0,176.0,36.4,13.1,206.0,95.0,46.1,12.0,3.0,25.0,57.0,37.0,64.9,212.0,84.0,39.6,23.0,9.0,39.1,50.0,26.0,52.0
7,cle,361.0,5934.0,1116.0,5.3,21.0,9.0,350.0,335.0,540.0,3444.0,19.0,12.0,5.9,182.0,532.0,2490.0,19.0,4.7,142.0,102.0,865.0,26.0,179.0,34.6,11.2,381.0,5631.0,1041.0,5.4,20.0,9.0,329.0,315.0,519.0,3336.0,20.0,11.0,6.0,166.0,488.0,2295.0,22.0,4.7,129.0,88.0,714.0,34.0,187.0,38.5,10.2,231.0,88.0,38.1,42.0,23.0,54.8,56.0,30.0,53.6,215.0,85.0,39.5,18.0,8.0,44.4,58.0,32.0,55.2
8,dal,467.0,6034.0,1114.0,5.4,23.0,5.0,347.0,355.0,556.0,3736.0,28.0,18.0,6.4,194.0,531.0,2298.0,24.0,4.3,129.0,104.0,842.0,24.0,195.0,41.5,10.8,342.0,5613.0,1101.0,5.1,33.0,17.0,327.0,345.0,550.0,3415.0,23.0,16.0,5.7,174.0,497.0,2198.0,9.0,4.4,119.0,98.0,851.0,34.0,197.0,33.5,16.2,231.0,105.0,45.5,19.0,10.0,52.6,56.0,40.0,71.4,231.0,87.0,37.7,22.0,12.0,54.5,50.0,26.0,52.0
9,den,287.0,5527.0,1078.0,5.1,24.0,9.0,300.0,345.0,571.0,3592.0,18.0,15.0,5.7,166.0,444.0,1935.0,11.0,4.4,105.0,113.0,970.0,29.0,199.0,28.6,10.6,359.0,5440.0,1079.0,5.0,23.0,8.0,324.0,392.0,605.0,3574.0,20.0,15.0,5.6,180.0,438.0,1866.0,12.0,4.3,109.0,106.0,922.0,35.0,198.0,35.9,10.6,230.0,67.0,29.1,24.0,12.0,50.0,36.0,20.0,55.6,220.0,75.0,34.1,14.0,9.0,64.3,47.0,24.0,51.1
