,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
167,nor,buf,6,31,37,-25,6.5
168,jax,atl,14,21,35,-7,2.0
169,cin,pit,41,10,51,31,-3.5
170,htx,nyj,14,21,35,-7,-2.5
171,nyg,phi,13,7,20,6,3.5
172,mia,car,33,10,43,23,2.5
173,clt,tam,31,38,69,-7,3.0
174,nwe,oti,36,13,49,23,-7.0
175,den,sdg,28,13,41,15,3.0
176,sfo,min,34,26,60,8,-3.5
177,gnb,ram,36,28,64,8,2.0
178,rav,cle,16,10,26,6,-3.5
179,was,sea,17,15,32,2,0.0
180,nor,dal,17,27,44,-10,5.0
181,atl,tam,17,30,47,-13,10.5
182,chi,crd,22,33,55,-11,7.5
183,cin,sdg,22,41,63,-19,-3.0
184,det,min,29,27,56,2,7.0
185,nyj,phi,18,33,51,-15,5.0
186,htx,clt,0,31,31,-31,10.0
187,mia,nyg,20,9,29,11,-6.5
188,sea,sfo,30,23,53,7,3.5
189,rai,was,15,17,32,-2,-1.5
190,ram,jax,37,7,44,30,-13.0
191,pit,rav,20,19,39,1,4.5
192,kan,den,22,9,31,13,-9.5
193,buf,nwe,10,14,24,-4,-4.0
194,min,pit,36,28,64,8,-3.0
195,car,atl,21,29,50,-8,-2.5
196,cin,sfo,23,26,49,-3,1.5
197,cle,rav,24,22,46,2,-3.0
198,was,dal,20,27,47,-7,4.5
199,htx,sea,13,33,46,-20,9.0
200,oti,jax,20,0,20,20,-8.5
201,kan,rai,48,9,57,39,-10.0
202,nyj,nor,9,30,39,-21,5.5
203,den,det,38,10,48,28,-11.0
204,sdg,nyg,37,21,58,16,-9.0
205,tam,buf,33,27,60,6,-3.5
206,gnb,chi,45,30,75,15,-11.5
207,crd,ram,23,30,53,-7,-2.5
208,sdg,kan,28,34,62,-6,3.0
209,clt,nwe,27,17,44,10,-2.5
210,buf,car,31,14,45,17,-14.5
211,det,crd,30,12,42,18,13.0
212,nyg,dal,6,21,27,-15,11.5
213,rav,gnb,30,31,61,-1,9.5
214,jax,htx,16,30,46,-14,-6.0
215,mia,nyj,31,24,55,7,-10.0
216,pit,oti,19,13,32,6,-1.0
217,sfo,atl,31,13,44,18,-8.5
218,den,cin,10,15,25,-5,-3.0
219,tam,nor,0,9,9,-9,-11.5
220,cle,rai,14,16,30,-2,-3.0
221,chi,min,9,17,26,-8,6.5
222,phi,was,27,17,44,10,-6.5
223,ram,sea,20,10,30,10,-7.0
224,oti,sfo,20,17,37,3,3.5
225,gnb,cle,24,22,46,2,-7.5
226,crd,clt,16,22,38,-6,-2.0
227,atl,det,20,16,36,4,-6.5
228,nwe,buf,21,33,54,-12,-1.5
229,car,tam,6,32,38,-26,9.5
230,cin,rav,41,21,62,20,-7.0
231,htx,sdg,41,29,70,12,11.0
232,nyj,jax,26,21,47,5,-1.5
233,min,ram,23,30,53,-7,3.5
234,phi,nyg,34,10,44,24,-10.0
235,sea,chi,24,25,49,-1,-6.5
236,rai,den,17,13,30,4,0.0
237,kan,pit,36,10,46,26,-12.5
238,dal,was,56,14,70,42,-10.0
239,nor,mia,3,20,23,-17,2.5
240,buf,atl,29,15,44,14,-14.5
241,nor,car,18,10,28,8,-6.5
242,chi,nyg,29,3,32,26,-6.5
243,cin,kan,34,31,65,3,4.0
244,clt,rai,20,23,43,-3,-8.0
245,dal,crd,22,25,47,-3,-6.5
246,nwe,jax,50,10,60,40,-16.5
247,oti,mia,34,3,37,31,-3.0
248,nyj,tam,24,28,52,-4,13.5
249,was,phi,16,20,36,-4,4.5
250,sdg,den,34,13,47,21,-7.5
251,sfo,htx,23,7,30,16,-12.5
252,sea,det,51,29,80,22,-7.0
253,rav,ram,19,20,39,-1,6.0
254,gnb,min,37,10,47,27,-13.0
255,pit,cle,26,14,40,12,-2.0
256,den,kan,24,28,52,-4,11.0
257,phi,dal,26,51,77,-25,4.0
258,atl,nor,20,30,50,-10,3.5
259,buf,nyj,27,10,37,17,-16.5
260,tam,car,41,17,58,24,-9.0
261,min,chi,31,17,48,14,-4.0
262,cle,cin,21,16,37,5,-5.5
263,jax,clt,26,11,37,15,15.0
264,det,gnb,37,30,67,7,3.0
265,htx,oti,25,28,53,-3,10.5
266,mia,nwe,33,24,57,9,6.0
267,nyg,was,7,22,29,-15,7.0
268,rav,pit,13,16,29,-3,-3.5
269,crd,sea,30,38,68,-8,-5.5
270,ram,sfo,24,27,51,-3,-3.5
271,rai,sdg,35,32,67,3,3.0
