,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,418.0,5868.0,1086.0,5.4,28.0,11.0,368.0,383.0,646.0,4136.0,28.0,17.0,6.0,229.0,399.0,1732.0,20.0,4.3,97.0,104.0,889.0,42.0,197.0,35.0,14.2,362.0,4883.0,1019.0,4.8,28.0,14.0,293.0,344.0,547.0,3365.0,21.0,14.0,5.7,175.0,424.0,1518.0,16.0,3.6,90.0,123.0,1010.0,28.0,194.0,32.5,12.9,214.0,87.0,40.7,10.0,5.0,50.0,54.0,35.0,64.8,219.0,85.0,38.8,15.0,7.0,46.7,45.0,25.0,55.6
1,atl,540.0,6653.0,995.0,6.7,11.0,4.0,379.0,374.0,537.0,4725.0,38.0,7.0,8.2,239.0,421.0,1928.0,20.0,4.6,108.0,104.0,848.0,32.0,175.0,52.6,6.3,406.0,5939.0,1059.0,5.6,22.0,10.0,358.0,422.0,655.0,4267.0,31.0,12.0,6.2,232.0,370.0,1672.0,15.0,4.5,95.0,113.0,974.0,31.0,176.0,39.2,11.4,178.0,75.0,42.1,14.0,8.0,57.1,63.0,39.0,61.9,213.0,89.0,41.8,25.0,18.0,72.0,55.0,40.0,72.7
2,rav,343.0,5563.0,1079.0,5.2,23.0,7.0,316.0,439.0,679.0,4100.0,20.0,16.0,5.8,205.0,367.0,1463.0,10.0,4.0,79.0,125.0,1111.0,32.0,191.0,35.6,10.5,321.0,5154.0,993.0,5.2,28.0,10.0,294.0,369.0,578.0,3724.0,28.0,18.0,6.1,190.0,384.0,1430.0,10.0,3.7,74.0,94.0,900.0,30.0,192.0,28.1,14.1,233.0,86.0,36.9,19.0,8.0,42.1,46.0,24.0,52.2,214.0,75.0,35.0,16.0,11.0,68.8,47.0,26.0,55.3
3,buf,399.0,5666.0,1012.0,5.6,12.0,5.0,328.0,286.0,474.0,3036.0,17.0,7.0,5.8,155.0,492.0,2630.0,29.0,5.3,146.0,112.0,960.0,27.0,177.0,36.7,6.8,378.0,5712.0,1019.0,5.6,18.0,6.0,338.0,306.0,511.0,3582.0,19.0,12.0,6.5,183.0,469.0,2130.0,21.0,4.5,122.0,106.0,884.0,33.0,183.0,38.8,9.3,210.0,86.0,41.0,15.0,8.0,53.3,54.0,35.0,64.8,205.0,82.0,40.0,14.0,4.0,28.6,57.0,30.0,52.6
4,car,369.0,5499.0,1052.0,5.2,29.0,10.0,318.0,306.0,563.0,3685.0,21.0,19.0,6.2,194.0,453.0,1814.0,16.0,4.0,99.0,98.0,835.0,25.0,193.0,34.7,14.0,402.0,5756.0,1035.0,5.6,27.0,10.0,329.0,409.0,612.0,4291.0,27.0,17.0,6.5,223.0,376.0,1465.0,11.0,3.9,90.0,112.0,907.0,16.0,196.0,36.2,13.8,223.0,83.0,37.2,17.0,11.0,64.7,49.0,29.0,59.2,211.0,80.0,37.9,13.0,9.0,69.2,55.0,24.0,43.6
5,chi,279.0,5704.0,967.0,5.9,31.0,12.0,324.0,347.0,559.0,3969.0,19.0,19.0,6.8,212.0,380.0,1735.0,10.0,4.6,93.0,110.0,967.0,19.0,172.0,27.3,17.4,399.0,5548.0,1012.0,5.5,11.0,3.0,322.0,342.0,530.0,3598.0,22.0,8.0,6.3,188.0,445.0,1950.0,18.0,4.4,99.0,103.0,959.0,35.0,174.0,42.0,6.3,185.0,70.0,37.8,14.0,4.0,28.6,49.0,25.0,51.0,210.0,85.0,40.5,14.0,10.0,71.4,59.0,31.0,52.5
6,cin,325.0,5711.0,1050.0,5.4,17.0,9.0,341.0,364.0,563.0,3942.0,18.0,8.0,6.5,204.0,446.0,1769.0,17.0,4.0,100.0,88.0,726.0,37.0,176.0,35.8,8.5,315.0,5612.0,1038.0,5.4,20.0,3.0,327.0,374.0,593.0,3800.0,22.0,17.0,6.1,196.0,412.0,1812.0,12.0,4.4,95.0,105.0,950.0,36.0,176.0,34.7,11.4,210.0,82.0,39.0,9.0,7.0,77.8,54.0,29.0,53.7,217.0,86.0,39.6,19.0,9.0,47.4,49.0,25.0,51.0
7,cle,264.0,4976.0,983.0,5.1,25.0,11.0,296.0,338.0,567.0,3264.0,15.0,14.0,5.2,181.0,350.0,1712.0,13.0,4.9,83.0,95.0,736.0,32.0,180.0,27.2,13.3,452.0,6279.0,1067.0,5.9,13.0,3.0,364.0,347.0,543.0,3996.0,36.0,10.0,7.0,220.0,498.0,2283.0,18.0,4.6,121.0,104.0,930.0,23.0,179.0,40.8,6.1,212.0,77.0,36.3,18.0,13.0,72.2,44.0,24.0,54.5,206.0,93.0,45.1,12.0,9.0,75.0,60.0,40.0,66.7
8,dal,421.0,6027.0,1010.0,6.0,15.0,9.0,358.0,325.0,483.0,3631.0,25.0,6.0,7.1,191.0,499.0,2396.0,24.0,4.8,142.0,105.0,879.0,25.0,173.0,43.9,8.7,306.0,5503.0,1009.0,5.5,20.0,11.0,330.0,425.0,633.0,4167.0,25.0,9.0,6.2,226.0,340.0,1336.0,9.0,3.9,79.0,90.0,784.0,25.0,168.0,35.1,11.3,189.0,80.0,42.3,9.0,8.0,88.9,57.0,38.0,66.7,197.0,77.0,39.1,14.0,9.0,64.3,54.0,29.0,53.7
9,den,333.0,5169.0,1020.0,5.1,25.0,14.0,290.0,339.0,570.0,3685.0,20.0,11.0,6.0,181.0,410.0,1484.0,11.0,3.6,76.0,119.0,985.0,33.0,198.0,30.3,11.6,297.0,5057.0,1076.0,4.7,27.0,13.0,306.0,306.0,552.0,2972.0,13.0,14.0,5.0,169.0,482.0,2085.0,15.0,4.3,101.0,110.0,990.0,36.0,197.0,29.4,12.2,219.0,75.0,34.2,17.0,9.0,52.9,47.0,22.0,46.8,236.0,86.0,36.4,16.0,6.0,37.5,42.0,22.0,52.4
