,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,410.0,6153.0,1083.0,5.7,21.0,8.0,381.0,387.0,575.0,3916.0,27.0,13.0,6.5,211.0,479.0,2237.0,22.0,4.7,136.0,113.0,868.0,34.0,179.0,40.2,11.7,367.0,5631.0,1054.0,5.3,21.0,10.0,363.0,365.0,570.0,3623.0,26.0,11.0,5.9,207.0,436.0,2008.0,13.0,4.6,118.0,104.0,841.0,38.0,172.0,37.2,10.5,202.0,80.0,39.6,25.0,17.0,68.0,58.0,38.0,65.5,202.0,80.0,39.6,21.0,14.0,66.7,56.0,29.0,51.8
1,atl,396.0,5895.0,1078.0,5.5,18.0,7.0,366.0,408.0,628.0,4363.0,27.0,11.0,6.5,243.0,409.0,1532.0,13.0,3.7,86.0,83.0,736.0,37.0,174.0,44.8,10.3,414.0,6374.0,1034.0,6.2,21.0,9.0,367.0,425.0,625.0,4697.0,34.0,12.0,7.2,239.0,380.0,1677.0,15.0,4.4,97.0,91.0,800.0,31.0,174.0,42.0,12.1,221.0,97.0,43.9,26.0,15.0,57.7,58.0,31.0,53.4,195.0,80.0,41.0,23.0,10.0,43.5,56.0,36.0,64.3
2,rav,468.0,5810.0,993.0,5.9,18.0,7.0,327.0,257.0,406.0,2739.0,27.0,11.0,6.3,142.0,555.0,3071.0,24.0,5.5,166.0,104.0,961.0,19.0,170.0,45.3,10.6,303.0,5276.0,1017.0,5.2,22.0,12.0,347.0,380.0,596.0,3536.0,22.0,10.0,5.6,213.0,382.0,1740.0,12.0,4.6,96.0,77.0,646.0,38.0,170.0,30.0,12.4,207.0,101.0,48.8,19.0,12.0,63.2,60.0,38.0,63.3,191.0,65.0,34.0,35.0,16.0,45.7,45.0,28.0,62.2
3,buf,501.0,6343.0,1034.0,6.1,22.0,11.0,397.0,410.0,596.0,4620.0,40.0,11.0,7.4,240.0,411.0,1723.0,16.0,4.2,119.0,102.0,941.0,38.0,170.0,49.4,11.8,375.0,5640.0,1025.0,5.5,26.0,11.0,351.0,369.0,573.0,3726.0,23.0,15.0,6.1,199.0,414.0,1914.0,21.0,4.6,125.0,86.0,728.0,27.0,170.0,39.4,15.3,187.0,93.0,49.7,10.0,8.0,80.0,68.0,42.0,61.8,191.0,76.0,39.8,19.0,11.0,57.9,58.0,38.0,65.5
4,car,350.0,5592.0,993.0,5.6,21.0,5.0,335.0,373.0,550.0,3888.0,16.0,16.0,6.6,192.0,407.0,1704.0,19.0,4.2,110.0,95.0,752.0,33.0,159.0,40.3,13.2,402.0,5761.0,1022.0,5.6,22.0,15.0,360.0,398.0,585.0,3825.0,28.0,7.0,6.2,211.0,408.0,1936.0,17.0,4.7,114.0,85.0,713.0,35.0,161.0,46.0,12.4,195.0,76.0,39.0,27.0,15.0,55.6,57.0,29.0,50.9,199.0,98.0,49.2,10.0,6.0,60.0,57.0,36.0,63.2
5,chi,372.0,5302.0,1043.0,5.1,22.0,6.0,335.0,402.0,614.0,3655.0,26.0,16.0,5.6,218.0,393.0,1647.0,12.0,4.2,93.0,88.0,777.0,24.0,175.0,38.9,12.0,370.0,5519.0,1020.0,5.4,18.0,8.0,331.0,350.0,547.0,3705.0,28.0,10.0,6.4,190.0,438.0,1814.0,11.0,4.1,104.0,95.0,861.0,37.0,179.0,38.0,8.9,205.0,71.0,34.6,28.0,17.0,60.7,55.0,31.0,56.4,210.0,80.0,38.1,22.0,13.0,59.1,53.0,29.0,54.7
6,cin,311.0,5116.0,1040.0,4.9,24.0,13.0,318.0,372.0,581.0,3448.0,19.0,11.0,5.5,201.0,411.0,1668.0,13.0,4.1,92.0,83.0,675.0,25.0,179.0,33.0,12.8,424.0,6227.0,1021.0,6.1,17.0,6.0,343.0,340.0,541.0,3859.0,32.0,11.0,6.9,192.0,463.0,2368.0,13.0,5.1,126.0,99.0,795.0,25.0,180.0,43.3,9.4,213.0,77.0,36.2,27.0,19.0,70.4,48.0,24.0,50.0,210.0,91.0,43.3,16.0,10.0,62.5,58.0,37.0,63.8
7,cle,408.0,5913.0,1022.0,5.8,16.0,8.0,355.0,315.0,501.0,3539.0,27.0,8.0,6.7,195.0,495.0,2374.0,21.0,4.8,133.0,100.0,870.0,27.0,165.0,40.6,9.7,419.0,5735.0,1035.0,5.5,21.0,10.0,352.0,371.0,585.0,3962.0,31.0,11.0,6.4,214.0,412.0,1773.0,16.0,4.3,116.0,84.0,690.0,22.0,165.0,43.0,12.7,196.0,88.0,44.9,24.0,8.0,33.3,53.0,39.0,73.6,205.0,90.0,43.9,27.0,22.0,81.5,61.0,37.0,60.7
8,dal,395.0,5949.0,1113.0,5.3,26.0,13.0,371.0,413.0,639.0,4161.0,25.0,13.0,6.1,231.0,430.0,1788.0,14.0,4.2,115.0,96.0,849.0,25.0,180.0,40.6,14.4,473.0,6183.0,1054.0,5.9,23.0,13.0,359.0,328.0,513.0,3642.0,34.0,10.0,6.7,180.0,510.0,2541.0,20.0,5.0,142.0,91.0,733.0,37.0,181.0,43.1,12.2,215.0,87.0,40.5,31.0,17.0,54.8,54.0,27.0,50.0,209.0,98.0,46.9,21.0,10.0,47.6,55.0,34.0,61.8
9,den,323.0,5369.0,1030.0,5.2,32.0,9.0,308.0,317.0,556.0,3451.0,21.0,23.0,5.9,176.0,442.0,1918.0,13.0,4.3,94.0,81.0,670.0,38.0,188.0,33.0,17.0,446.0,5887.0,1043.0,5.6,16.0,6.0,333.0,374.0,567.0,3807.0,21.0,10.0,6.3,201.0,434.0,2080.0,22.0,4.8,106.0,106.0,952.0,26.0,184.0,44.6,8.2,212.0,82.0,38.7,15.0,4.0,26.7,45.0,24.0,53.3,219.0,88.0,40.2,14.0,7.0,50.0,61.0,29.0,47.5
10,det,377.0,5603.0,991.0,5.7,21.0,8.0,350.0,374.0,582.0,4104.0,27.0,13.0,6.6,220.0,367.0,1499.0,17.0,4.1,93.0,95.0,860.0,37.0,169.0,38.5,11.2,519.0,6716.0,1068.0,6.3,12.0,5.0,415.0,383.0,557.0,4558.0,38.0,7.0,7.8,253.0,487.0,2158.0,27.0,4.4,127.0,103.0,797.0,35.0,169.0,47.9,7.1,192.0,79.0,41.1,20.0,10.0,50.0,53.0,35.0,66.0,193.0,91.0,47.2,18.0,11.0,61.1,65.0,47.0,72.3
11,gnb,509.0,6224.0,990.0,6.3,11.0,6.0,358.0,372.0,526.0,4106.0,48.0,5.0,7.5,216.0,443.0,2118.0,16.0,4.8,114.0,84.0,684.0,28.0,161.0,49.7,5.6,369.0,5344.0,974.0,5.5,18.0,7.0,332.0,346.0,536.0,3539.0,23.0,11.0,6.1,184.0,397.0,1805.0,16.0,4.5,119.0,79.0,734.0,29.0,158.0,39.9,11.4,180.0,89.0,49.4,21.0,13.0,61.9,60.0,48.0,80.0,185.0,73.0,39.5,24.0,14.0,58.3,52.0,30.0,57.7
12,htx,384.0,6004.0,940.0,6.4,18.0,11.0,326.0,383.0,546.0,4538.0,33.0,7.0,7.6,222.0,344.0,1466.0,10.0,4.3,83.0,80.0,619.0,21.0,163.0,42.9,9.8,464.0,6668.0,1068.0,6.2,9.0,6.0,390.0,377.0,541.0,4104.0,30.0,3.0,7.1,222.0,493.0,2564.0,24.0,5.2,145.0,76.0,678.0,23.0,168.0,47.0,5.4,193.0,83.0,43.0,16.0,9.0,56.3,50.0,27.0,54.0,202.0,96.0,47.5,21.0,11.0,52.4,63.0,40.0,63.5
13,clt,451.0,6049.0,1032.0,5.9,15.0,4.0,364.0,371.0,552.0,4053.0,24.0,11.0,7.1,201.0,459.0,1996.0,20.0,4.3,129.0,94.0,899.0,34.0,171.0,44.4,8.8,362.0,5314.0,992.0,5.4,25.0,10.0,329.0,369.0,562.0,3866.0,24.0,15.0,6.4,203.0,390.0,1448.0,16.0,3.7,94.0,86.0,755.0,32.0,168.0,35.1,14.3,197.0,78.0,39.6,26.0,16.0,61.5,60.0,35.0,58.3,203.0,86.0,42.4,14.0,6.0,42.9,52.0,32.0,61.5
14,jax,306.0,5218.0,997.0,5.2,25.0,9.0,310.0,387.0,616.0,3699.0,25.0,16.0,5.6,205.0,337.0,1519.0,9.0,4.5,80.0,107.0,1071.0,25.0,171.0,30.4,14.0,492.0,6683.0,1068.0,6.3,17.0,5.0,394.0,370.0,533.0,4231.0,34.0,12.0,7.7,210.0,517.0,2452.0,23.0,4.7,140.0,78.0,710.0,44.0,184.0,47.8,9.2,207.0,84.0,40.6,26.0,7.0,26.9,45.0,27.0,60.0,198.0,86.0,43.4,18.0,12.0,66.7,63.0,40.0,63.5
15,kan,473.0,6653.0,1057.0,6.3,16.0,9.0,397.0,420.0,630.0,4854.0,40.0,7.0,7.4,255.0,403.0,1799.0,13.0,4.5,110.0,105.0,919.0,32.0,163.0,47.9,9.2,362.0,5733.0,1022.0,5.6,22.0,6.0,353.0,349.0,557.0,3779.0,29.0,16.0,6.4,202.0,433.0,1954.0,14.0,4.5,113.0,97.0,760.0,38.0,169.0,36.1,13.0,194.0,95.0,49.0,16.0,9.0,56.3,59.0,36.0,61.0,188.0,77.0,41.0,20.0,13.0,65.0,47.0,36.0,76.6
