,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,gnb,nor,42,34,76,8,-5.0
1,ram,phi,13,31,44,-18,4.0
2,htx,clt,34,7,41,27,-9.0
3,jax,oti,16,14,30,2,1.5
4,rav,pit,35,7,42,28,-1.5
5,chi,atl,30,12,42,18,1.5
6,kan,buf,7,41,48,-34,-3.5
7,cle,cin,17,27,44,-10,-7.0
8,tam,det,20,27,47,-7,-1.5
9,crd,car,28,21,49,7,-7.0
10,sdg,min,24,17,41,7,-8.5
11,sfo,sea,33,17,50,16,-6.0
12,was,nyg,28,14,42,14,2.0
13,nyj,dal,27,24,51,3,-6.0
14,mia,nwe,24,38,62,-14,7.5
15,den,rai,20,23,43,-3,-3.0
16,car,gnb,23,30,53,-7,11.0
17,nor,chi,30,13,43,17,-5.0
18,clt,cle,19,27,46,-8,1.5
19,det,kan,48,3,51,45,-9.0
20,nyj,jax,32,3,35,29,-9.0
21,oti,rav,26,13,39,13,6.0
22,pit,sea,24,0,24,24,-14.0
23,buf,rai,38,35,73,3,-4.0
24,was,crd,22,21,43,1,-4.5
25,min,tam,20,24,44,-4,-1.0
26,sfo,dal,24,27,51,-3,3.0
27,den,cin,24,22,46,2,-3.0
28,mia,htx,13,23,36,-10,3.0
29,nwe,sdg,35,21,56,14,-7.0
30,atl,phi,35,31,66,4,2.5
31,nyg,ram,28,16,44,12,-7.0
32,car,jax,16,10,26,6,-3.5
33,cin,sfo,8,13,21,-5,-1.0
34,cle,mia,17,16,33,1,2.0
35,oti,den,17,14,31,3,-7.0
36,nor,htx,40,33,73,7,-4.0
37,buf,nwe,34,31,65,3,7.5
38,phi,nyg,16,29,45,-13,-8.0
39,min,det,23,26,49,-3,3.0
40,rai,nyj,34,24,58,10,3.0
41,sdg,kan,20,17,37,3,-14.5
42,ram,rav,7,37,44,-30,6.0
43,chi,gnb,17,27,44,-10,5.0
44,sea,crd,13,10,23,3,3.0
45,tam,atl,16,13,29,3,-1.0
46,clt,pit,20,23,43,-3,11.0
47,dal,was,18,16,34,2,-3.5
48,ram,was,10,17,27,-7,3.0
49,dal,det,30,34,64,-4,-2.5
50,kan,min,22,17,39,5,3.0
51,cin,buf,23,20,43,3,3.0
52,cle,oti,13,31,44,-18,-1.5
53,htx,pit,17,10,27,7,-4.0
54,jax,nor,10,23,33,-13,9.0
55,phi,sfo,23,24,47,-1,-10.0
56,chi,car,34,29,63,5,-7.0
57,sea,atl,28,30,58,-2,6.0
58,crd,nyg,27,31,58,-4,1.5
59,gnb,den,49,23,72,26,-12.0
60,sdg,mia,26,16,42,10,-7.0
61,rai,nwe,19,31,50,-12,6.5
62,rav,nyj,34,17,51,17,-5.0
63,tam,clt,24,17,41,7,-10.0
64,jax,cin,20,30,50,-10,2.5
65,clt,kan,24,28,52,-4,-1.5
66,htx,rai,20,25,45,-5,-4.5
67,pit,oti,38,17,55,21,-3.0
68,buf,phi,31,24,55,7,3.0
69,car,nor,27,30,57,-3,6.5
70,nyg,sea,25,36,61,-11,-10.0
71,min,crd,34,10,44,24,-3.5
72,sfo,tam,48,3,51,45,-3.0
73,nwe,nyj,30,21,51,9,-7.5
74,den,sdg,24,29,53,-5,3.5
75,atl,gnb,14,25,39,-11,6.5
76,det,chi,24,13,37,11,-7.0
77,atl,car,31,17,48,14,-3.5
78,nyg,buf,27,24,51,3,-3.0
79,cin,clt,27,17,44,10,-4.5
80,gnb,ram,24,3,27,21,-14.0
81,pit,jax,17,13,30,4,-12.5
82,det,sfo,19,25,44,-6,-5.0
83,was,phi,13,20,33,-7,3.0
84,rai,cle,24,17,41,7,-6.5
85,rav,htx,29,14,43,15,-7.0
86,nwe,dal,20,16,36,4,-7.0
87,tam,nor,26,20,46,6,6.5
88,chi,min,39,10,49,29,-2.5
89,nyj,mia,24,6,30,18,-7.5
90,mia,den,15,18,33,-3,1.0
91,oti,htx,7,41,48,-34,-2.5
92,nyj,sdg,27,21,48,6,1.0
93,cle,sea,6,3,9,3,-3.0
94,det,atl,16,23,39,-7,-4.5
95,car,was,33,20,53,13,-2.5
96,tam,chi,18,24,42,-6,2.0
97,crd,pit,20,32,52,-12,4.5
98,dal,ram,34,7,41,27,-14.0
99,min,gnb,27,33,60,-6,11.0
100,rai,kan,0,28,28,-28,-3.5
101,nor,clt,62,7,69,55,-14.0
102,jax,rav,12,7,19,5,10.5
103,ram,nor,31,21,52,10,14.0
104,rav,crd,30,27,57,3,-11.5
105,nyg,mia,20,17,37,3,-10.0
106,oti,clt,27,10,37,17,-7.5
107,htx,jax,24,14,38,10,-10.0
108,car,min,21,24,45,-3,-3.0
109,buf,was,23,0,23,23,-4.0
110,den,det,10,45,55,-35,3.5
111,sfo,cle,20,10,30,10,-9.5
112,pit,nwe,25,17,42,8,3.0
113,sea,cin,12,34,46,-22,1.5
114,phi,dal,34,7,41,27,-3.0
115,kan,sdg,23,20,43,3,3.0
116,clt,atl,7,31,38,-24,7.0
117,dal,sea,23,13,36,10,-11.0
118,buf,nyj,11,27,38,-16,-2.5
119,htx,cle,30,12,42,18,-10.5
120,kan,mia,3,31,34,-28,-4.0
121,was,sfo,11,19,30,-8,4.5
122,nor,tam,27,16,43,11,-9.0
123,oti,cin,17,24,41,-7,-3.0
124,rai,den,24,38,62,-14,-7.5
125,crd,ram,19,13,32,6,-3.0
126,sdg,gnb,38,45,83,-7,6.0
127,nwe,nyg,20,24,44,-4,-9.0
128,pit,rav,20,23,43,-3,-3.5
129,phi,chi,24,30,54,-6,-8.0
130,sdg,rai,17,24,41,-7,-7.0
131,dal,buf,44,7,51,37,-4.5
132,cin,pit,17,24,41,-7,4.0
