,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,kan,htx,34,20,54,14,-9.5
1,atl,sea,25,38,63,-13,-1.0
2,buf,nyj,27,17,44,10,-6.5
3,car,rai,30,34,64,-4,3.0
4,det,chi,23,27,50,-4,-2.5
5,rav,cle,38,6,44,32,-7.0
6,jax,clt,27,20,47,7,7.0
7,min,gnb,34,43,77,-9,-1.0
8,nwe,mia,21,11,32,10,-7.5
9,was,phi,27,17,44,10,5.5
10,cin,sdg,13,16,29,-3,2.5
11,sfo,crd,20,24,44,-4,-7.0
12,nor,tam,34,23,57,11,-4.0
13,ram,dal,20,17,37,3,-1.0
14,nyg,pit,16,26,42,-10,6.0
15,den,oti,14,16,30,-2,3.5
16,cle,cin,35,30,65,5,-6.0
17,dal,atl,40,39,79,1,-3.0
18,mia,buf,28,31,59,-3,5.5
19,tam,car,31,17,48,14,-7.5
20,chi,nyg,17,13,30,4,-4.5
21,clt,min,28,11,39,17,-3.5
22,pit,den,26,21,47,5,-6.0
23,gnb,det,42,21,63,21,-7.0
24,oti,jax,33,30,63,3,-7.0
25,nyj,sfo,13,31,44,-18,7.0
26,phi,ram,19,37,56,-18,-2.0
27,crd,was,30,15,45,15,-7.5
28,htx,rav,16,33,49,-17,7.5
29,sdg,kan,20,23,43,-3,8.5
30,sea,nwe,35,30,65,5,-4.0
31,rai,nor,34,24,58,10,4.0
32,jax,mia,13,31,44,-18,-2.5
33,atl,chi,26,30,56,-4,-2.5
34,buf,ram,35,32,67,3,-1.5
35,phi,cin,23,23,46,0,-5.5
36,cle,was,34,20,54,14,-7.5
37,pit,htx,28,21,49,7,-3.5
38,min,oti,30,31,61,-1,3.0
39,nwe,rai,36,20,56,16,-7.0
40,nyg,sfo,9,36,45,-27,3.0
41,sdg,car,16,21,37,-5,-6.0
42,clt,nyj,36,7,43,29,-12.5
43,crd,det,23,26,49,-3,-4.5
44,sea,dal,38,31,69,7,-5.5
45,den,tam,10,28,38,-18,6.0
46,nor,gnb,30,37,67,-7,-3.5
47,rav,kan,20,34,54,-14,-3.5
48,nyj,den,28,37,65,-9,-1.0
49,car,crd,31,21,52,10,3.0
50,chi,clt,11,19,30,-8,3.5
51,cin,jax,33,25,58,8,-1.0
52,dal,cle,38,49,87,-11,-3.5
53,det,nor,29,35,64,-6,3.0
54,htx,min,23,31,54,-8,-3.5
55,mia,sea,23,31,54,-8,4.5
56,was,rav,17,31,48,-14,14.5
57,tam,sdg,38,31,69,7,-7.5
58,ram,nyg,17,9,26,8,-13.5
59,rai,buf,23,30,53,-7,3.0
60,sfo,phi,20,25,45,-5,-8.5
61,kan,nwe,26,10,36,16,-11.0
