,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,den,rav,49,27,76,22,-7.5
1,buf,nwe,21,23,44,-2,10.5
2,chi,cin,24,21,45,3,-3.0
3,cle,mia,10,23,33,-13,-2.5
4,clt,rai,21,17,38,4,-11.5
5,det,min,34,24,58,10,-4.5
6,pit,oti,9,16,25,-7,-6.0
7,nor,atl,23,17,40,6,-3.5
8,jax,kan,2,28,30,-26,4.5
9,nyj,tam,18,17,35,1,6.0
10,car,sea,7,12,19,-5,3.5
11,ram,crd,27,24,51,3,-3.5
12,sfo,gnb,34,28,62,6,-5.0
13,dal,nyg,36,31,67,5,-3.5
14,was,phi,27,33,60,-6,-4.5
15,sdg,htx,28,31,59,-3,6.5
16,nwe,nyj,13,10,23,3,-11.5
17,buf,car,24,23,47,1,3.5
18,rav,cle,14,6,20,8,-7.0
19,clt,mia,20,24,44,-4,-3.0
20,kan,dal,17,16,33,1,-3.0
21,gnb,was,38,20,58,18,-8.0
22,phi,sdg,30,33,63,-3,-7.5
23,atl,ram,31,24,55,7,-5.5
24,chi,min,31,30,61,1,-6.5
25,htx,oti,30,24,54,6,-9.0
26,crd,det,25,21,46,4,2.0
27,tam,nor,14,16,30,-2,4.0
28,nyg,den,23,41,64,-18,4.0
29,rai,jax,19,9,28,10,-5.0
30,sea,sfo,29,3,32,26,-2.5
31,cin,pit,20,10,30,10,-6.5
32,phi,kan,16,26,42,-10,-3.5
33,dal,ram,31,7,38,24,-3.5
34,nwe,tam,23,3,26,20,-7.5
35,car,nyg,38,0,38,38,3.0
36,cin,gnb,34,30,64,4,3.0
37,nor,crd,31,7,38,24,-7.5
38,was,det,20,27,47,-7,1.0
39,rav,htx,30,9,39,21,1.0
40,oti,sdg,20,17,37,3,-3.0
41,min,cle,27,31,58,-4,-7.0
42,mia,atl,27,23,50,4,-2.5
43,nyj,buf,27,20,47,7,-2.5
44,sfo,clt,7,27,34,-20,-10.0
45,sea,jax,45,17,62,28,-20.0
46,pit,chi,23,40,63,-17,2.5
47,den,rai,37,21,58,16,-16.5
48,ram,sfo,11,35,46,-24,4.0
49,buf,rav,23,20,43,3,4.0
50,kan,nyg,31,7,38,24,-4.5
51,det,chi,40,32,72,8,-2.5
52,tam,crd,10,13,23,-3,-2.5
53,htx,sea,20,23,43,-3,2.0
54,cle,cin,17,6,23,11,4.5
55,jax,clt,3,37,40,-34,9.5
56,min,pit,34,27,61,7,3.0
57,oti,nyj,38,13,51,25,-3.5
