,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,chi,gnb,3,10,13,-7,-3.5
1,min,atl,28,12,40,16,-3.5
2,nyj,buf,16,17,33,-1,-2.5
3,car,ram,27,30,57,-3,1.5
4,cle,oti,13,43,56,-30,-5.5
5,jax,kan,26,40,66,-14,3.5
6,mia,rav,10,59,69,-49,7.0
7,phi,was,32,27,59,5,-10.5
8,sea,cin,21,20,41,1,-9.5
9,sdg,clt,30,24,54,6,-6.0
10,crd,det,27,27,54,0,2.5
11,dal,nyg,35,17,52,18,-7.0
12,tam,sfo,17,31,48,-14,-1.0
13,nwe,pit,33,3,36,30,-5.5
14,nor,htx,30,28,58,2,-6.5
15,rai,den,24,16,40,8,3.0
16,car,tam,14,20,34,-6,-6.5
17,nyg,buf,14,28,42,-14,1.0
18,cin,sfo,17,41,58,-24,-1.0
19,oti,clt,17,19,36,-2,-3.0
20,rav,crd,23,17,40,6,-13.0
21,was,dal,21,31,52,-10,6.0
22,det,sdg,13,10,23,3,1.0
23,gnb,min,21,16,37,5,-3.0
24,htx,jax,13,12,25,1,-7.5
25,mia,nwe,0,43,43,-43,18.0
26,pit,sea,26,28,54,-2,-4.0
27,rai,kan,10,28,38,-18,7.0
28,den,chi,14,16,30,-2,3.0
29,ram,nor,27,9,36,18,-2.0
30,atl,phi,24,20,44,4,1.0
31,nyj,cle,3,23,26,-20,6.5
32,jax,oti,20,7,27,13,1.5
33,clt,atl,27,24,51,3,-1.0
34,buf,cin,21,17,38,4,-5.5
35,dal,mia,31,6,37,25,-22.0
36,gnb,den,27,16,43,11,-7.0
37,phi,det,24,27,51,-3,-4.0
38,kan,rav,33,28,61,5,-4.5
39,min,rai,34,14,48,20,-8.5
40,nwe,nyj,30,14,44,16,-20.5
41,crd,car,20,38,58,-18,-2.5
42,tam,nyg,31,32,63,-1,-5.0
43,sdg,htx,20,27,47,-7,-3.0
44,sea,nor,27,33,60,-6,-5.0
45,sfo,pit,24,20,44,4,-6.0
46,cle,ram,13,20,33,-7,4.0
47,was,chi,15,31,46,-16,5.0
48,gnb,phi,27,34,61,-7,-3.5
49,atl,oti,10,24,34,-14,-3.5
50,buf,nwe,10,16,26,-6,7.0
51,htx,car,10,16,26,-6,-5.5
52,rav,cle,25,40,65,-15,-7.5
53,clt,rai,24,31,55,-7,-5.5
54,det,kan,30,34,64,-4,7.5
55,mia,sdg,10,30,40,-20,15.0
56,nyg,was,24,3,27,21,-3.0
57,crd,sea,10,27,37,-17,5.5
58,ram,tam,40,55,95,-15,-9.0
59,chi,min,16,6,22,10,1.0
60,den,jax,24,26,50,-2,-2.5
61,nor,dal,12,10,22,2,2.5
62,pit,cin,27,3,30,24,-3.5
63,sea,ram,30,29,59,1,-1.5
64,phi,nyj,31,6,37,25,-14.0
65,htx,atl,53,32,85,21,-4.0
66,oti,buf,7,14,21,-7,-3.5
67,car,jax,34,27,61,7,-3.0
68,rai,chi,24,21,45,3,6.5
69,cin,crd,23,26,49,-3,-3.0
70,nyg,min,10,28,38,-18,5.5
71,nor,tam,31,24,55,7,-3.0
72,was,nwe,7,33,40,-26,15.5
73,pit,rav,23,26,49,-3,3.5
74,sdg,den,13,20,33,-7,-4.0
75,dal,gnb,24,34,58,-10,-3.5
76,kan,clt,13,19,32,-6,-10.5
77,sfo,cle,31,3,34,28,-5.0
78,nwe,nyg,35,14,49,21,-16.5
79,tam,car,26,37,63,-11,2.0
80,mia,was,16,17,33,-1,6.0
81,rav,cin,23,17,40,6,-10.5
82,cle,sea,28,32,60,-4,-1.0
83,kan,htx,24,31,55,-7,-3.5
84,jax,nor,6,13,19,-7,-2.5
85,min,phi,38,20,58,18,-3.5
86,crd,atl,34,33,67,1,3.0
87,ram,sfo,7,20,27,-13,-3.0
88,nyj,dal,24,22,46,2,7.0
89,den,oti,16,0,16,16,-1.0
90,sdg,pit,17,24,41,-7,-6.0
91,gnb,det,23,22,45,1,-3.5
92,den,kan,6,30,36,-24,3.0
93,buf,mia,31,21,52,10,-17.0
94,clt,htx,30,23,53,7,-1.5
95,det,min,30,42,72,-12,2.5
96,was,sfo,0,9,9,-9,10.0
97,atl,ram,10,37,47,-27,3.0
98,cin,jax,17,27,44,-10,4.0
99,nyg,crd,21,27,48,-6,-3.5
100,gnb,rai,42,24,66,18,-5.5
101,oti,sdg,23,20,43,3,-3.0
102,chi,nor,25,36,61,-11,-4.0
103,sea,rav,16,30,46,-14,-3.0
104,dal,phi,37,10,47,27,-3.0
105,nyj,nwe,0,33,33,-33,9.5
106,min,was,19,9,28,10,-16.5
107,buf,phi,13,31,44,-18,-1.0
108,chi,sdg,16,17,33,-1,-3.5
109,clt,den,15,13,28,2,-6.0
110,det,nyg,31,26,57,5,-6.5
111,atl,sea,20,27,47,-7,7.5
112,ram,cin,24,10,34,14,-12.0
113,nor,crd,31,9,40,22,-12.5
114,jax,nyj,29,15,44,14,-7.0
115,oti,tam,27,23,50,4,-2.0
116,sfo,car,51,13,64,38,-4.5
117,nwe,cle,27,13,40,14,-9.5
118,htx,rai,27,24,51,3,-5.0
119,kan,gnb,24,31,55,-7,5.0
120,pit,mia,27,14,41,13,-14.0
121,crd,sfo,25,28,53,-3,10.5
122,jax,htx,3,26,29,-23,-1.0
123,buf,was,24,9,33,15,-10.5
124,car,oti,30,20,50,10,-3.5
125,phi,chi,22,14,36,8,-5.0
126,pit,clt,26,24,50,2,-1.0
127,mia,nyj,26,18,44,8,3.5
128,kan,min,26,23,49,3,5.5
129,rai,det,31,24,55,7,-2.5
130,sea,tam,40,34,74,6,-4.0
131,den,cle,24,19,43,5,4.0
132,sdg,gnb,26,11,37,15,4.0
133,rav,nwe,37,20,57,17,3.0
134,nyg,dal,18,37,55,-19,6.5
135,rai,sdg,26,24,50,2,1.0
136,nor,atl,9,26,35,-17,-14.0
137,cle,buf,19,16,35,3,-3.0
138,chi,det,20,13,33,7,-6.0
139,cin,rav,13,49,62,-36,10.5
140,tam,crd,30,27,57,3,-5.5
141,oti,kan,35,32,67,3,5.0
142,nyj,nyg,34,27,61,7,3.0
143,clt,mia,12,16,28,-4,-11.0
144,gnb,car,24,16,40,8,-5.0
145,pit,ram,17,12,29,5,4.0
146,dal,min,24,28,52,-4,-3.5
147,sfo,sea,24,27,51,-3,-6.5
148,cle,pit,21,7,28,14,-3.0
149,car,atl,3,29,32,-26,-3.5
150,mia,buf,20,37,57,-17,7.0
151,clt,jax,33,13,46,20,-2.5
152,det,dal,27,35,62,-8,7.5
153,min,den,27,23,50,4,-10.0
154,rav,htx,41,7,48,34,-4.0
155,tam,nor,17,34,51,-17,5.0
156,was,nyj,17,34,51,-17,-1.0
157,sfo,crd,36,26,62,10,-10.0
158,rai,cin,17,10,27,7,-13.0
159,phi,nwe,10,17,27,-7,4.5
160,ram,chi,17,7,24,10,-5.0
161,sdg,kan,17,24,41,-7,5.5
162,htx,clt,20,17,37,3,-3.5
163,atl,tam,22,35,57,-13,-3.5
164,buf,den,20,3,23,17,-3.5
165,nor,car,34,31,65,3,-10.0
166,chi,nyg,19,14,33,5,-6.0
167,cin,pit,10,16,26,-6,5.5
168,cle,mia,41,24,65,17,-11.0
169,was,det,19,16,35,3,4.0
170,nyj,rai,34,3,37,31,3.5
171,phi,sea,9,17,26,-8,1.0
172,oti,jax,42,20,62,22,-4.5
