,home_team,away_team,ht_pts_diff,ht_vegas_line
209,nyj,mia,-21,2.5
210,buf,cle,20,-10.5
211,chi,gnb,-3,4.5
212,cin,pit,-4,3.0
213,min,clt,-28,-5.0
214,nyg,det,11,-4.0
215,htx,jax,1,-3.5
216,kan,oti,-2,-6.0
217,rav,phi,1,-5.0
218,atl,sfo,28,-13.5
219,crd,nor,-7,-3.0
220,den,nwe,-13,3.0
221,sdg,rai,-3,2.5
222,dal,tam,6,-7.0
223,was,car,-11,-7.0
224,phi,nyg,5,-1.5
225,car,atl,-17,3.0
226,buf,mia,-3,-4.5
227,chi,was,-20,3.0
228,cle,sdg,3,4.5
229,gnb,min,13,-6.0
230,jax,oti,21,4.0
231,nwe,nyj,38,-17.0
232,rai,clt,8,-3.5
233,sea,crd,-3,-9.0
234,nor,tam,7,-3.0
235,ram,sfo,-1,-6.0
236,htx,cin,2,-3.0
237,pit,rav,4,-5.5
238,kan,den,23,-3.5
239,dal,det,21,-6.5
240,nyj,buf,20,3.5
241,tam,car,1,-3.0
242,min,chi,28,-6.0
243,cin,rav,17,2.5
244,pit,cle,3,-3.0
245,clt,jax,4,-5.5
246,phi,dal,14,-6.5
247,oti,htx,7,-3.0
248,mia,nwe,-21,7.5
249,atl,nor,6,-7.5
250,ram,crd,-38,7.0
251,den,rai,18,-1.0
252,sdg,kan,-10,5.5
253,was,nyg,-9,-9.0
254,sfo,sea,-2,11.5
255,det,gnb,-7,3.5
