,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
21,nwe,557.0,6846.0,1191.0,5.7,16.0,7.0,444.0,402.0,641.0,4662.0,34.0,9.0,7.0,256.0,523.0,2184.0,25.0,4.2,151.0,97.0,840.0,37.0,185.0,48.1,8.1,331.0,5972.0,1046.0,5.7,41.0,21.0,340.0,369.0,594.0,4342.0,27.0,20.0,6.9,207.0,415.0,1630.0,10.0,3.9,100.0,101.0,932.0,33.0,196.0,30.1,20.4,226.0,110.0,48.7,12.0,8.0,66.7,70.0,49.0,70.0,205.0,82.0,40.0,23.0,9.0,39.1,46.0,24.0,52.2
22,nor,461.0,6574.0,1067.0,6.2,24.0,5.0,352.0,423.0,671.0,4997.0,43.0,19.0,7.2,267.0,370.0,1577.0,10.0,4.3,64.0,104.0,911.0,21.0,190.0,37.4,12.1,454.0,7042.0,1089.0,6.5,26.0,11.0,380.0,370.0,602.0,4681.0,31.0,15.0,7.4,236.0,457.0,2361.0,18.0,5.2,116.0,102.0,835.0,28.0,192.0,39.6,13.0,207.0,91.0,44.0,14.0,8.0,57.1,57.0,39.0,68.4,208.0,80.0,38.5,19.0,10.0,52.6,70.0,39.0,55.7
23,nyg,429.0,5687.0,968.0,5.9,21.0,6.0,327.0,323.0,539.0,3825.0,26.0,15.0,6.8,187.0,409.0,1862.0,18.0,4.6,103.0,72.0,578.0,37.0,176.0,43.8,11.9,344.0,6134.0,1016.0,6.0,35.0,14.0,317.0,341.0,534.0,4068.0,26.0,21.0,7.2,196.0,449.0,2066.0,9.0,4.6,104.0,102.0,900.0,17.0,175.0,35.4,17.1,192.0,78.0,40.6,10.0,5.0,50.0,62.0,34.0,54.8,198.0,84.0,42.4,21.0,10.0,47.6,50.0,23.0,46.0
24,nyj,281.0,4787.0,1034.0,4.6,37.0,18.0,299.0,272.0,493.0,2891.0,14.0,19.0,5.4,162.0,494.0,1896.0,12.0,3.8,102.0,83.0,708.0,35.0,194.0,24.2,17.5,375.0,5174.0,1019.0,5.1,23.0,12.0,293.0,266.0,494.0,3036.0,20.0,11.0,5.8,161.0,495.0,2138.0,17.0,4.3,96.0,109.0,805.0,36.0,193.0,30.6,11.4,217.0,80.0,36.9,14.0,7.0,50.0,47.0,23.0,48.9,226.0,84.0,37.2,15.0,12.0,80.0,41.0,24.0,58.5
25,phi,280.0,5665.0,1079.0,5.3,37.0,22.0,332.0,367.0,618.0,3791.0,18.0,15.0,5.7,190.0,413.0,1874.0,10.0,4.5,111.0,98.0,813.0,31.0,184.0,29.9,17.9,444.0,5491.0,994.0,5.5,13.0,5.0,317.0,292.0,485.0,3470.0,33.0,8.0,6.7,178.0,479.0,2021.0,11.0,4.2,108.0,118.0,996.0,31.0,182.0,39.0,6.6,222.0,83.0,37.4,24.0,14.0,58.3,50.0,22.0,44.0,203.0,83.0,40.9,10.0,2.0,20.0,55.0,30.0,54.5
26,pit,336.0,5324.0,1023.0,5.2,30.0,16.0,307.0,354.0,574.0,3787.0,27.0,14.0,6.2,202.0,412.0,1537.0,8.0,3.7,80.0,92.0,938.0,25.0,186.0,33.9,15.6,314.0,4413.0,951.0,4.6,20.0,10.0,273.0,299.0,523.0,2963.0,19.0,10.0,5.3,169.0,391.0,1450.0,9.0,3.7,78.0,100.0,882.0,26.0,182.0,30.8,10.4,224.0,94.0,42.0,13.0,6.0,46.2,49.0,27.0,55.1,206.0,73.0,35.4,11.0,8.0,72.7,42.0,22.0,52.4
27,sfo,397.0,5789.0,969.0,6.0,16.0,8.0,322.0,289.0,436.0,3298.0,23.0,8.0,6.9,172.0,492.0,2491.0,17.0,5.1,128.0,109.0,960.0,22.0,178.0,39.3,7.9,273.0,4710.0,1012.0,4.7,25.0,11.0,284.0,337.0,567.0,3203.0,19.0,14.0,5.3,178.0,407.0,1507.0,7.0,3.7,72.0,93.0,758.0,34.0,180.0,26.7,12.8,194.0,68.0,35.1,12.0,8.0,66.7,55.0,28.0,50.9,215.0,71.0,33.0,25.0,14.0,56.0,36.0,22.0,61.1
28,sea,412.0,5610.0,974.0,5.8,18.0,8.0,311.0,259.0,405.0,3031.0,27.0,10.0,6.9,153.0,536.0,2579.0,16.0,4.8,129.0,110.0,890.0,29.0,170.0,39.4,10.0,245.0,4899.0,968.0,5.1,31.0,13.0,295.0,327.0,564.0,3250.0,15.0,18.0,5.4,186.0,368.0,1649.0,8.0,4.5,80.0,102.0,902.0,29.0,169.0,27.2,16.0,199.0,80.0,40.2,18.0,11.0,61.1,54.0,31.0,57.4,198.0,76.0,38.4,10.0,3.0,30.0,38.0,17.0,44.7
29,tam,389.0,5820.0,1008.0,5.8,23.0,6.0,301.0,311.0,566.0,3983.0,27.0,17.0,6.7,188.0,416.0,1837.0,13.0,4.4,89.0,101.0,819.0,24.0,193.0,35.2,10.9,394.0,6078.0,1031.0,5.9,26.0,8.0,329.0,410.0,627.0,4758.0,30.0,18.0,7.3,226.0,377.0,1320.0,13.0,3.5,75.0,103.0,851.0,28.0,192.0,32.8,12.5,212.0,76.0,35.8,17.0,7.0,41.2,47.0,28.0,59.6,219.0,88.0,40.2,14.0,6.0,42.9,54.0,30.0,55.6
30,oti,330.0,5010.0,957.0,5.2,28.0,12.0,260.0,318.0,540.0,3323.0,17.0,16.0,5.7,166.0,378.0,1687.0,10.0,4.5,70.0,106.0,847.0,24.0,188.0,27.7,14.9,471.0,5999.0,1086.0,5.5,24.0,5.0,358.0,374.0,564.0,3964.0,31.0,19.0,6.6,210.0,483.0,2035.0,16.0,4.2,122.0,86.0,717.0,26.0,191.0,39.8,12.6,217.0,83.0,38.2,15.0,5.0,33.3,36.0,18.0,50.0,214.0,85.0,39.7,14.0,6.0,42.9,58.0,37.0,63.8
31,was,436.0,6131.0,994.0,6.2,14.0,6.0,341.0,291.0,442.0,3422.0,24.0,8.0,7.2,171.0,519.0,2709.0,22.0,5.2,144.0,116.0,985.0,26.0,183.0,39.3,7.7,388.0,6043.0,1031.0,5.9,31.0,10.0,340.0,393.0,636.0,4511.0,31.0,21.0,6.8,223.0,363.0,1532.0,11.0,4.2,89.0,100.0,811.0,28.0,183.0,38.3,16.9,190.0,68.0,35.8,17.0,12.0,70.6,53.0,32.0,60.4,215.0,95.0,44.2,14.0,8.0,57.1,52.0,30.0,57.7
