,home_team,away_team,ht_pts_diff,ht_vegas_line
0,kan,htx,14,-9.5
1,atl,sea,-13,-1.0
2,buf,nyj,10,-6.5
3,car,rai,-4,3.0
4,det,chi,-4,-2.5
5,rav,cle,32,-7.0
6,jax,clt,7,7.0
7,min,gnb,-9,-1.0
8,nwe,mia,10,-7.5
9,was,phi,10,5.5
10,cin,sdg,-3,2.5
11,sfo,crd,-4,-7.0
12,nor,tam,11,-4.0
13,ram,dal,3,-1.0
14,nyg,pit,-10,6.0
15,den,oti,-2,3.5
16,cle,cin,5,-6.0
17,dal,atl,1,-3.0
18,mia,buf,-3,5.5
19,tam,car,14,-7.5
20,chi,nyg,4,-4.5
21,clt,min,17,-3.5
22,pit,den,5,-6.0
23,gnb,det,21,-7.0
24,oti,jax,3,-7.0
25,nyj,sfo,-18,7.0
26,phi,ram,-18,-2.0
27,crd,was,15,-7.5
28,htx,rav,-17,7.5
29,sdg,kan,-3,8.5
30,sea,nwe,5,-4.0
31,rai,nor,10,4.0
32,jax,mia,-18,-2.5
33,atl,chi,-4,-2.5
34,buf,ram,3,-1.5
35,phi,cin,0,-5.5
36,cle,was,14,-7.5
37,pit,htx,7,-3.5
38,min,oti,-1,3.0
39,nwe,rai,16,-7.0
40,nyg,sfo,-27,3.0
41,sdg,car,-5,-6.0
42,clt,nyj,29,-12.5
43,crd,det,-3,-4.5
44,sea,dal,7,-5.5
45,den,tam,-18,6.0
46,nor,gnb,-7,-3.5
47,rav,kan,-14,-3.5
48,nyj,den,-9,-1.0
49,car,crd,10,3.0
50,chi,clt,-8,3.5
51,cin,jax,8,-1.0
52,dal,cle,-11,-3.5
53,det,nor,-6,3.0
54,htx,min,-8,-3.5
55,mia,sea,-8,4.5
56,was,rav,-14,14.5
57,tam,sdg,7,-7.5
58,ram,nyg,8,-13.5
59,rai,buf,-7,3.0
60,sfo,phi,-5,-8.5
61,kan,nwe,16,-11.0
62,gnb,atl,14,-5.0
63,chi,tam,1,3.5
64,atl,car,-7,-2.5
65,rav,cin,24,-12.5
66,nyj,crd,-20,7.0
67,htx,jax,16,-6.5
68,kan,rai,-8,-11.0
69,pit,phi,9,-7.5
70,was,ram,-20,7.0
71,sfo,mia,-26,-8.5
72,cle,clt,9,-1.0
73,dal,nyg,3,-7.5
74,sea,min,1,-6.5
75,nor,sdg,3,-7.0
76,oti,buf,26,3.0
77,nwe,den,-6,-7.0
78,jax,det,-18,3.0
79,min,atl,-17,-3.5
80,car,chi,-7,-2.0
81,clt,cin,4,-7.5
82,pit,cle,31,-3.0
83,oti,htx,6,-4.0
84,nyg,was,1,-2.0
85,phi,rav,-2,10.5
86,mia,nyj,24,-10.0
87,tam,gnb,28,3.0
88,sfo,ram,8,2.5
89,buf,kan,-9,5.5
90,dal,crd,-28,-1.0
91,phi,nyg,1,-5.0
92,htx,gnb,-15,2.5
93,oti,pit,-3,-1.0
94,atl,det,-1,-1.0
95,nyj,buf,-8,9.5
96,nor,car,3,-7.0
97,cin,cle,-3,4.5
98,was,dal,22,1.0
99,rai,tam,-25,3.5
100,den,kan,-27,7.0
101,nwe,sfo,-27,-3.0
102,sdg,jax,10,-8.0
103,crd,sea,3,3.5
104,ram,chi,14,-6.5
105,car,atl,-8,-1.5
106,det,clt,-20,3.5
107,gnb,min,-6,-5.5
108,mia,ram,11,3.5
109,rav,pit,-4,-4.0
110,buf,nwe,3,-4.0
111,cin,oti,11,7.5
112,cle,rai,-10,-1.0
113,kan,nyj,26,-20.0
114,den,sdg,1,3.0
115,sea,sfo,10,-1.0
116,chi,nor,-3,5.5
117,phi,dal,14,-10.5
118,nyg,tam,-2,13.0
119,sfo,gnb,-17,6.0
120,clt,rav,-14,-1.0
121,min,det,14,-3.0
122,jax,htx,-2,7.0
