,home_team,away_team,ht_pts_diff,ht_vegas_line
0,ram,buf,-21,2.5
1,atl,nor,-1,5.5
2,car,cle,-2,-1.5
3,chi,sfo,9,6.0
4,cin,pit,-3,-7.0
5,htx,clt,0,7.0
6,det,phi,-3,6.0
7,was,jax,6,-3.0
8,mia,nwe,13,-3.0
9,nyj,rav,-15,6.5
10,crd,kan,-23,6.5
11,min,gnb,16,-2.5
12,oti,nyg,-1,-5.0
13,sdg,rai,5,-3.5
14,dal,tam,-16,2.0
15,sea,den,1,6.5
16,kan,sdg,3,-4.0
17,nyg,car,3,-2.0
18,cle,nyj,-1,-6.5
19,jax,clt,24,3.0
20,det,was,9,-1.5
21,rav,mia,-4,-3.5
22,nor,tam,-10,2.5
23,pit,nwe,-3,2.5
24,ram,atl,4,-10.0
25,sfo,sea,20,-9.0
26,dal,cin,3,7.0
27,rai,crd,-6,-5.5
28,den,htx,7,-10.0
29,gnb,chi,17,-10.0
30,buf,oti,34,-10.0
31,phi,min,17,-2.5
32,cle,pit,12,-4.5
33,mia,buf,2,4.5
34,car,nor,8,2.5
35,chi,htx,3,-3.0
36,nyj,cin,-15,6.0
37,clt,kan,3,5.5
38,min,det,4,-6.0
39,nwe,rav,-11,2.5
40,oti,rai,2,2.0
41,was,phi,-16,6.0
42,sdg,jax,-28,-3.0
43,sea,atl,-4,-1.0
44,crd,ram,-8,3.5
45,tam,gnb,-2,-1.0
46,den,sfo,1,1.5
47,nyg,dal,-7,-1.0
48,cin,mia,12,-3.5
49,nor,min,-3,3.5
50,atl,cle,3,1.0
51,rav,buf,-3,3.0
52,nyg,chi,8,-3.0
53,clt,oti,-7,-3.5
54,dal,was,15,-3.0
55,det,sea,-3,-3.5
56,htx,sdg,-10,6.0
57,phi,jax,8,-6.5
58,pit,nyj,-4,-3.5
59,car,crd,-10,-1.0
60,rai,den,9,-2.5
61,gnb,nwe,3,-9.5
62,tam,kan,-10,-1.0
63,sfo,ram,15,-1.5
64,den,clt,-3,-3.0
65,gnb,nyg,-5,-8.0
66,tam,atl,6,-10.0
67,buf,pit,35,-14.0
68,min,chi,7,-7.5
69,cle,sdg,-2,1.0
70,nwe,det,29,-3.0
71,jax,htx,-7,-7.0
72,nyj,mia,23,3.5
73,nor,sea,7,-5.0
74,was,oti,-4,2.0
75,car,sfo,-22,6.5
76,crd,phi,-3,5.0
77,ram,dal,-12,-5.5
78,rav,cin,2,-3.5
79,kan,rai,1,-7.0
80,chi,was,-5,1.0
81,atl,sfo,14,4.5
82,nor,cin,-4,3.0
83,cle,nwe,-23,-2.5
84,clt,jax,7,-1.5
85,gnb,nyj,-17,-7.5
86,mia,min,-8,3.0
87,nyg,rav,4,5.5
88,pit,tam,2,9.5
