,home_team,away_team,ht_pts_diff,ht_vegas_line
0,gnb,nor,8,-5.0
1,ram,phi,-18,4.0
2,htx,clt,27,-9.0
3,jax,oti,2,1.5
4,rav,pit,28,-1.5
5,chi,atl,18,1.5
6,kan,buf,-34,-3.5
7,cle,cin,-10,-7.0
8,tam,det,-7,-1.5
9,crd,car,7,-7.0
10,sdg,min,7,-8.5
11,sfo,sea,16,-6.0
12,was,nyg,14,2.0
13,nyj,dal,3,-6.0
14,mia,nwe,-14,7.5
15,den,rai,-3,-3.0
16,car,gnb,-7,11.0
17,nor,chi,17,-5.0
18,clt,cle,-8,1.5
19,det,kan,45,-9.0
20,nyj,jax,29,-9.0
21,oti,rav,13,6.0
22,pit,sea,24,-14.0
23,buf,rai,3,-4.0
24,was,crd,1,-4.5
25,min,tam,-4,-1.0
26,sfo,dal,-3,3.0
27,den,cin,2,-3.0
28,mia,htx,-10,3.0
29,nwe,sdg,14,-7.0
30,atl,phi,4,2.5
31,nyg,ram,12,-7.0
32,car,jax,6,-3.5
33,cin,sfo,-5,-1.0
34,cle,mia,1,2.0
35,oti,den,3,-7.0
36,nor,htx,7,-4.0
37,buf,nwe,3,7.5
38,phi,nyg,-13,-8.0
39,min,det,-3,3.0
40,rai,nyj,10,3.0
41,sdg,kan,3,-14.5
42,ram,rav,-30,6.0
43,chi,gnb,-10,5.0
44,sea,crd,3,3.0
45,tam,atl,3,-1.0
46,clt,pit,-3,11.0
47,dal,was,2,-3.5
48,ram,was,-7,3.0
49,dal,det,-4,-2.5
50,kan,min,5,3.0
51,cin,buf,3,3.0
52,cle,oti,-18,-1.5
53,htx,pit,7,-4.0
54,jax,nor,-13,9.0
55,phi,sfo,-1,-10.0
56,chi,car,5,-7.0
57,sea,atl,-2,6.0
58,crd,nyg,-4,1.5
59,gnb,den,26,-12.0
60,sdg,mia,10,-7.0
61,rai,nwe,-12,6.5
62,rav,nyj,17,-5.0
63,tam,clt,7,-10.0
64,jax,cin,-10,2.5
65,clt,kan,-4,-1.5
66,htx,rai,-5,-4.5
67,pit,oti,21,-3.0
68,buf,phi,7,3.0
69,car,nor,-3,6.5
70,nyg,sea,-11,-10.0
71,min,crd,24,-3.5
72,sfo,tam,45,-3.0
73,nwe,nyj,9,-7.5
74,den,sdg,-5,3.5
75,atl,gnb,-11,6.5
76,det,chi,11,-7.0
77,atl,car,14,-3.5
78,nyg,buf,3,-3.0
79,cin,clt,10,-4.5
80,gnb,ram,21,-14.0
81,pit,jax,4,-12.5
82,det,sfo,-6,-5.0
83,was,phi,-7,3.0
84,rai,cle,7,-6.5
85,rav,htx,15,-7.0
86,nwe,dal,4,-7.0
87,tam,nor,6,6.5
88,chi,min,29,-2.5
89,nyj,mia,18,-7.5
90,mia,den,-3,1.0
91,oti,htx,-34,-2.5
92,nyj,sdg,6,1.0
93,cle,sea,3,-3.0
94,det,atl,-7,-4.5
95,car,was,13,-2.5
96,tam,chi,-6,2.0
97,crd,pit,-12,4.5
98,dal,ram,27,-14.0
99,min,gnb,-6,11.0
100,rai,kan,-28,-3.5
101,nor,clt,55,-14.0
102,jax,rav,5,10.5
103,ram,nor,10,14.0
104,rav,crd,3,-11.5
105,nyg,mia,3,-10.0
106,oti,clt,17,-7.5
107,htx,jax,10,-10.0
108,car,min,-3,-3.0
109,buf,was,23,-4.0
110,den,det,-35,3.5
111,sfo,cle,10,-9.5
112,pit,nwe,8,3.0
113,sea,cin,-22,1.5
114,phi,dal,27,-3.0
115,kan,sdg,3,3.0
116,clt,atl,-24,7.0
117,dal,sea,10,-11.0
118,buf,nyj,-16,-2.5
119,htx,cle,18,-10.5
120,kan,mia,-28,-4.0
121,was,sfo,-8,4.5
122,nor,tam,11,-9.0
123,oti,cin,-7,-3.0
124,rai,den,-14,-7.5
125,crd,ram,6,-3.0
126,sdg,gnb,-7,6.0
127,nwe,nyg,-4,-9.0
128,pit,rav,-3,-3.5
129,phi,chi,-6,-8.0
130,sdg,rai,-7,-7.0
131,dal,buf,37,-4.5
132,cin,pit,-7,4.0
133,phi,crd,-4,-13.0
134,clt,jax,-14,3.0
135,tam,htx,-28,4.0
136,atl,nor,-3,-1.0
137,cle,ram,-1,-3.0
138,kan,den,-7,-3.5
139,mia,was,11,-4.0
140,car,oti,-27,-3.5
141,sea,rav,5,7.0
142,sfo,nyg,7,-4.0
143,chi,det,24,-3.0
144,nyj,nwe,-21,-2.5
145,gnb,min,38,-13.0
146,den,nyj,4,6.5
147,mia,buf,27,-3.0
148,det,car,14,-7.0
149,rav,cin,7,-7.0
150,cle,jax,4,-1.5
151,gnb,tam,9,-13.5
152,was,dal,-3,7.0
153,min,rai,-6,-2.0
154,sfo,crd,16,-10.0
155,ram,sea,-17,-3.0
156,atl,oti,6,-6.5
157,chi,sdg,11,-4.5
158,nyg,phi,-7,-6.0
159,nwe,kan,31,-17.0
160,det,gnb,-12,4.5
161,dal,mia,1,-7.0
162,rav,sfo,10,-3.5
163,ram,crd,-3,-2.5
164,atl,min,10,-10.0
165,nyj,buf,4,-9.5
166,cin,cle,3,-7.0
167,oti,tam,6,-3.0
168,clt,car,-8,3.5
169,jax,htx,-7,6.5
170,rai,chi,5,-3.0
171,sea,was,-6,-3.0
172,sdg,den,-3,-5.5
173,phi,nwe,-18,3.5
174,kan,pit,-4,10.5
175,nor,nyg,25,-7.0
176,sea,phi,17,3.0
177,buf,oti,-6,-1.0
178,tam,car,-19,2.5
179,pit,cin,28,-7.0
180,nwe,clt,7,-20.5
181,htx,atl,7,2.0
182,chi,kan,-7,-9.0
183,mia,rai,20,-3.0
184,was,nyj,-15,3.0
185,min,den,-3,-1.5
186,cle,rav,-14,7.0
187,crd,dal,6,4.5
188,nyg,gnb,-3,7.0
189,sfo,ram,26,-14.5
190,nor,det,14,-9.0
191,jax,sdg,-24,3.0
192,pit,cle,11,-14.0
193,cin,htx,-1,-3.0
194,rav,clt,14,-16.5
195,nyj,kan,27,-10.5
196,det,min,6,-10.0
197,jax,tam,27,3.0
198,mia,phi,-16,-3.0
199,oti,nor,-5,3.5
200,was,nwe,-7,7.5
201,car,atl,-8,3.0
202,den,chi,3,-3.5
203,crd,sfo,2,3.5
204,sdg,buf,27,-7.0
205,gnb,rai,30,-11.5
206,dal,nyg,-3,-4.5
207,sea,ram,17,-9.5
208,atl,jax,27,-13.5
209,tam,dal,-16,7.0
210,ram,cin,-7,7.0
211,buf,mia,-7,-1.5
212,nyg,was,-13,-6.0
213,htx,car,-15,-6.0
214,chi,sea,-24,-3.5
215,clt,oti,14,6.5
216,kan,gnb,5,11.5
217,min,nor,-22,7.5
218,rai,det,-1,1.5
219,crd,cle,3,-6.5
220,den,nwe,-18,7.5
221,phi,nyj,26,-3.0
222,sdg,rav,20,2.5
223,sfo,pit,17,-3.0
224,clt,htx,3,7.0
225,buf,den,26,3.0
226,cin,crd,7,-4.0
227,oti,jax,6,-8.5
228,nwe,mia,3,-7.5
229,pit,ram,27,-10.0
230,rav,cle,6,-11.0
231,kan,rai,-3,-3.0
232,nyj,nyg,-15,-3.0
233,car,tam,32,-7.5
234,was,min,-7,-6.0
235,det,sdg,28,1.0
236,dal,phi,-13,2.5
237,sea,sfo,-2,2.5
238,gnb,chi,14,-13.0
239,nor,atl,29,-7.0
240,ram,sfo,-7,12.5
241,nwe,buf,28,-10.0
242,gnb,det,4,6.5
243,htx,oti,-1,2.0
244,mia,nyj,2,-2.0
245,phi,was,24,-7.0
246,nor,car,28,-7.0
247,jax,clt,6,-3.0
248,min,chi,-4,-2.5
249,crd,sea,3,-2.5
250,rai,sdg,-12,-3.0
251,cin,rav,-8,2.5
252,cle,pit,-4,7.0
253,den,kan,-4,-2.0
254,atl,tam,21,-9.5
255,nyg,dal,17,-3.0
