,home_team,away_team,ht_pts_diff,ht_vegas_line
217,crd,cle,14,3.0
218,rai,jax,-4,-7.0
219,sdg,min,-29,1.0
220,sfo,atl,-7,-10.5
221,dal,ram,23,1.0
222,pit,buf,-7,-1.0
223,nor,clt,27,-8.0
224,tam,htx,-3,3.0
225,nwe,buf,7,-7.0
226,sfo,ram,3,-7.0
227,atl,jax,12,-7.5
228,clt,car,32,-7.5
229,mia,cin,3,1.5
230,cle,rav,-16,9.5
231,oti,nor,-10,3.5
232,was,nyg,-6,1.0
233,nyj,pit,6,3.0
234,den,det,10,-9.5
235,sdg,rai,-7,-7.5
236,sea,crd,-14,-8.0
237,phi,dal,8,2.0
238,chi,kan,-23,6.5
239,min,gnb,-13,-4.0
240,tam,atl,-6,-1.0
241,buf,nyj,-7,1.5
242,car,nor,-32,13.5
243,min,chi,-2,5.0
244,cin,cle,10,2.5
245,det,gnb,-3,13.5
246,kan,sdg,10,-10.0
247,nwe,mia,-3,-17.5
248,jax,clt,18,5.0
249,ram,crd,7,-7.0
250,dal,was,31,-12.5
251,den,rai,1,-5.5
252,htx,oti,-21,10.0
253,nyg,phi,-17,4.0
254,rav,pit,18,2.0
255,sea,sfo,-5,3.5
