,home_team,away_team,ht_pts_diff,ht_vegas_line
0,chi,gnb,-7,-3.5
1,min,atl,16,-3.5
2,nyj,buf,-1,-2.5
3,car,ram,-3,1.5
4,cle,oti,-30,-5.5
5,jax,kan,-14,3.5
6,mia,rav,-49,7.0
7,phi,was,5,-10.5
8,sea,cin,1,-9.5
9,sdg,clt,6,-6.0
10,crd,det,0,2.5
11,dal,nyg,18,-7.0
12,tam,sfo,-14,-1.0
13,nwe,pit,30,-5.5
14,nor,htx,2,-6.5
15,rai,den,8,3.0
16,car,tam,-6,-6.5
17,nyg,buf,-14,1.0
18,cin,sfo,-24,-1.0
19,oti,clt,-2,-3.0
20,rav,crd,6,-13.0
21,was,dal,-10,6.0
22,det,sdg,3,1.0
23,gnb,min,5,-3.0
24,htx,jax,1,-7.5
25,mia,nwe,-43,18.0
26,pit,sea,-2,-4.0
27,rai,kan,-18,7.0
28,den,chi,-2,3.0
29,ram,nor,18,-2.0
30,atl,phi,4,1.0
31,nyj,cle,-20,6.5
32,jax,oti,13,1.5
33,clt,atl,3,-1.0
34,buf,cin,4,-5.5
35,dal,mia,25,-22.0
36,gnb,den,11,-7.0
37,phi,det,-3,-4.0
38,kan,rav,5,-4.5
39,min,rai,20,-8.5
40,nwe,nyj,16,-20.5
41,crd,car,-18,-2.5
42,tam,nyg,-1,-5.0
43,sdg,htx,-7,-3.0
44,sea,nor,-6,-5.0
45,sfo,pit,4,-6.0
46,cle,ram,-7,4.0
47,was,chi,-16,5.0
48,gnb,phi,-7,-3.5
49,atl,oti,-14,-3.5
50,buf,nwe,-6,7.0
51,htx,car,-6,-5.5
52,rav,cle,-15,-7.5
53,clt,rai,-7,-5.5
54,det,kan,-4,7.5
55,mia,sdg,-20,15.0
56,nyg,was,21,-3.0
57,crd,sea,-17,5.5
58,ram,tam,-15,-9.0
59,chi,min,10,1.0
60,den,jax,-2,-2.5
61,nor,dal,2,2.5
62,pit,cin,24,-3.5
63,sea,ram,1,-1.5
64,phi,nyj,25,-14.0
65,htx,atl,21,-4.0
66,oti,buf,-7,-3.5
67,car,jax,7,-3.0
68,rai,chi,3,6.5
69,cin,crd,-3,-3.0
70,nyg,min,-18,5.5
71,nor,tam,7,-3.0
72,was,nwe,-26,15.5
73,pit,rav,-3,3.5
74,sdg,den,-7,-4.0
75,dal,gnb,-10,-3.5
76,kan,clt,-6,-10.5
77,sfo,cle,28,-5.0
78,nwe,nyg,21,-16.5
79,tam,car,-11,2.0
80,mia,was,-1,6.0
81,rav,cin,6,-10.5
82,cle,sea,-4,-1.0
83,kan,htx,-7,-3.5
84,jax,nor,-7,-2.5
85,min,phi,18,-3.5
86,crd,atl,1,3.0
87,ram,sfo,-13,-3.0
88,nyj,dal,2,7.0
89,den,oti,16,-1.0
90,sdg,pit,-7,-6.0
91,gnb,det,1,-3.5
92,den,kan,-24,3.0
93,buf,mia,10,-17.0
94,clt,htx,7,-1.5
95,det,min,-12,2.5
96,was,sfo,-9,10.0
97,atl,ram,-27,3.0
98,cin,jax,-10,4.0
99,nyg,crd,-6,-3.5
100,gnb,rai,18,-5.5
101,oti,sdg,3,-3.0
102,chi,nor,-11,-4.0
103,sea,rav,-14,-3.0
104,dal,phi,27,-3.0
105,nyj,nwe,-33,9.5
106,min,was,10,-16.5
107,buf,phi,-18,-1.0
108,chi,sdg,-1,-3.5
109,clt,den,2,-6.0
110,det,nyg,5,-6.5
111,atl,sea,-7,7.5
112,ram,cin,14,-12.0
113,nor,crd,22,-12.5
114,jax,nyj,14,-7.0
115,oti,tam,4,-2.0
116,sfo,car,38,-4.5
117,nwe,cle,14,-9.5
118,htx,rai,3,-5.0
119,kan,gnb,-7,5.0
120,pit,mia,13,-14.0
121,crd,sfo,-3,10.5
122,jax,htx,-23,-1.0
123,buf,was,15,-10.5
124,car,oti,10,-3.5
125,phi,chi,8,-5.0
126,pit,clt,2,-1.0
127,mia,nyj,8,3.5
128,kan,min,3,5.5
129,rai,det,7,-2.5
130,sea,tam,6,-4.0
131,den,cle,5,4.0
132,sdg,gnb,15,4.0
133,rav,nwe,17,3.0
134,nyg,dal,-19,6.5
135,rai,sdg,2,1.0
136,nor,atl,-17,-14.0
137,cle,buf,3,-3.0
138,chi,det,7,-6.0
139,cin,rav,-36,10.5
140,tam,crd,3,-5.5
141,oti,kan,3,5.0
142,nyj,nyg,7,3.0
143,clt,mia,-4,-11.0
144,gnb,car,8,-5.0
145,pit,ram,5,4.0
146,dal,min,-4,-3.5
147,sfo,sea,-3,-6.5
148,cle,pit,14,-3.0
149,car,atl,-26,-3.5
150,mia,buf,-17,7.0
151,clt,jax,20,-2.5
152,det,dal,-8,7.5
153,min,den,4,-10.0
154,rav,htx,34,-4.0
155,tam,nor,-17,5.0
156,was,nyj,-17,-1.0
157,sfo,crd,10,-10.0
158,rai,cin,7,-13.0
159,phi,nwe,-7,4.5
160,ram,chi,10,-5.0
161,sdg,kan,-7,5.5
162,htx,clt,3,-3.5
163,atl,tam,-13,-3.5
164,buf,den,17,-3.5
165,nor,car,3,-10.0
166,chi,nyg,5,-6.0
167,cin,pit,-6,5.5
168,cle,mia,17,-11.0
169,was,det,3,4.0
170,nyj,rai,31,3.5
171,phi,sea,-8,1.0
172,oti,jax,22,-4.5
173,nwe,dal,4,-5.5
174,sfo,gnb,29,-3.0
175,ram,rav,-39,3.5
176,det,chi,-4,5.5
177,dal,buf,-11,-6.5
178,atl,nor,-8,7.0
179,car,was,-8,-10.5
180,cin,nyj,16,2.5
181,pit,cle,7,1.0
182,clt,oti,-14,1.0
183,nyg,gnb,-18,6.5
184,jax,tam,-17,3.0
185,mia,phi,6,10.5
186,rav,sfo,3,-5.5
187,crd,ram,-27,2.5
188,den,sdg,3,4.5
189,kan,rai,31,-11.5
190,htx,nwe,6,3.5
191,sea,min,7,-2.5
192,chi,dal,7,3.0
193,atl,car,20,-3.5
194,buf,rav,-7,6.5
195,cle,cin,8,-6.5
196,tam,clt,3,-3.0
197,htx,den,-14,-8.0
198,min,det,13,-12.0
199,gnb,was,5,-13.0
200,nyj,mia,1,-5.0
201,nor,sfo,-2,-1.0
202,jax,sdg,-35,3.5
203,crd,pit,-6,2.5
204,nwe,kan,-7,-3.0
205,rai,oti,-21,3.0
206,ram,sea,16,-1.0
207,phi,nyg,6,-9.5
208,rav,nyj,21,-17.0
209,car,sea,-6,6.0
210,gnb,chi,8,-4.0
211,cin,nwe,-21,10.5
212,kan,den,20,-10.0
213,det,tam,-21,5.5
214,oti,htx,-3,-3.0
215,nyg,mia,16,-3.5
216,was,phi,-10,7.0
