,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,225.0,3865.0,902.0,4.3,28.0,10.0,239.0,283.0,495.0,2523.0,15.0,18.0,4.6,137.0,355.0,1342.0,9.0,3.8,76.0,101.0,786.0,26.0,187.0,19.3,15.0,425.0,5741.0,1065.0,5.4,16.0,9.0,357.0,342.0,506.0,3262.0,21.0,7.0,5.9,186.0,510.0,2479.0,25.0,4.9,139.0,100.0,790.0,32.0,187.0,38.0,8.6,199.0,58.0,29.1,16.0,6.0,37.5,28.0,18.0,64.3,205.0,78.0,38.0,13.0,8.0,61.5,53.0,33.0,62.3
1,atl,414.0,6226.0,1010.0,6.2,18.0,11.0,352.0,428.0,617.0,4653.0,36.0,7.0,7.1,238.0,351.0,1573.0,11.0,4.5,84.0,101.0,899.0,30.0,168.0,42.9,10.7,423.0,6152.0,1031.0,6.0,19.0,4.0,375.0,398.0,585.0,4153.0,33.0,15.0,6.7,226.0,409.0,1999.0,16.0,4.9,115.0,108.0,1001.0,34.0,171.0,41.5,10.5,203.0,92.0,45.3,19.0,10.0,52.6,50.0,32.0,64.0,195.0,95.0,48.7,13.0,10.0,76.9,54.0,38.0,70.4
2,rav,389.0,5999.0,1135.0,5.3,20.0,11.0,367.0,334.0,556.0,3558.0,18.0,9.0,6.1,184.0,547.0,2441.0,19.0,4.5,153.0,116.0,940.0,30.0,177.0,40.7,10.7,287.0,4687.0,974.0,4.8,17.0,5.0,286.0,337.0,577.0,3360.0,21.0,12.0,5.4,174.0,354.0,1327.0,11.0,3.7,82.0,113.0,1017.0,30.0,179.0,29.1,9.5,231.0,104.0,45.0,22.0,13.0,59.1,59.0,33.0,55.9,211.0,72.0,34.1,20.0,10.0,50.0,41.0,26.0,63.4
3,buf,269.0,4778.0,1008.0,4.7,32.0,9.0,283.0,271.0,499.0,2794.0,13.0,23.0,5.2,137.0,468.0,1984.0,15.0,4.2,108.0,116.0,992.0,38.0,193.0,26.4,15.5,374.0,4706.0,968.0,4.9,27.0,11.0,293.0,313.0,492.0,2867.0,22.0,16.0,5.4,157.0,440.0,1839.0,17.0,4.2,111.0,99.0,976.0,25.0,189.0,33.3,14.3,215.0,68.0,31.6,18.0,7.0,38.9,37.0,22.0,59.5,203.0,74.0,36.5,11.0,6.0,54.5,48.0,34.0,70.8
4,car,376.0,5972.0,1011.0,5.9,22.0,6.0,356.0,378.0,563.0,3836.0,28.0,16.0,6.4,212.0,416.0,2136.0,17.0,5.1,117.0,92.0,818.0,27.0,173.0,37.0,12.1,382.0,5651.0,948.0,6.0,23.0,10.0,315.0,353.0,529.0,3847.0,32.0,13.0,6.8,185.0,384.0,1804.0,13.0,4.7,110.0,91.0,805.0,20.0,171.0,38.0,12.9,185.0,77.0,41.6,19.0,9.0,47.4,58.0,36.0,62.1,183.0,73.0,39.9,17.0,10.0,58.8,47.0,33.0,70.2
5,chi,421.0,5502.0,1013.0,5.4,24.0,10.0,331.0,344.0,512.0,3564.0,28.0,14.0,6.5,177.0,468.0,1938.0,16.0,4.1,108.0,97.0,796.0,46.0,182.0,36.8,13.2,283.0,4795.0,1004.0,4.8,36.0,9.0,278.0,377.0,615.0,3515.0,22.0,27.0,5.3,186.0,339.0,1280.0,5.0,3.8,67.0,114.0,1022.0,25.0,185.0,28.6,19.5,200.0,82.0,41.0,15.0,9.0,60.0,54.0,36.0,66.7,219.0,75.0,34.2,28.0,16.0,57.1,40.0,20.0,50.0
6,cin,368.0,4972.0,938.0,5.3,17.0,4.0,304.0,331.0,542.0,3290.0,27.0,13.0,5.7,182.0,359.0,1682.0,13.0,4.7,92.0,114.0,957.0,30.0,166.0,35.5,9.6,455.0,6618.0,1084.0,6.1,18.0,6.0,372.0,389.0,584.0,4414.0,32.0,12.0,7.1,221.0,466.0,2204.0,17.0,4.7,125.0,113.0,944.0,26.0,177.0,46.3,10.2,187.0,69.0,36.9,17.0,9.0,52.9,45.0,32.0,71.1,223.0,109.0,48.9,17.0,11.0,64.7,61.0,39.0,63.9
7,cle,359.0,5900.0,1023.0,5.8,24.0,7.0,314.0,353.0,574.0,4007.0,29.0,17.0,6.5,189.0,411.0,1893.0,15.0,4.6,93.0,112.0,894.0,32.0,202.0,31.2,11.4,392.0,6288.0,1122.0,5.6,31.0,14.0,377.0,393.0,626.0,4125.0,21.0,17.0,6.2,216.0,459.0,2163.0,20.0,4.7,130.0,119.0,990.0,31.0,201.0,35.3,15.4,208.0,73.0,35.1,21.0,9.0,42.9,48.0,32.0,66.7,210.0,75.0,35.7,20.0,13.0,65.0,54.0,33.0,61.1
8,dal,339.0,5501.0,1022.0,5.4,17.0,9.0,322.0,356.0,527.0,3538.0,22.0,8.0,6.1,184.0,439.0,1963.0,13.0,4.5,113.0,104.0,885.0,25.0,169.0,37.9,10.1,324.0,5268.0,981.0,5.4,20.0,11.0,309.0,367.0,542.0,3755.0,22.0,9.0,6.5,193.0,400.0,1513.0,12.0,3.8,89.0,89.0,681.0,27.0,167.0,36.5,12.0,215.0,89.0,41.4,21.0,12.0,57.1,50.0,24.0,48.0,201.0,85.0,42.3,14.0,6.0,42.9,49.0,25.0,51.0
9,den,329.0,5602.0,1015.0,5.5,21.0,6.0,320.0,367.0,588.0,3695.0,19.0,15.0,5.9,181.0,393.0,1907.0,18.0,4.9,107.0,125.0,985.0,32.0,186.0,30.6,11.3,349.0,5842.0,1022.0,5.7,28.0,11.0,318.0,353.0,549.0,3929.0,26.0,17.0,6.6,197.0,429.0,1913.0,11.0,4.5,85.0,123.0,1006.0,36.0,185.0,34.1,14.1,207.0,69.0,33.3,25.0,15.0,60.0,44.0,25.0,56.8,211.0,82.0,38.9,11.0,6.0,54.5,43.0,25.0,58.1
