,home_team,away_team,ht_pts_diff,ht_vegas_line
0,nor,min,5,-5.0
1,pit,atl,6,1.5
2,buf,mia,-5,3.0
3,chi,det,5,-6.5
4,nwe,cin,14,-5.5
5,tam,cle,3,-2.5
6,htx,clt,10,1.0
7,oti,rai,25,-6.5
8,jax,den,7,-3.0
9,nyg,car,13,-6.0
10,ram,crd,-4,3.0
11,phi,gnb,-7,3.0
12,sea,sfo,25,3.0
13,was,dal,6,3.0
14,nyj,rav,-1,-1.0
15,kan,sdg,7,4.0
16,gnb,buf,27,-13.0
17,cin,rav,5,3.0
18,cle,kan,-2,-3.0
19,det,phi,-3,6.5
20,oti,pit,-8,-6.0
21,atl,crd,34,-7.0
22,car,tam,-13,-4.0
23,dal,chi,-7,-7.0
24,min,mia,-4,-6.0
25,rai,ram,2,-3.0
26,den,sea,17,-3.5
27,was,htx,-3,3.0
28,sdg,jax,25,-7.0
29,nyj,nwe,14,3.0
30,clt,nyg,24,-4.0
31,sfo,nor,-3,5.0
32,nwe,buf,8,-14.5
33,car,cin,-13,3.5
34,rav,cle,7,-12.5
35,htx,dal,-14,-2.5
36,nyg,oti,-19,-3.0
37,nor,atl,-3,-3.0
38,tam,pit,-25,3.0
39,kan,sfo,21,3.0
40,min,det,14,-13.0
41,jax,phi,-25,3.0
42,ram,was,14,5.0
43,crd,rai,1,-5.5
44,den,clt,-14,6.0
45,sea,sdg,7,4.0
46,mia,nyj,-8,-2.5
47,chi,gnb,3,3.0
48,ram,sea,17,2.0
49,buf,nyj,-24,6.0
50,cle,cin,3,2.5
51,oti,den,-6,-6.5
52,gnb,det,2,-14.5
53,pit,rav,-3,-2.5
54,atl,sfo,2,-7.0
55,nor,car,2,-12.5
56,jax,clt,3,7.0
57,rai,htx,-7,3.5
58,sdg,crd,31,-9.5
59,phi,was,-5,-5.0
60,nyg,chi,14,-3.5
61,mia,nwe,-27,1.0
62,det,ram,38,-3.0
63,buf,jax,-10,-2.5
64,rav,den,14,-8.0
65,was,gnb,3,3.0
66,cle,atl,-10,3.0
67,car,chi,-17,-3.0
68,cin,tam,-3,-7.0
69,clt,kan,10,-7.5
70,htx,nyg,-24,-3.0
71,crd,nor,10,7.0
72,rai,sdg,8,7.0
73,dal,oti,-7,-7.0
74,sfo,phi,-3,-3.0
75,nyj,min,9,-4.5
76,ram,sdg,3,8.5
77,nwe,rav,3,-3.0
78,phi,atl,14,-1.5
79,chi,sea,-3,-6.0
80,pit,cle,18,-14.0
81,gnb,mia,-3,-3.0
82,tam,nor,-25,5.5
83,nyg,det,8,-10.0
84,htx,kan,4,-4.5
85,den,nyj,-4,3.5
86,sfo,rai,8,-7.0
87,min,dal,3,-1.5
88,was,clt,-3,3.0
89,jax,oti,-27,3.0
90,rav,buf,3,-12.5
91,mia,pit,-1,3.0
92,nor,cle,-13,-12.5
93,oti,phi,18,-3.0
94,tam,ram,1,-3.0
95,car,sfo,3,2.5
96,kan,jax,22,-9.0
97,chi,was,-3,-3.0
98,atl,cin,7,-3.5
99,sea,crd,12,-6.5
100,sdg,nwe,-3,-1.5
101,den,rai,-45,-7.0
102,gnb,min,4,-2.5
103,dal,nyg,-6,-3.5
104,ram,car,10,-2.5
105,det,was,12,-3.0
106,nyj,gnb,-9,-6.0
107,dal,jax,-18,-6.5
108,cin,mia,-8,-1.0
109,sfo,den,8,-2.5
110,kan,buf,3,-7.0
111,sdg,oti,8,-6.0
112,crd,tam,-3,-3.0
113,nwe,min,10,-5.5
114,rai,sea,30,-2.0
115,nor,pit,10,-1.0
116,clt,htx,13,-5.5
117,atl,tam,6,-9.0
118,buf,chi,-3,3.0
119,cle,nwe,20,4.0
120,htx,sdg,-6,3.0
121,rav,mia,16,-5.0
122,det,nyj,-3,5.5
123,car,nor,-31,6.5
124,min,crd,3,-7.5
125,sea,nyg,-34,7.5
126,rai,kan,3,0.0
127,phi,clt,2,-3.0
128,gnb,dal,38,-7.0
129,cin,pit,-6,5.5
130,atl,rav,5,-1.0
131,buf,det,2,-1.5
132,tam,car,15,-7.0
133,chi,min,14,1.0
134,clt,cin,6,-7.0
135,cle,nyj,-6,3.5
136,mia,oti,12,-1.0
137,jax,htx,7,0.0
138,den,kan,20,1.0
139,crd,sea,-18,-4.0
140,nyg,dal,-13,-12.5
141,sfo,ram,3,-4.5
142,pit,nwe,-13,-4.5
143,was,phi,-31,3.5
144,mia,chi,-16,-2.0
145,cin,buf,-18,-4.0
146,dal,det,16,-7.0
147,pit,rai,32,-7.0
148,jax,cle,4,-2.5
149,kan,crd,18,-7.0
150,nyj,htx,3,-6.5
151,oti,was,-3,-7.0
152,car,rav,-24,13.5
153,min,gnb,-28,3.0
154,ram,atl,-17,3.5
155,nor,sea,15,-11.0
156,sfo,tam,-21,-3.5
157,nwe,clt,3,-4.5
158,phi,nyg,10,-3.5
159,sdg,den,21,-9.0
160,det,nwe,-21,7.5
161,dal,nor,-3,4.5
162,nyj,cin,16,-9.5
163,atl,gnb,3,-2.0
164,buf,pit,-3,7.0
165,htx,oti,20,-5.0
166,nyg,jax,4,-7.5
167,was,min,-4,2.5
168,cle,car,1,-7.5
169,rai,mia,-16,-3.0
170,sea,kan,-18,2.0
171,chi,phi,5,3.5
172,rav,tam,7,-7.5
173,den,ram,-3,-3.0
174,clt,sdg,-22,-2.0
175,crd,sfo,-21,2.0
176,phi,htx,10,-8.0
177,mia,cle,-3,-6.0
178,gnb,sfo,18,-9.0
179,nyg,was,24,-7.5
180,det,chi,-4,5.5
181,cin,nor,-4,7.0
182,kan,den,4,-8.0
183,oti,jax,-11,-3.0
184,min,buf,24,-5.0
185,sdg,rai,-15,-13.0
186,clt,dal,-3,-5.5
187,crd,ram,-13,3.5
188,tam,atl,-4,3.0
189,sea,car,17,-5.0
190,rav,pit,-3,-3.0
191,nwe,nyj,42,-4.0
192,oti,clt,-2,4.0
193,buf,cle,7,0.0
194,pit,cin,16,-8.0
195,jax,rai,7,-3.5
196,car,atl,-21,7.5
197,det,gnb,4,7.0
198,was,tam,-1,1.5
199,nor,ram,18,-9.0
200,sfo,sea,19,-5.0
201,crd,den,30,4.0
202,sdg,kan,31,-10.0
203,nyj,mia,-4,-5.5
204,chi,nwe,-29,3.0
205,dal,phi,-3,4.0
206,min,nyg,-18,5.5
207,htx,rav,-6,3.0
208,sdg,sfo,27,-10.5
209,ram,kan,-14,-3.0
210,mia,buf,-3,-5.5
211,cin,cle,2,0.0
212,clt,jax,10,-4.5
213,oti,htx,14,-1.0
214,dal,was,3,-9.5
215,tam,det,-3,-4.0
216,rav,nor,6,-2.5
217,nyg,phi,-7,-3.0
218,car,crd,7,-2.5
219,sea,atl,-16,6.0
220,rai,den,16,-8.0
221,pit,nyj,-5,-4.0
222,nwe,gnb,4,-14.5
223,min,chi,-26,7.0
224,pit,car,24,-14.5
225,crd,dal,1,7.5
226,ram,sfo,8,-2.5
227,buf,nwe,-31,9.0
228,chi,nyj,4,-3.0
229,cle,rav,-10,4.0
230,mia,det,-7,-3.5
231,jax,was,-3,-6.5
232,kan,oti,20,-4.0
233,cin,sdg,14,8.0
234,rai,clt,-5,2.5
235,den,htx,1,2.5
236,gnb,nyg,28,-3.0
237,tam,sea,23,-6.0
238,atl,nor,-3,-2.5
239,phi,min,-10,-14.5
240,nor,tam,-10,-7.0
241,rav,cin,6,-9.5
242,cle,pit,-32,6.5
243,kan,rai,-21,-4.5
244,nwe,mia,31,-6.0
245,atl,car,21,-14.5
246,nyj,buf,31,-1.5
247,det,min,7,-3.5
248,gnb,chi,7,-10.5
249,sfo,crd,31,-6.0
250,phi,dal,-1,0.0
251,den,sdg,-5,3.5
252,htx,jax,17,-4.0
253,clt,oti,3,-9.5
254,was,nyg,-3,4.0
255,sea,ram,10,3.0
