,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
0,nwe,kan,27,42,69,-15,-8.0
1,chi,atl,17,23,40,-6,6.5
2,buf,nyj,21,12,33,9,-7.0
3,cin,rav,0,20,20,-20,-2.5
4,cle,pit,18,21,39,-3,10.0
5,det,crd,35,23,58,12,2.5
6,htx,jax,7,29,36,-22,-5.5
7,oti,rai,16,26,42,-10,-2.5
8,was,phi,17,30,47,-13,2.0
9,ram,clt,46,9,55,37,-3.5
10,sfo,car,3,23,26,-20,4.5
11,gnb,sea,17,9,26,8,-2.5
12,dal,nyg,19,3,22,16,-6.0
13,min,nor,29,19,48,10,-3.0
14,den,sdg,24,21,45,3,-3.0
15,cin,htx,9,13,22,-4,-5.0
16,car,buf,9,3,12,6,-6.5
17,tam,chi,29,7,36,22,-7.0
18,rav,cle,24,10,34,14,-7.5
19,clt,crd,13,16,29,-3,7.0
20,jax,oti,16,37,53,-21,1.0
21,kan,phi,27,20,47,7,-4.0
22,pit,min,26,9,35,17,-8.5
23,nor,nwe,20,36,56,-16,5.5
24,sdg,mia,17,19,36,-2,-3.5
25,rai,nyj,45,20,65,25,-14.0
26,den,dal,42,17,59,25,2.5
27,ram,was,20,27,47,-7,-3.0
28,sea,sfo,12,9,21,3,-13.5
29,atl,gnb,34,23,57,11,-3.0
30,nyg,det,10,24,34,-14,-3.0
31,sfo,ram,39,41,80,-2,3.0
32,jax,rav,44,7,51,37,3.0
33,nyj,mia,20,6,26,14,5.5
34,det,atl,26,30,56,-4,3.0
35,buf,den,26,16,42,10,3.5
36,car,nor,13,34,47,-21,-5.0
37,chi,pit,23,17,40,6,7.0
38,clt,cle,31,28,59,3,1.0
39,nwe,htx,36,33,69,3,-13.5
40,min,tam,34,17,51,17,0.0
41,phi,nyg,27,24,51,3,-5.0
42,oti,sea,33,27,60,6,-2.0
43,gnb,cin,27,24,51,3,-7.0
44,sdg,kan,10,24,34,-14,3.0
