,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,312.0,5192.0,993.0,5.2,32.0,9.0,286.0,307.0,550.0,3567.0,21.0,23.0,5.9,175.0,389.0,1625.0,12.0,4.2,83.0,106.0,1004.0,28.0,199.0,26.1,15.6,348.0,5682.0,1095.0,5.2,19.0,9.0,333.0,340.0,578.0,3696.0,17.0,10.0,6.0,174.0,475.0,1986.0,15.0,4.2,118.0,122.0,950.0,41.0,204.0,32.8,9.3,205.0,66.0,32.2,15.0,9.0,60.0,45.0,23.0,51.1,226.0,71.0,31.4,8.0,4.0,50.0,58.0,23.0,39.7
1,atl,402.0,6026.0,1073.0,5.6,21.0,8.0,349.0,365.0,594.0,4192.0,29.0,13.0,6.8,215.0,453.0,1834.0,14.0,4.0,100.0,93.0,769.0,34.0,187.0,37.4,10.7,350.0,5338.0,965.0,5.5,29.0,10.0,292.0,340.0,560.0,3786.0,25.0,19.0,6.4,186.0,372.0,1552.0,10.0,4.2,87.0,101.0,843.0,19.0,180.0,32.2,15.0,224.0,99.0,44.2,13.0,4.0,30.8,59.0,31.0,52.5,211.0,93.0,44.1,11.0,6.0,54.5,47.0,22.0,46.8
2,rav,378.0,5419.0,1036.0,5.2,24.0,12.0,312.0,314.0,544.0,3423.0,21.0,12.0,5.9,181.0,459.0,1996.0,15.0,4.3,98.0,92.0,742.0,33.0,186.0,35.5,11.8,266.0,4622.0,1002.0,4.6,26.0,11.0,269.0,288.0,535.0,3140.0,11.0,15.0,5.4,166.0,419.0,1482.0,10.0,3.5,79.0,103.0,1032.0,24.0,188.0,26.6,13.8,229.0,97.0,42.4,7.0,4.0,57.1,49.0,25.0,51.0,221.0,71.0,32.1,21.0,10.0,47.6,42.0,16.0,38.1
3,buf,372.0,5624.0,992.0,5.7,30.0,5.0,313.0,356.0,578.0,3703.0,24.0,25.0,6.2,180.0,391.0,1921.0,12.0,4.9,100.0,86.0,743.0,33.0,189.0,31.2,15.9,434.0,5938.0,1003.0,5.9,31.0,11.0,340.0,321.0,507.0,3714.0,30.0,20.0,6.9,196.0,467.0,2224.0,19.0,4.8,120.0,85.0,871.0,24.0,189.0,37.0,15.3,191.0,62.0,32.5,22.0,9.0,40.9,53.0,28.0,52.8,189.0,75.0,39.7,13.0,9.0,69.2,59.0,38.0,64.4
4,car,406.0,6237.0,999.0,6.2,23.0,6.0,345.0,312.0,519.0,3829.0,21.0,17.0,6.9,175.0,445.0,2408.0,26.0,5.4,139.0,113.0,1013.0,31.0,179.0,38.5,12.8,429.0,6042.0,972.0,6.2,24.0,10.0,329.0,318.0,490.0,3949.0,28.0,14.0,7.6,191.0,451.0,2093.0,18.0,4.6,110.0,98.0,901.0,28.0,171.0,42.7,12.9,185.0,75.0,40.5,10.0,6.0,60.0,57.0,33.0,57.9,194.0,83.0,42.8,12.0,4.0,33.3,56.0,33.0,58.9
5,chi,353.0,5026.0,978.0,5.1,29.0,9.0,271.0,268.0,473.0,3011.0,18.0,20.0,5.8,153.0,456.0,2015.0,10.0,4.4,97.0,104.0,800.0,21.0,199.0,28.6,14.6,341.0,5607.0,1048.0,5.4,31.0,11.0,291.0,383.0,631.0,4065.0,22.0,20.0,6.1,199.0,384.0,1542.0,10.0,4.0,75.0,98.0,719.0,17.0,203.0,30.5,14.3,203.0,66.0,32.5,8.0,2.0,25.0,38.0,20.0,52.6,229.0,80.0,34.9,17.0,7.0,41.2,56.0,25.0,44.6
6,cin,344.0,5118.0,1015.0,5.0,22.0,8.0,285.0,308.0,535.0,3340.0,21.0,14.0,6.0,160.0,455.0,1778.0,10.0,3.9,93.0,99.0,874.0,32.0,197.0,32.5,9.6,323.0,5060.0,1009.0,5.0,22.0,12.0,284.0,319.0,539.0,3385.0,21.0,10.0,5.8,170.0,425.0,1675.0,14.0,3.9,94.0,101.0,878.0,20.0,200.0,28.5,11.0,219.0,80.0,36.5,10.0,4.0,40.0,51.0,23.0,45.1,220.0,78.0,35.5,11.0,4.0,36.4,41.0,24.0,58.5
7,cle,218.0,4621.0,1024.0,4.5,19.0,6.0,278.0,320.0,570.0,3090.0,16.0,13.0,5.1,173.0,415.0,1531.0,4.0,3.7,77.0,95.0,847.0,28.0,180.0,24.4,10.0,307.0,5318.0,1035.0,5.1,20.0,11.0,301.0,265.0,469.0,2959.0,16.0,9.0,5.9,149.0,534.0,2359.0,12.0,4.4,124.0,90.0,726.0,28.0,174.0,33.3,11.5,238.0,92.0,38.7,18.0,10.0,55.6,31.0,13.0,41.9,230.0,95.0,41.3,14.0,6.0,42.9,49.0,20.0,40.8
8,dal,369.0,6008.0,1017.0,5.9,21.0,9.0,327.0,376.0,570.0,4201.0,33.0,12.0,6.9,219.0,408.0,1807.0,5.0,4.4,91.0,114.0,816.0,17.0,185.0,37.8,11.4,347.0,5491.0,972.0,5.6,25.0,10.0,305.0,336.0,545.0,3906.0,24.0,15.0,6.7,199.0,385.0,1585.0,10.0,4.1,78.0,85.0,650.0,28.0,180.0,33.3,13.3,198.0,78.0,39.4,10.0,5.0,50.0,51.0,25.0,49.0,204.0,81.0,39.7,11.0,4.0,36.4,49.0,27.0,55.1
9,den,309.0,5066.0,1017.0,5.0,30.0,17.0,286.0,217.0,429.0,2434.0,20.0,13.0,5.2,130.0,546.0,2632.0,11.0,4.8,129.0,101.0,843.0,27.0,204.0,24.5,14.2,390.0,5725.0,1063.0,5.4,18.0,9.0,315.0,333.0,534.0,3704.0,24.0,9.0,6.4,182.0,488.0,2021.0,11.0,4.1,101.0,99.0,845.0,32.0,206.0,33.0,7.8,214.0,66.0,30.8,13.0,3.0,23.1,36.0,17.0,47.2,218.0,73.0,33.5,9.0,3.0,33.3,52.0,27.0,51.9
