,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
149,chi,den,15,17,32,-2,1.0
150,det,rai,18,13,31,5,1.0
151,phi,tam,17,45,62,-28,-6.0
152,rav,ram,16,13,29,3,-2.5
153,mia,dal,14,24,38,-10,1.5
154,htx,nyj,24,17,41,7,3.0
155,sdg,kan,3,33,36,-30,3.0
156,min,gnb,13,30,43,-17,-1.0
157,sea,sfo,29,13,42,16,-13.5
158,crd,cin,34,31,65,3,-4.5
159,nwe,buf,20,13,33,7,-7.0
160,det,phi,45,14,59,31,-2.0
161,dal,car,14,33,47,-19,-1.5
162,gnb,chi,13,17,30,-4,-8.5
163,atl,min,10,20,30,-10,-2.5
164,cin,ram,31,7,38,24,-8.5
165,clt,tam,25,12,37,13,-3.0
166,htx,nor,24,6,30,18,-3.0
167,nyj,mia,38,20,58,18,-4.0
168,oti,rai,21,24,45,-3,1.0
169,kan,buf,30,22,52,8,-5.5
170,jax,sdg,25,31,56,-6,-4.5
171,was,nyg,20,14,34,6,2.5
172,sfo,crd,13,19,32,-6,9.5
173,sea,pit,39,30,69,9,-3.5
174,den,nwe,30,24,54,6,2.5
175,cle,rav,27,33,60,-6,-3.5
176,det,gnb,23,27,50,-4,3.0
177,ram,crd,3,27,30,-24,4.5
178,buf,htx,30,21,51,9,-3.5
179,chi,sfo,20,26,46,-6,-6.5
180,oti,jax,42,39,81,3,-2.5
181,min,sea,7,38,45,-31,1.5
182,tam,atl,23,19,42,4,-1.0
183,cle,cin,3,37,40,-34,9.0
184,mia,rav,15,13,28,2,-3.5
185,nyg,nyj,20,23,43,-3,2.5
186,sdg,den,3,17,20,-14,3.5
187,rai,kan,20,34,54,-14,3.0
188,nor,car,38,41,79,-3,6.5
189,nwe,phi,28,35,63,-7,-8.0
190,pit,clt,45,10,55,35,-7.5
191,was,dal,16,19,35,-3,-3.5
192,crd,min,23,20,43,3,-8.5
193,phi,buf,23,20,43,3,-1.0
194,chi,was,21,24,45,-3,-3.5
195,cin,pit,20,33,53,-13,-2.5
196,cle,sfo,24,10,34,14,-1.5
197,jax,clt,51,16,67,35,-1.5
198,ram,det,21,14,35,7,3.5
199,tam,nor,17,24,41,-7,-4.5
200,nyj,oti,30,8,38,22,-7.0
201,rav,sea,6,35,41,-29,11.0
202,car,atl,38,0,38,38,-7.5
203,kan,sdg,10,3,13,7,-10.5
204,den,rai,12,15,27,-3,-6.5
205,gnb,dal,28,7,35,21,-6.5
206,htx,nwe,6,27,33,-21,3.5
207,mia,nyg,24,31,55,-7,1.0
208,ram,tam,31,23,54,8,-2.5
209,dal,nyj,16,19,35,-3,3.0
210,jax,atl,17,23,40,-6,-3.0
211,nyg,car,35,38,73,-3,4.0
212,min,chi,38,17,55,21,-5.5
213,clt,htx,10,16,26,-6,-1.5
214,rav,kan,14,34,48,-20,6.5
215,nwe,oti,33,16,49,17,-14.0
216,was,buf,35,25,60,10,2.5
217,rai,gnb,20,30,50,-10,3.0
218,sea,cle,30,13,43,17,-14.0
219,sfo,cin,14,24,38,-10,5.5
220,pit,den,34,27,61,7,-6.0
221,sdg,mia,30,14,44,16,-1.5
222,phi,crd,17,40,57,-23,3.5
223,nor,det,27,35,62,-8,-2.5
224,rai,sdg,23,20,43,3,-6.0
225,phi,was,24,38,62,-14,-3.0
226,atl,car,20,13,33,7,6.5
227,buf,dal,16,6,22,10,-6.5
228,mia,clt,12,18,30,-6,-2.5
229,oti,htx,6,34,40,-28,3.5
230,nyj,nwe,26,20,46,6,3.0
231,rav,pit,20,17,37,3,10.0
232,tam,chi,21,26,47,-5,-3.0
233,kan,cle,17,13,30,4,-10.5
234,det,sfo,32,17,49,15,-9.5
235,nor,jax,38,27,65,11,-3.0
236,crd,gnb,38,8,46,30,-4.5
237,sea,ram,17,23,40,-6,-12.0
238,min,nyg,49,17,66,32,-7.0
239,den,cin,20,17,37,3,-3.0
240,atl,nor,17,20,37,-3,-5.5
241,buf,nyj,22,17,39,5,3.0
242,chi,det,20,24,44,-4,1.0
243,cin,rav,24,16,40,8,-9.5
244,cle,pit,12,28,40,-16,11.0
245,clt,oti,30,24,54,6,-4.5
246,htx,jax,30,6,36,24,-6.5
247,mia,nwe,20,10,30,10,9.0
248,dal,was,23,34,57,-11,-3.5
249,nyg,phi,30,35,65,-5,-5.0
250,car,tam,38,10,48,28,-10.0
251,crd,sea,6,36,42,-30,-6.5
252,den,sdg,27,20,47,7,-10.0
253,sfo,ram,19,16,35,3,3.5
254,kan,rai,23,17,40,6,-7.0
255,gnb,min,13,20,33,-7,-3.0
