,home_team,away_team,ht_pts_diff,ht_vegas_line
0,nyg,dal,-7,-4.0
1,chi,clt,20,-10.0
2,kan,atl,-16,2.5
3,nyj,buf,20,-3.0
4,cle,phi,-1,9.5
5,det,ram,4,-9.0
6,htx,mia,20,-13.5
7,nor,was,-8,-9.0
8,oti,nwe,-21,6.5
9,min,jax,3,-3.5
10,crd,sea,4,3.0
11,gnb,sfo,-8,-5.5
12,tam,car,6,3.0
13,den,pit,12,-2.0
14,rav,cin,31,-7.0
15,rai,sdg,-8,-1.0
16,gnb,chi,13,-5.5
17,buf,kan,18,-3.0
18,cin,cle,7,-7.0
19,nwe,crd,-2,-13.5
20,mia,rai,22,2.0
21,car,nor,8,3.0
22,clt,min,3,3.0
23,jax,htx,-20,7.0
24,nyg,tam,7,-8.0
25,phi,rav,1,-3.0
26,ram,was,3,3.5
27,sea,dal,20,3.0
28,pit,nyj,17,-4.5
29,sdg,oti,28,-6.0
30,sfo,det,8,-7.0
31,atl,den,6,-3.0
32,car,nyg,-29,-3.0
33,cle,buf,-10,3.0
34,nor,kan,-3,-8.5
35,was,cin,-7,-3.0
36,clt,jax,-5,-3.0
37,oti,det,3,4.0
38,mia,nyj,-3,3.0
39,chi,ram,17,-7.0
40,dal,tam,6,-7.0
41,min,sfo,11,7.0
42,sdg,atl,-24,-3.0
43,crd,phi,21,3.0
44,den,htx,-6,1.5
45,rai,pit,3,4.0
46,rav,nwe,1,-3.0
47,sea,gnb,2,3.5
48,rav,cle,7,-11.5
49,ram,sea,6,2.5
50,buf,nwe,-24,4.5
51,atl,car,2,-7.0
52,det,min,-7,-4.0
53,htx,oti,24,-13.5
54,kan,sdg,-17,2.5
55,nyj,sfo,-34,4.0
56,jax,cin,-17,-1.5
57,crd,mia,3,-4.0
58,den,rai,31,-6.5
59,gnb,nor,1,-7.5
60,tam,was,-2,-2.0
61,phi,nyg,2,-1.5
62,dal,chi,-16,-3.0
63,ram,crd,14,1.5
64,nyg,cle,14,-8.0
65,kan,rav,-3,6.5
66,pit,phi,2,-4.0
67,clt,gnb,3,6.5
68,cin,mia,-4,-3.0
69,was,atl,-7,3.0
70,car,sea,-4,-2.0
71,jax,chi,-38,6.5
72,min,oti,23,-6.0
73,sfo,buf,42,-10.0
74,nwe,den,10,-6.0
75,nor,sdg,7,-3.5
76,nyj,htx,-6,10.0
77,oti,pit,3,6.5
78,tam,kan,28,-5.0
79,mia,ram,3,-5.0
80,atl,rai,3,-10.0
81,nyj,clt,26,-3.0
82,rav,dal,2,-3.0
83,cle,cin,10,2.0
84,phi,det,-3,-3.5
85,sea,nwe,1,4.0
86,crd,buf,-3,-5.0
87,sfo,nyg,-23,-7.0
88,was,min,12,2.0
89,htx,gnb,-18,-4.0
90,sdg,den,-11,0.0
91,sfo,sea,7,-7.5
92,ram,gnb,-10,5.0
93,tam,nor,-7,1.5
94,buf,oti,-1,-4.5
95,clt,cle,4,-1.0
96,htx,rav,30,-6.5
97,car,dal,-5,2.5
98,nyg,was,4,-6.5
99,min,crd,7,-6.5
100,rai,jax,3,-6.0
101,nwe,nyj,3,-10.5
102,cin,pit,-7,-1.0
103,chi,det,6,-6.5
104,min,tam,-19,-5.5
105,pit,was,15,-4.5
106,phi,atl,-13,-3.0
107,chi,car,1,-7.5
108,det,sea,4,-3.0
109,gnb,jax,9,-16.0
110,oti,clt,-6,-3.0
111,nyj,mia,-21,-1.0
112,cle,sdg,1,3.0
113,ram,nwe,-38,7.0
114,kan,rai,-10,-1.0
115,dal,nyg,-5,2.5
116,den,nor,20,-6.5
117,crd,sfo,-21,7.0
118,sdg,kan,18,-7.0
119,htx,buf,12,-11.5
120,cin,den,-8,5.5
121,clt,mia,3,2.0
122,gnb,crd,14,-10.5
123,cle,rav,-10,3.5
124,oti,chi,-31,5.0
125,jax,det,-17,6.0
126,was,car,-8,-3.0
127,rai,tam,-10,-1.0
128,sea,min,10,-4.0
129,nyg,pit,-4,-3.5
130,atl,dal,6,-4.5
131,nor,phi,15,-3.0
132,jax,clt,-17,3.5
133,nor,atl,4,1.5
134,nwe,buf,6,-13.5
135,car,den,-22,4.0
136,rav,rai,35,-7.5
137,cin,nyg,18,4.5
138,mia,oti,-34,-7.0
139,tam,sdg,10,-3.0
140,min,det,10,3.0
141,sea,nyj,21,-5.5
142,phi,dal,-15,2.5
143,sfo,ram,0,-13.0
144,chi,htx,-7,-1.0
145,pit,kan,3,-13.0
146,buf,mia,5,-2.5
147,ram,nyj,-14,-3.5
148,det,gnb,-4,3.0
149,atl,crd,4,-9.5
150,kan,cin,-22,3.0
151,htx,jax,6,-15.5
152,was,phi,25,-3.5
153,car,tam,-6,1.5
154,dal,cle,3,-7.0
155,rai,nor,-21,6.5
156,nwe,clt,35,-10.0
157,den,sdg,7,-7.5
158,pit,rav,-3,3.0
159,sfo,chi,25,-5.0
160,det,htx,-3,4.0
161,dal,was,-7,-3.5
162,nyj,nwe,-30,7.0
163,chi,min,18,-6.5
164,tam,atl,-1,1.5
165,cin,rai,24,-8.0
166,cle,pit,6,2.0
167,clt,buf,7,-3.0
168,kan,den,-8,10.5
169,jax,oti,5,3.5
170,mia,sea,3,3.0
171,sdg,rav,-3,1.0
172,crd,ram,-14,-1.0
173,nor,sfo,-10,1.5
174,nyg,gnb,28,-2.5
175,phi,car,-8,3.0
176,atl,nor,10,-3.5
177,ram,sfo,3,8.0
178,buf,jax,16,-6.0
179,gnb,min,9,-7.5
180,oti,htx,-14,7.0
181,mia,nwe,-7,9.0
182,kan,car,6,6.0
183,chi,sea,-6,-3.5
184,det,clt,-2,-7.0
185,nyj,crd,1,-6.0
186,den,tam,8,-7.5
187,sdg,cin,-7,2.5
188,rai,cle,-3,2.5
189,rav,pit,-3,-7.5
190,dal,phi,5,-10.5
191,was,nyg,1,3.0
192,rai,den,-13,10.5
193,buf,ram,-3,-3.0
194,cle,kan,23,-7.0
195,clt,oti,4,-4.0
196,jax,nyj,-7,3.0
197,pit,sdg,-10,-7.5
198,cin,dal,-1,-3.5
199,tam,phi,-2,-7.0
200,was,rav,3,-1.5
201,car,atl,10,3.5
202,min,chi,7,1.5
203,sfo,mia,14,-10.5
204,sea,crd,58,-10.0
205,nyg,nor,25,-4.5
206,gnb,det,7,-6.5
207,nwe,htx,28,-5.5
208,phi,cin,-21,5.0
209,ram,min,-14,-2.5
210,htx,clt,12,-10.5
211,rav,den,-17,3.0
212,atl,nyg,34,0.0
213,chi,gnb,-8,3.0
214,cle,was,-17,-4.0
215,mia,jax,21,-7.5
216,nor,tam,41,-3.5
217,buf,sea,-33,5.0
218,sdg,car,-24,-3.0
219,crd,det,28,6.5
220,dal,pit,3,2.5
221,rai,kan,15,-4.5
222,nwe,sfo,-7,-5.0
223,oti,nyj,4,-1.0
224,det,atl,-13,4.0
225,mia,buf,14,-5.0
226,pit,cin,-3,-3.5
227,dal,nor,-3,-3.0
228,gnb,oti,48,-11.0
229,jax,nwe,-7,14.5
230,kan,clt,-7,6.0
231,htx,min,-17,-7.5
232,nyj,sdg,-10,-3.0
233,phi,was,-7,6.0
234,tam,ram,-15,-3.0
235,car,rai,11,-9.5
236,den,cle,22,-11.0
237,crd,chi,-15,7.0
238,rav,nyg,19,2.5
239,sea,sfo,29,-2.0
240,atl,tam,-5,-3.0
241,buf,nyj,19,-3.5
242,pit,cle,14,-9.5
243,clt,htx,12,6.0
244,oti,jax,18,-5.5
245,nor,car,-6,-4.0
246,det,chi,-2,3.0
247,cin,rav,6,-3.0
248,nyg,phi,35,-6.5
249,sdg,rai,3,-8.0
250,sfo,crd,14,-16.5
251,den,kan,35,-17.0
252,min,gnb,3,3.0
253,nwe,mia,28,-10.0
254,sea,ram,7,-12.0
255,was,dal,10,-3.0
