,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,295.0,5026.0,1060.0,4.7,25.0,7.0,310.0,339.0,598.0,3640.0,21.0,18.0,5.6,200.0,410.0,1386.0,6.0,3.4,66.0,110.0,880.0,44.0,202.0,29.2,12.4,361.0,4973.0,1008.0,4.9,21.0,6.0,283.0,343.0,564.0,3541.0,24.0,15.0,5.9,187.0,407.0,1432.0,12.0,3.5,68.0,129.0,1128.0,28.0,200.0,31.5,10.5,233.0,82.0,35.2,16.0,7.0,43.8,48.0,20.0,41.7,224.0,80.0,35.7,16.0,7.0,43.8,46.0,27.0,58.7
1,atl,353.0,5837.0,984.0,5.9,18.0,6.0,330.0,343.0,530.0,3990.0,21.0,12.0,7.2,200.0,430.0,1847.0,12.0,4.3,101.0,102.0,918.0,29.0,165.0,41.2,10.3,315.0,5094.0,994.0,5.1,16.0,8.0,323.0,362.0,553.0,3429.0,22.0,8.0,5.8,197.0,402.0,1665.0,9.0,4.1,97.0,103.0,880.0,29.0,164.0,36.0,9.1,197.0,88.0,44.7,13.0,4.0,30.8,54.0,27.0,50.0,196.0,75.0,38.3,19.0,13.0,68.4,48.0,22.0,45.8
2,rav,395.0,4886.0,1054.0,4.6,17.0,4.0,311.0,363.0,567.0,3030.0,20.0,13.0,5.1,168.0,460.0,1856.0,14.0,4.0,111.0,91.0,749.0,32.0,192.0,36.5,8.9,303.0,5201.0,1045.0,5.0,34.0,12.0,296.0,333.0,569.0,3421.0,18.0,22.0,5.6,179.0,435.0,1780.0,12.0,4.1,87.0,96.0,807.0,30.0,195.0,29.7,17.4,223.0,76.0,34.1,16.0,10.0,62.5,52.0,30.0,57.7,222.0,82.0,36.9,16.0,6.0,37.5,45.0,22.0,48.9
3,buf,302.0,4842.0,1010.0,4.8,16.0,6.0,278.0,289.0,476.0,2825.0,16.0,10.0,5.4,149.0,487.0,2017.0,12.0,4.1,105.0,98.0,872.0,24.0,180.0,31.7,8.9,359.0,5682.0,1066.0,5.3,25.0,7.0,348.0,370.0,573.0,3688.0,14.0,18.0,6.1,199.0,466.0,1994.0,22.0,4.3,121.0,97.0,873.0,28.0,183.0,37.2,13.1,241.0,101.0,41.9,15.0,2.0,13.3,44.0,23.0,52.3,214.0,82.0,38.3,20.0,11.0,55.0,57.0,30.0,52.6
4,car,363.0,5179.0,1026.0,5.0,22.0,6.0,320.0,293.0,501.0,3077.0,22.0,16.0,5.7,167.0,490.0,2102.0,15.0,4.3,121.0,83.0,682.0,32.0,179.0,37.4,11.7,327.0,5074.0,953.0,5.3,21.0,11.0,282.0,351.0,550.0,3665.0,25.0,10.0,6.1,187.0,353.0,1409.0,7.0,4.0,69.0,101.0,867.0,26.0,180.0,33.9,11.7,222.0,93.0,41.9,11.0,5.0,45.5,52.0,28.0,53.8,206.0,78.0,37.9,20.0,7.0,35.0,44.0,21.0,47.7
5,chi,264.0,4599.0,934.0,4.9,22.0,10.0,266.0,291.0,473.0,2811.0,13.0,12.0,5.5,144.0,422.0,1788.0,13.0,4.2,92.0,115.0,943.0,30.0,174.0,24.1,12.1,320.0,5106.0,1003.0,5.1,22.0,14.0,298.0,343.0,529.0,3376.0,18.0,8.0,5.9,180.0,432.0,1730.0,10.0,4.0,85.0,118.0,910.0,33.0,178.0,33.1,11.2,205.0,71.0,34.6,18.0,7.0,38.9,33.0,20.0,60.6,219.0,86.0,39.3,11.0,6.0,54.5,49.0,24.0,49.0
6,cin,290.0,4488.0,927.0,4.8,23.0,11.0,267.0,304.0,510.0,3122.0,25.0,12.0,5.7,165.0,377.0,1366.0,6.0,3.6,72.0,110.0,1027.0,30.0,185.0,26.5,11.4,349.0,5425.0,1091.0,5.0,14.0,3.0,325.0,336.0,561.0,3379.0,20.0,11.0,5.6,173.0,489.0,2046.0,13.0,4.2,111.0,106.0,906.0,41.0,184.0,37.0,7.6,199.0,67.0,33.7,12.0,5.0,41.7,43.0,24.0,55.8,241.0,98.0,40.7,19.0,9.0,47.4,56.0,26.0,46.4
7,cle,234.0,4942.0,1008.0,4.9,41.0,13.0,290.0,312.0,574.0,3228.0,15.0,28.0,5.2,157.0,384.0,1714.0,11.0,4.5,97.0,110.0,924.0,36.0,186.0,22.0,21.0,410.0,5250.0,1026.0,5.1,13.0,6.0,315.0,360.0,525.0,3684.0,28.0,7.0,6.6,189.0,467.0,1566.0,14.0,3.4,95.0,101.0,906.0,31.0,188.0,36.2,6.9,216.0,73.0,33.8,23.0,12.0,52.2,39.0,19.0,48.7,224.0,91.0,40.6,10.0,5.0,50.0,46.0,31.0,67.4
8,dal,354.0,5311.0,1005.0,5.3,22.0,9.0,314.0,309.0,493.0,3141.0,22.0,13.0,6.0,162.0,480.0,2170.0,18.0,4.5,127.0,97.0,939.0,25.0,171.0,36.3,11.1,332.0,5089.0,1000.0,5.1,21.0,11.0,312.0,371.0,559.0,3425.0,28.0,10.0,5.7,181.0,403.0,1664.0,7.0,4.1,96.0,107.0,880.0,35.0,171.0,31.6,10.5,203.0,87.0,42.9,19.0,10.0,52.6,52.0,31.0,59.6,210.0,90.0,42.9,13.0,4.0,30.8,49.0,28.0,57.1
9,den,289.0,5185.0,1075.0,4.8,34.0,12.0,297.0,332.0,566.0,3333.0,19.0,22.0,5.4,180.0,457.0,1852.0,8.0,4.1,92.0,113.0,885.0,25.0,193.0,26.4,16.6,382.0,4640.0,952.0,4.9,17.0,7.0,266.0,294.0,491.0,3210.0,29.0,10.0,6.1,166.0,428.0,1430.0,9.0,3.3,68.0,89.0,821.0,32.0,194.0,32.5,8.8,241.0,94.0,39.0,20.0,7.0,35.0,48.0,19.0,39.6,209.0,66.0,31.6,21.0,7.0,33.3,41.0,24.0,58.5
