,home_team,away_team,ht_pts_diff,ht_vegas_line
0,phi,atl,6,-1.0
1,rav,buf,44,-7.5
2,clt,cin,-11,1.0
3,cle,pit,0,3.5
4,nwe,htx,7,-6.0
5,nyg,jax,-5,2.5
6,mia,oti,7,1.0
7,min,sfo,8,-6.0
8,nor,tam,-8,-10.0
9,sdg,kan,-10,-3.5
10,car,dal,8,-2.5
11,crd,was,-18,-2.0
12,den,sea,3,-3.0
13,gnb,chi,1,-6.5
14,det,nyj,-31,-7.0
15,rai,ram,-20,6.5
16,cin,rav,11,-1.0
17,atl,car,7,-5.5
18,buf,sdg,-11,7.5
19,nor,cle,3,-10.0
20,was,clt,-12,-6.0
21,gnb,min,0,2.0
22,oti,htx,3,3.5
23,pit,kan,-5,-4.5
24,nyj,mia,-8,-3.0
25,tam,phi,6,3.0
26,ram,crd,34,-13.5
27,sfo,det,3,-6.0
28,den,rai,1,-5.5
29,jax,nwe,11,2.0
30,dal,nyg,7,-3.0
31,chi,sea,7,-4.5
32,cle,nyj,4,-3.0
33,atl,nor,-6,-1.5
34,min,buf,-21,-16.5
35,car,cin,10,-2.5
36,phi,clt,4,-6.5
37,rav,den,13,-5.5
38,was,gnb,14,2.5
39,htx,nyg,-5,-6.5
40,jax,oti,-3,-10.0
41,kan,sfo,11,-5.5
42,mia,rai,8,-3.0
43,ram,sdg,12,-7.5
44,crd,chi,-2,5.5
45,sea,dal,11,-1.0
46,det,nwe,16,7.0
47,tam,pit,-3,-1.0
48,ram,min,7,-7.5
49,atl,cin,-1,-3.5
50,gnb,buf,22,-8.5
51,chi,tam,38,-3.0
52,clt,htx,-3,1.0
53,dal,det,2,-2.5
54,jax,nyj,19,-7.5
55,nwe,mia,31,-6.5
56,oti,phi,3,3.0
57,rai,cle,3,-2.5
58,crd,sea,-3,3.5
59,nyg,nor,-15,3.5
60,sdg,sfo,2,-10.5
61,pit,rav,-12,-3.0
62,den,kan,-4,3.5
63,nwe,clt,14,-10.5
64,car,nyg,2,-7.0
65,pit,atl,24,-3.5
66,buf,oti,1,6.0
67,cin,mia,10,-6.5
68,cle,rav,3,3.0
69,nyj,den,18,-1.0
70,det,gnb,8,-1.0
71,kan,jax,16,-3.0
72,sdg,rai,16,-5.0
73,sfo,crd,-10,-3.0
74,phi,min,-2,-3.5
75,sea,ram,-2,7.5
76,htx,dal,3,-3.5
77,nor,was,24,-5.5
78,nyg,phi,-21,1.5
79,was,car,6,1.0
80,mia,chi,3,7.5
81,atl,tam,5,-3.0
82,htx,buf,7,-10.5
83,cin,pit,-7,-1.5
84,cle,sdg,-24,-1.0
85,nyj,clt,8,-2.5
86,min,crd,10,-10.0
87,rai,sea,-24,3.0
88,den,ram,-3,7.0
89,dal,jax,33,3.0
90,oti,rav,-21,2.5
91,nwe,kan,3,-3.5
92,gnb,sfo,3,-9.0
93,crd,den,-35,1.0
94,sdg,oti,1,-6.5
95,phi,car,-4,-5.0
96,chi,nwe,-7,1.0
97,mia,det,-11,3.0
98,clt,buf,32,-7.0
99,tam,cle,3,-3.5
100,jax,htx,-13,-3.5
101,nyj,min,-20,3.5
102,rav,nor,-1,-2.5
103,was,dal,3,1.0
104,sfo,ram,-29,8.0
105,kan,cin,35,-6.5
106,atl,nyg,3,-4.5
107,htx,mia,19,-7.5
108,jax,phi,-6,3.5
109,car,rav,15,2.5
110,chi,nyj,14,-8.5
111,det,sea,-14,-3.0
112,cin,tam,3,-3.5
113,pit,cle,15,-8.5
114,kan,den,7,-8.5
115,nyg,was,-7,1.0
116,rai,clt,-14,3.5
117,ram,gnb,2,-7.5
118,crd,sfo,3,2.5
119,min,nor,-10,2.5
120,buf,nwe,-19,13.5
121,sfo,rai,31,1.5
122,was,atl,-24,-1.5
123,car,tam,14,-6.0
124,min,det,15,-4.5
125,rav,pit,-7,-1.5
126,buf,chi,-32,10.5
127,cle,kan,-16,7.5
128,mia,nyj,7,-3.0
129,sea,sdg,-8,-1.0
130,den,htx,-2,-1.0
131,nor,ram,10,1.5
132,nwe,gnb,14,-5.0
133,dal,oti,-14,-4.5
134,pit,car,31,-3.5
135,cle,atl,12,5.5
136,chi,det,12,-7.5
137,cin,nor,-37,6.0
138,clt,jax,3,-3.0
139,kan,crd,12,-16.5
140,tam,was,-13,-3.5
141,nyj,buf,-31,-7.0
142,oti,nwe,24,6.5
143,rai,sdg,-14,10.5
144,gnb,mia,19,-11.0
145,ram,sea,5,-10.0
146,phi,dal,-7,-7.5
147,sfo,nyg,-4,-3.0
148,sea,gnb,3,-3.0
149,atl,dal,-3,-3.5
150,det,car,1,4.0
151,rav,cin,3,-6.5
152,clt,oti,28,-1.0
153,was,htx,-2,3.0
154,jax,pit,-4,4.0
155,nyg,tam,3,-3.0
156,crd,rai,-2,-4.5
157,sdg,den,-1,-7.5
158,nor,phi,41,-7.0
159,chi,min,5,-2.5
160,ram,kan,3,-3.0
161,det,chi,-7,3.0
162,dal,was,8,-7.0
163,nor,atl,14,-11.5
164,buf,jax,3,3.0
165,car,sea,-3,-3.0
166,cin,cle,-15,1.0
167,nyj,nwe,-14,13.0
168,phi,nyg,3,-4.5
169,rav,rai,17,-13.0
170,tam,sfo,18,-1.5
171,sdg,crd,35,-14.0
172,clt,mia,3,-9.0
173,den,pit,7,3.0
174,min,gnb,7,-3.5
175,htx,oti,17,-3.5
176,dal,nor,3,7.5
177,atl,rav,-10,-2.5
178,mia,buf,4,-3.5
179,tam,car,7,3.5
180,nyg,chi,3,4.0
181,cin,den,-14,4.0
182,htx,cle,16,-5.0
183,jax,clt,6,4.0
184,gnb,crd,-3,-13.5
185,det,ram,-14,10.5
186,rai,kan,-7,14.0
187,oti,nyj,4,-10.5
188,nwe,min,14,-6.0
189,sea,sfo,27,-10.0
190,pit,sdg,-3,-3.0
191,phi,was,15,-5.5
192,oti,jax,21,-5.5
193,gnb,atl,14,-4.0
194,buf,nyj,-4,-4.5
195,cle,car,6,1.0
196,htx,clt,-3,-4.0
197,kan,rav,3,-6.5
198,mia,nwe,1,9.5
199,tam,nor,-14,10.0
200,was,nyg,-24,3.0
201,sdg,cin,5,-17.0
202,sfo,den,6,3.0
203,crd,det,-14,2.5
204,dal,phi,6,-3.5
205,rai,pit,3,10.5
206,chi,ram,9,3.0
207,sea,min,14,-3.0
208,kan,sdg,-1,-3.5
209,nyj,htx,-7,7.0
210,den,cle,-1,-1.0
211,atl,crd,26,-10.0
212,buf,det,1,-2.5
213,chi,gnb,7,-5.5
214,cin,rai,14,-3.0
215,clt,dal,23,-3.0
216,jax,was,-3,-7.5
217,min,mia,24,-7.5
218,nyg,oti,-17,2.5
219,rav,tam,8,-8.5
220,sfo,sea,3,3.5
221,pit,nwe,7,2.5
222,ram,phi,-7,-13.5
223,car,nor,-3,6.0
224,oti,was,9,-11.5
225,sdg,rav,-12,-4.0
226,car,atl,-14,3.0
227,nwe,buf,12,-13.5
228,cle,cin,8,-10.0
229,clt,nyg,1,-10.0
230,dal,tam,7,-7.5
231,det,min,-18,6.5
232,nyj,gnb,-6,3.0
233,phi,htx,2,-1.0
234,mia,jax,-10,-3.0
235,sfo,chi,-5,4.0
236,crd,ram,-22,14.5
237,nor,pit,3,-6.5
238,sea,kan,7,1.0
239,rai,den,13,2.5
240,tam,atl,-2,2.5
241,buf,mia,25,-5.5
242,nor,car,-19,-8.0
243,nyg,dal,-1,-7.5
244,gnb,det,-31,-7.5
245,htx,jax,17,-7.0
246,nwe,nyj,35,-14.5
247,min,chi,-14,-6.0
248,pit,cin,3,-14.0
249,rav,cle,2,-7.0
250,sea,crd,3,-14.0
251,den,sdg,-14,7.0
252,kan,rai,32,-14.5
253,was,phi,-24,6.0
254,ram,sfo,16,-10.5
255,oti,clt,-16,5.5
