,team_abbr,points_for,yards,plays,yards_per_plbay,turnovers,fumbles_lost,first_downs,completions,pass_attempts,pass_yards,pass_tds,interceptions,pass_yards_per_attempt,pass_first_downs,rush_attempts,rush_yards,rush_tds,rush_yards_per_attempt,rush_first_downs,penalties,penalty_yards,penalty_first_downs,num_drives,scoring_percentage,turnover_percentage,o_points_for,o_yards,o_plays,o_yards_per_play,o_turnovers,o_fumbles_lost,o_first_downs,o_completions,o_pass_attempts,o_pass_yards,o_pass_tds,o_interceptions,o_pass_yards_per_attempt,o_pass_first_downs,o_rush_attempts,o_rush_yards,o_rush_tds,o_rush_yards_per_attempt,o_rush_first_downs,o_penalties,o_penalty_yards,o_penalty_first_downs,o_num_drives,o_scoring_percentage,o_turnover_percentage,3D_attempts,3D_conversions,3D_conversion_percentage,4D_attempts,4D_conversions,4D_conversion_percentage,red_zone_attempts,red_zone_tds,red_zone_td_percentage,o_3D_attempts,o_3D_conversions,o_3D_conversion_percentage,o_4D_attempts,o_4D_conversions,o_4D_conversion_percentage,o_red_zone_attempts,o_red_zone_tds,o_red_zone_td_percentage
0,crd,379.0,5542.0,1037.0,5.3,31.0,9.0,329.0,363.0,574.0,4002.0,24.0,22.0,6.5,205.0,422.0,1540.0,12.0,3.6,84.0,96.0,744.0,40.0,200.0,33.0,15.5,324.0,5079.0,1042.0,4.9,30.0,10.0,309.0,367.0,625.0,3728.0,29.0,20.0,5.5,208.0,370.0,1351.0,5.0,3.7,68.0,111.0,960.0,33.0,204.0,28.9,13.7,210.0,74.0,35.2,9.0,5.0,55.6,50.0,26.0,52.0,221.0,78.0,35.3,16.0,6.0,37.5,48.0,26.0,54.2
1,atl,353.0,5490.0,1024.0,5.4,28.0,11.0,330.0,445.0,659.0,4243.0,26.0,17.0,6.0,227.0,321.0,1247.0,11.0,3.9,64.0,91.0,788.0,39.0,179.0,34.1,14.5,443.0,6070.0,1003.0,6.1,21.0,11.0,326.0,341.0,516.0,3897.0,31.0,10.0,7.1,196.0,455.0,2173.0,14.0,4.8,102.0,104.0,885.0,28.0,175.0,45.1,11.4,207.0,89.0,43.0,14.0,6.0,42.9,52.0,27.0,51.9,209.0,96.0,45.9,11.0,7.0,63.6,57.0,34.0,59.6
2,rav,320.0,4918.0,1090.0,4.5,29.0,6.0,295.0,363.0,619.0,3590.0,19.0,23.0,5.4,189.0,423.0,1328.0,7.0,3.1,68.0,112.0,942.0,38.0,207.0,30.9,13.5,352.0,5368.0,1032.0,5.2,24.0,8.0,284.0,314.0,552.0,3681.0,25.0,16.0,6.2,176.0,440.0,1687.0,7.0,3.8,79.0,126.0,1196.0,29.0,204.0,31.4,10.3,253.0,92.0,36.4,16.0,6.0,37.5,52.0,24.0,46.2,233.0,78.0,33.5,14.0,8.0,57.1,41.0,20.0,48.8
3,buf,339.0,5410.0,1116.0,4.8,27.0,12.0,301.0,299.0,522.0,3103.0,16.0,15.0,5.4,149.0,546.0,2307.0,15.0,4.2,113.0,110.0,954.0,39.0,214.0,29.9,12.1,388.0,5334.0,1089.0,4.9,30.0,7.0,308.0,310.0,561.0,3271.0,28.0,23.0,5.3,170.0,471.0,2063.0,10.0,4.4,98.0,108.0,931.0,40.0,214.0,32.2,14.0,244.0,83.0,34.0,14.0,4.0,28.6,44.0,21.0,47.7,245.0,91.0,37.1,10.0,4.0,40.0,51.0,24.0,47.1
4,car,366.0,5069.0,999.0,5.1,19.0,6.0,319.0,292.0,473.0,3043.0,24.0,13.0,5.9,169.0,483.0,2026.0,14.0,4.2,122.0,80.0,671.0,28.0,170.0,36.5,9.4,241.0,4820.0,975.0,4.9,30.0,10.0,278.0,375.0,563.0,3429.0,17.0,20.0,5.5,178.0,352.0,1391.0,4.0,4.0,70.0,84.0,753.0,30.0,178.0,28.7,16.3,208.0,91.0,43.8,13.0,10.0,76.9,50.0,29.0,58.0,212.0,76.0,35.8,11.0,3.0,27.3,41.0,17.0,41.5
5,chi,445.0,6109.0,1013.0,6.0,23.0,10.0,344.0,373.0,579.0,4281.0,32.0,13.0,7.0,215.0,404.0,1828.0,13.0,4.5,102.0,85.0,708.0,27.0,182.0,39.0,12.1,478.0,6313.0,1021.0,6.2,28.0,9.0,353.0,315.0,507.0,3730.0,25.0,19.0,6.9,184.0,483.0,2583.0,22.0,5.3,147.0,69.0,647.0,22.0,178.0,42.7,15.2,197.0,83.0,42.1,13.0,8.0,61.5,60.0,35.0,58.3,200.0,83.0,41.5,16.0,12.0,75.0,59.0,34.0,57.6
6,cin,430.0,5891.0,1097.0,5.4,30.0,10.0,330.0,364.0,587.0,4136.0,33.0,20.0,6.7,205.0,481.0,1755.0,14.0,3.6,101.0,102.0,1000.0,24.0,201.0,32.3,14.9,305.0,4888.0,1042.0,4.7,31.0,11.0,282.0,362.0,614.0,3344.0,22.0,20.0,5.1,178.0,385.0,1544.0,6.0,4.0,72.0,69.0,692.0,32.0,197.0,27.4,15.2,225.0,92.0,40.9,21.0,12.0,57.1,46.0,34.0,73.9,225.0,74.0,32.9,16.0,5.0,31.3,36.0,18.0,50.0
7,cle,308.0,5423.0,1078.0,5.0,29.0,9.0,301.0,379.0,681.0,4040.0,26.0,20.0,5.5,200.0,348.0,1383.0,4.0,4.0,77.0,104.0,920.0,24.0,195.0,26.2,13.8,406.0,5319.0,1107.0,4.8,21.0,7.0,328.0,363.0,605.0,3538.0,29.0,14.0,5.5,197.0,462.0,1781.0,13.0,3.9,103.0,95.0,745.0,28.0,203.0,34.0,9.9,237.0,83.0,35.0,31.0,14.0,45.2,36.0,19.0,52.8,244.0,109.0,44.7,9.0,4.0,44.4,50.0,32.0,64.0
8,dal,439.0,5458.0,957.0,5.7,20.0,8.0,325.0,375.0,586.0,3954.0,33.0,12.0,6.4,213.0,336.0,1504.0,12.0,4.5,80.0,102.0,867.0,32.0,183.0,39.9,9.8,432.0,6645.0,1094.0,6.1,28.0,13.0,388.0,403.0,623.0,4589.0,33.0,15.0,7.0,231.0,437.0,2056.0,17.0,4.7,122.0,112.0,875.0,35.0,189.0,39.7,13.8,180.0,63.0,35.0,6.0,4.0,66.7,51.0,35.0,68.6,210.0,91.0,43.3,18.0,9.0,50.0,62.0,40.0,64.5
9,den,606.0,7317.0,1156.0,6.3,26.0,16.0,435.0,461.0,675.0,5444.0,55.0,10.0,7.8,293.0,461.0,1873.0,16.0,4.1,107.0,117.0,1000.0,35.0,202.0,47.5,10.4,399.0,5696.0,1074.0,5.3,26.0,9.0,339.0,357.0,613.0,4070.0,29.0,17.0,6.2,208.0,420.0,1626.0,15.0,3.9,90.0,97.0,807.0,41.0,206.0,32.5,12.6,205.0,95.0,46.3,9.0,8.0,88.9,67.0,51.0,76.1,218.0,83.0,38.1,15.0,4.0,26.7,60.0,37.0,61.7
