,home_team,away_team,ht_pts_diff,ht_vegas_line
0,den,rav,22,-7.5
1,buf,nwe,-2,10.5
2,chi,cin,3,-3.0
3,cle,mia,-13,-2.5
4,clt,rai,4,-11.5
5,det,min,10,-4.5
6,pit,oti,-7,-6.0
7,nor,atl,6,-3.5
8,jax,kan,-26,4.5
9,nyj,tam,1,6.0
10,car,sea,-5,3.5
11,ram,crd,3,-3.5
12,sfo,gnb,6,-5.0
13,dal,nyg,5,-3.5
14,was,phi,-6,-4.5
15,sdg,htx,-3,6.5
16,nwe,nyj,3,-11.5
17,buf,car,1,3.5
18,rav,cle,8,-7.0
19,clt,mia,-4,-3.0
20,kan,dal,1,-3.0
21,gnb,was,18,-8.0
22,phi,sdg,-3,-7.5
23,atl,ram,7,-5.5
24,chi,min,1,-6.5
25,htx,oti,6,-9.0
26,crd,det,4,2.0
27,tam,nor,-2,4.0
28,nyg,den,-18,4.0
29,rai,jax,10,-5.0
30,sea,sfo,26,-2.5
31,cin,pit,10,-6.5
32,phi,kan,-10,-3.5
33,dal,ram,24,-3.5
34,nwe,tam,20,-7.5
35,car,nyg,38,3.0
36,cin,gnb,4,3.0
37,nor,crd,24,-7.5
38,was,det,-7,1.0
39,rav,htx,21,1.0
40,oti,sdg,3,-3.0
41,min,cle,-4,-7.0
42,mia,atl,4,-2.5
43,nyj,buf,7,-2.5
44,sfo,clt,-20,-10.0
45,sea,jax,28,-20.0
46,pit,chi,-17,2.5
47,den,rai,16,-16.5
48,ram,sfo,-24,4.0
49,buf,rav,3,4.0
50,kan,nyg,24,-4.5
51,det,chi,8,-2.5
52,tam,crd,-3,-2.5
53,htx,sea,-3,2.0
54,cle,cin,11,4.5
55,jax,clt,-34,9.5
56,min,pit,7,3.0
57,oti,nyj,25,-3.5
58,sdg,dal,9,1.5
59,den,phi,32,-11.5
60,rai,was,-10,4.0
61,atl,nwe,-7,-3.0
62,nor,mia,21,-7.5
63,cle,buf,13,-4.0
64,ram,jax,14,-11.0
65,chi,nor,-8,1.5
66,cin,nwe,7,1.0
67,gnb,det,13,-9.5
68,mia,rav,-3,-2.5
69,nyg,phi,-15,-1.5
70,clt,sea,6,3.0
71,oti,kan,-9,3.0
72,crd,car,16,3.0
73,dal,den,-3,9.0
74,sfo,htx,31,-4.5
75,rai,sdg,10,5.0
76,atl,nyj,-2,-10.5
77,chi,nyg,6,-8.5
78,rav,gnb,-2,2.0
79,buf,cin,-3,6.0
80,cle,det,-14,2.5
81,kan,rai,17,-7.5
82,htx,ram,-25,-9.0
83,nyj,pit,-13,1.5
84,tam,phi,-11,3.0
85,min,car,-25,-2.5
86,den,jax,16,-26.5
87,sea,oti,7,-11.5
88,sfo,crd,12,-10.5
89,nwe,nor,3,-2.5
90,dal,was,15,-5.5
91,sdg,clt,10,0.0
92,crd,sea,-12,4.5
93,atl,tam,8,-6.5
94,mia,buf,-2,-6.5
95,det,cin,-3,-1.5
96,phi,dal,-14,-2.5
97,jax,sdg,-18,7.0
98,car,ram,15,-7.0
99,nyj,nwe,3,3.0
100,was,chi,4,1.0
101,oti,sfo,-14,3.0
102,pit,rav,3,-2.5
103,gnb,cle,18,-9.5
104,kan,htx,1,-6.0
105,clt,den,6,6.0
106,nyg,min,16,-3.5
107,tam,car,-18,6.5
108,nwe,mia,10,-5.5
109,nor,buf,18,-10.5
110,kan,cle,6,-7.0
111,phi,nyg,-8,-5.5
112,det,dal,1,-3.0
113,jax,sfo,-32,14.5
114,rai,pit,3,2.5
115,cin,nyj,40,-4.5
116,crd,atl,14,-3.0
117,den,was,24,-11.0
118,min,gnb,-13,7.5
119,ram,sea,-5,13.0
120,mia,cin,2,3.0
121,ram,oti,-7,3.0
122,buf,kan,-10,4.5
123,car,atl,24,-8.0
124,was,sdg,6,0.0
125,dal,min,4,-8.5
126,nyj,nor,6,5.5
127,rai,phi,-29,-1.0
128,sea,tam,3,-14.5
129,cle,rav,6,1.0
130,nwe,pit,24,-5.5
131,htx,clt,-3,1.0
132,gnb,chi,-7,-9.5
133,min,was,7,1.0
134,gnb,phi,-14,1.0
135,oti,jax,-2,-11.5
136,pit,buf,13,-2.5
137,rav,cin,3,-2.0
138,atl,sea,-23,3.0
139,chi,det,-2,1.5
140,clt,ram,-30,-7.0
141,nyg,rai,4,-7.0
142,sfo,car,-1,-5.5
143,crd,htx,3,-3.5
144,sdg,den,-8,7.0
145,nor,dal,32,-5.5
146,tam,mia,3,2.5
147,oti,clt,-3,3.0
148,chi,rav,3,-3.5
149,pit,det,10,3.0
150,buf,nyj,23,2.0
151,cin,cle,21,-4.5
152,phi,was,8,-4.0
153,tam,atl,13,-2.0
154,htx,rai,-5,-10.5
155,jax,crd,-13,9.0
156,mia,sdg,4,3.0
157,nyg,gnb,14,-3.0
158,nor,sfo,3,-3.5
159,sea,min,21,-13.0
160,den,kan,10,-7.5
161,car,nwe,4,-3.0
162,atl,nor,-4,7.0
163,ram,chi,21,-1.5
164,gnb,min,0,-5.5
165,htx,jax,-7,2.0
166,rav,nyj,16,-3.5
167,mia,car,-4,4.0
168,cle,pit,-16,-2.0
169,det,tam,-3,-7.0
170,kan,sdg,-3,-3.0
171,crd,clt,29,-3.0
172,rai,oti,-4,2.0
173,nyg,dal,-3,-2.5
174,nwe,den,3,2.5
175,was,sfo,-21,5.0
176,det,gnb,30,-6.0
177,dal,rai,7,-8.0
178,rav,pit,2,-3.0
179,cle,jax,-4,-7.5
180,clt,oti,8,-3.5
181,phi,crd,3,-3.5
182,htx,nwe,-3,6.5
183,nyj,mia,-20,-2.0
184,car,tam,21,-6.5
185,min,chi,3,-1.0
186,buf,atl,-3,-4.5
187,sfo,ram,10,-7.5
188,sdg,cin,-7,1.5
189,kan,den,-7,6.0
190,was,nyg,-7,-1.0
191,sea,nor,27,-5.0
192,jax,htx,7,3.5
193,gnb,atl,1,-3.5
194,tam,buf,21,-2.5
195,cin,clt,14,-7.0
196,nwe,cle,1,-9.5
197,phi,det,14,-2.0
198,pit,mia,-6,-3.0
199,nyj,rai,10,-3.0
200,was,kan,-35,3.0
201,rav,min,3,-6.0
202,den,oti,23,-13.5
203,crd,ram,20,-4.5
204,sdg,nyg,23,-4.0
205,sfo,sea,2,-2.0
206,nor,car,18,-3.0
207,chi,dal,17,-1.5
208,den,sdg,-7,-9.5
209,jax,buf,-7,4.0
210,clt,htx,22,-6.0
211,mia,nwe,4,-2.5
212,min,phi,18,7.0
213,tam,sfo,-19,4.5
214,atl,was,1,-5.5
215,cle,chi,-7,-1.0
216,nyg,sea,-23,9.5
217,car,nyj,10,-10.0
218,rai,kan,-25,6.0
219,dal,gnb,-1,-4.0
220,ram,nor,11,7.0
221,oti,crd,-3,3.0
222,pit,cin,10,1.5
223,det,rav,-2,-5.5
224,ram,tam,10,-3.5
225,buf,mia,19,1.5
226,cin,min,28,-7.5
227,nyj,cle,11,-1.5
228,kan,clt,-16,-7.0
229,htx,den,-24,9.5
230,jax,oti,-4,4.0
231,was,dal,-1,2.5
232,car,nor,4,-3.0
233,det,nyg,-3,-9.0
234,sea,crd,-7,-9.0
235,gnb,pit,-7,-2.0
236,rav,nwe,-34,-1.5
237,sdg,rai,13,-9.0
238,phi,chi,43,-3.0
239,sfo,atl,10,-14.5
240,cin,rav,17,-7.0
241,pit,cle,13,-9.5
242,clt,jax,20,-11.5
243,oti,htx,6,-6.5
244,mia,nyj,-13,-7.0
245,nyg,was,14,-3.5
246,atl,car,-1,5.5
247,min,det,1,2.5
248,nwe,buf,14,-7.0
249,chi,gnb,-5,3.0
250,crd,sfo,-3,-3.0
251,rai,den,-20,10.0
252,nor,tam,25,-10.5
253,sdg,kan,3,-14.5
254,sea,ram,18,-12.5
255,dal,phi,-2,7.0
