,home_team,away_team,ht_score,at_score,total_points,ht_pts_diff,ht_vegas_line
227,htx,rav,25,13,38,12,6.5
228,pit,kan,20,12,32,8,-2.5
229,nyj,nwe,16,17,33,-1,10
230,nor,atl,14,30,44,-16,-6
231,chi,det,14,20,34,-6,10
232,tam,gnb,3,20,23,-17,12
233,mia,min,37,35,72,2,-4.5
234,car,cle,17,13,30,4,-6
235,ram,nyg,27,37,64,-10,-6.5
236,rai,buf,26,24,50,2,6.5
237,dal,clt,42,7,49,35,-3
238,crd,sea,6,35,41,-29,9
239,cin,den,37,28,65,9,3.5
240,nwe,buf,9,17,26,-8,-6.5
241,min,chi,13,9,22,4,-7
242,rav,cle,20,10,30,10,-13.5
243,oti,clt,10,27,37,-17,7.5
244,mia,nyj,24,37,61,-13,-6.5
245,nyg,phi,26,34,60,-8,0
246,htx,jax,23,17,40,6,-7.5
247,kan,sdg,19,7,26,12,-2.5
248,tam,nor,20,23,43,-3,5.5
249,was,dal,17,44,61,-27,6
250,atl,car,3,34,37,-31,-3
251,sfo,crd,20,17,37,3,-6.5
252,den,rai,47,14,61,33,-14
253,gnb,det,30,20,50,10,-7
254,sea,ram,20,6,26,14,-11
255,pit,cin,27,17,44,10,-3.5
