,home_team,away_team,ht_pts_diff,ht_vegas_line
0,tam,dal,2,-8.5
1,atl,phi,-26,-3.5
2,buf,pit,-7,-6.5
3,car,nyj,5,-4.0
4,cin,min,3,3.0
5,clt,sea,-12,3.0
6,oti,crd,-25,-3.0
7,det,sfo,-8,9.0
8,htx,jax,16,3.0
9,was,sdg,-4,-1.5
10,kan,cle,4,-5.5
11,nyg,den,-14,3.0
12,nor,gnb,35,3.5
13,nwe,mia,-1,-3.0
14,ram,chi,20,-8.0
15,rai,rav,6,4.0
16,was,nyg,1,-3.5
17,mia,buf,-35,3.5
18,car,nor,19,3.0
19,chi,cin,3,3.0
20,cle,htx,10,3.0
21,clt,ram,-3,-3.0
22,jax,den,-10,-3.0
23,nyj,nwe,-19,-3.0
24,phi,sfo,-6,-3.0
25,pit,rai,-9,-3.0
26,tam,atl,23,3.0
27,crd,min,1,3.0
28,sdg,dal,-3,-3.0
29,sea,oti,-3,-3.0
30,rav,kan,1,3.0
31,gnb,det,18,3.0
32,htx,car,-15,-3.0
33,nyg,atl,-3,-3.0
34,buf,was,22,3.0
35,cle,chi,20,3.0
36,pit,cin,-14,-3.0
37,oti,clt,9,3.0
38,jax,crd,-12,-3.0
39,det,rav,-2,-3.0
40,kan,sdg,-6,-3.0
41,nwe,nor,-15,3.0
42,den,nyj,26,3.0
43,rai,mia,3,3.0
44,min,sea,13,3.0
45,ram,tam,10,3.0
46,sfo,gnb,-2,-3.0
47,dal,phi,20,3.0
48,cin,jax,3,3.0
49,atl,was,-4,-3.0
50,buf,htx,40,3.0
51,dal,car,8,3.0
52,chi,det,10,3.0
53,min,cle,-7,-3.0
54,mia,clt,-10,-3.0
55,phi,kan,-12,-3.0
56,nor,nyg,-6,-3.0
57,nyj,oti,3,3.0
58,ram,crd,-17,-3.0
59,sfo,sea,-7,-3.0
60,den,rav,-16,-3.0
61,gnb,pit,10,3.0
62,nwe,tam,-2,-3.0
63,sdg,rai,14,3.0
64,sea,ram,-9,-3.0
65,atl,nyj,7,3.0
66,car,phi,-3,-3.0
67,cin,gnb,-3,-3.0
68,pit,den,8,3.0
69,min,det,2,3.0
70,htx,nwe,-3,-3.0
71,jax,oti,-18,-3.0
72,tam,mia,28,3.0
73,was,nor,-11,3.0
74,rai,chi,-11,-3.0
75,sdg,cle,5,3.0
76,crd,sfo,7,3.0
77,dal,nyg,24,3.0
78,kan,buf,-18,-3.0
79,rav,clt,6,3.0
80,phi,tam,-6,-3.0
81,jax,mia,3,3.0
82,car,min,-6,-3.0
83,chi,gnb,-10,-3.0
84,det,cin,-23,-3.0
85,clt,htx,28,3.0
86,was,kan,-18,-3.0
87,nyg,ram,-27,-3.0
88,rav,sdg,28,3.0
89,cle,crd,-23,-3.0
90,nwe,dal,-6,-3.0
91,den,rai,-10,-3.0
92,pit,sea,3,3.0
93,oti,buf,3,3.0
94,cle,den,3,3.0
95,mia,atl,-2,-3.0
96,nyg,car,22,3.0
97,rav,cin,-24,-3.0
98,gnb,was,14,3.0
99,oti,kan,24,3.0
100,nwe,nyj,41,3.0
101,ram,det,9,3.0
102,rai,phi,11,3.0
103,tam,chi,35,3.0
104,crd,htx,26,3.0
105,sfo,clt,-12,-3.0
106,sea,nor,-3,3.0
107,crd,gnb,-3,-3.0
108,atl,car,-6,-3.0
109,buf,mia,15,3.0
110,chi,sfo,-11,-3.0
111,nyj,cin,3,3.0
112,cle,pit,-5,-3.0
113,clt,oti,-3,-3.0
114,det,phi,-38,-3.0
115,htx,ram,-16,-3.0
116,sea,jax,24,3.0
117,sdg,nwe,-3,-3.0
118,nor,tam,9,-3.0
119,den,was,7,3.0
120,min,dal,-4,-3.0
121,kan,nyg,3,3.0
122,clt,nyj,15,3.0
123,nor,atl,-2,-3.0
124,jax,buf,3,3.0
125,dal,den,-14,-3.0
126,rav,min,3,3.0
127,car,nwe,-18,-3.0
128,cin,cle,-25,-3.0
129,mia,htx,8,3.0
130,nyg,rai,7,3.0
131,phi,sdg,-3,-3.0
132,sfo,crd,-14,-3.0
133,kan,gnb,6,3.0
134,ram,oti,-12,-3.0
135,pit,chi,2,3.0
136,mia,rav,12,3.0
137,dal,atl,40,3.0
138,nyj,buf,-28,-3.0
139,pit,det,0,3.0
140,oti,nor,2,3.0
141,was,tam,10,3.0
142,nwe,cle,38,3.0
143,clt,jax,6,3.0
144,sdg,min,-7,-3.0
145,crd,car,-24,-3.0
146,den,phi,-17,-3.0
147,gnb,sea,17,3.0
148,rai,kan,-27,-3.0
149,sfo,ram,21,3.0
150,atl,nwe,-25,-3.0
151,buf,clt,-26,-3.0
152,chi,rav,-3,-3.0
153,oti,htx,-9,-3.0
154,jax,sfo,-20,-3.0
155,phi,nor,11,3.0
156,car,was,-6,-3.0
157,cle,det,3,3.0
158,min,gnb,3,3.0
159,nyj,mia,-7,-3.0
160,rai,cin,-19,-3.0
161,kan,dal,10,3.0
162,sea,crd,-10,-3.0
163,sdg,pit,4,3.0
164,tam,nyg,20,3.0
165,det,chi,-2,-3.0
166,dal,rai,-3,-3.0
167,nor,buf,-25,-3.0
168,jax,atl,-7,-3.0
169,cin,pit,31,3.0
170,htx,nyj,-7,-3.0
171,nyg,phi,6,3.0
172,mia,car,23,3.0
173,clt,tam,-7,-3.0
174,nwe,oti,23,3.0
175,den,sdg,15,3.0
176,sfo,min,8,3.0
177,gnb,ram,8,3.0
178,rav,cle,6,3.0
179,was,sea,2,3.0
180,nor,dal,-10,-3.0
181,atl,tam,-13,-3.0
182,chi,crd,-11,-3.0
183,cin,sdg,-19,-3.0
184,det,min,2,3.0
185,nyj,phi,-15,-3.0
186,htx,clt,-31,-3.0
187,mia,nyg,11,3.0
188,sea,sfo,7,3.0
189,rai,was,-2,-3.0
190,ram,jax,30,3.0
191,pit,rav,1,3.0
192,kan,den,13,3.0
193,buf,nwe,-4,-3.0
194,min,pit,8,3.0
195,car,atl,-8,-3.0
196,cin,sfo,-3,-3.0
197,cle,rav,2,3.0
198,was,dal,-7,-3.0
199,htx,sea,-20,-3.0
200,oti,jax,20,3.0
201,kan,rai,39,3.0
202,nyj,nor,-21,3.0
203,den,det,28,3.0
204,sdg,nyg,16,3.0
205,tam,buf,6,3.0
206,gnb,chi,15,3.0
207,crd,ram,-7,-3.0
208,sdg,kan,-6,-3.0
209,clt,nwe,10,3.0
210,buf,car,17,3.0
211,det,crd,18,3.0
212,nyg,dal,-15,-3.0
213,rav,gnb,-1,-3.0
214,jax,htx,-14,-3.0
215,mia,nyj,7,3.0
216,pit,oti,6,3.0
217,sfo,atl,18,3.0
218,den,cin,-5,-3.0
219,tam,nor,-9,3.0
220,cle,rai,-2,-3.0
221,chi,min,-8,-3.0
222,phi,was,10,3.0
223,ram,sea,10,3.0
224,oti,sfo,3,3.0
225,gnb,cle,2,3.0
226,crd,clt,-6,-3.0
227,atl,det,4,3.0
228,nwe,buf,-12,-3.0
229,car,tam,-26,-3.0
230,cin,rav,20,-7.0
231,htx,sdg,12,7.0
232,nyj,jax,5,7.0
233,min,ram,-7,-7.0
234,phi,nyg,24,7.0
235,sea,chi,-1,-7.0
236,rai,den,4,7.0
237,kan,pit,26,7.0
238,dal,was,42,7.0
239,nor,mia,-17,-7.0
240,buf,atl,14,7.0
241,nor,car,8,7.0
242,chi,nyg,26,7.0
243,cin,kan,3,-7.0
244,clt,rai,-3,-7.0
245,dal,crd,-3,-7.0
246,nwe,jax,40,7.0
247,oti,mia,31,7.0
248,nyj,tam,-4,-7.0
249,was,phi,-4,-7.0
250,sdg,den,21,7.0
251,sfo,htx,16,7.0
252,sea,det,22,7.0
253,rav,ram,-1,-7.0
254,gnb,min,27,7.0
255,pit,cle,12,7.0
256,den,kan,-4,-7.0
257,phi,dal,-25,-7.0
258,atl,nor,-10,-7.0
259,buf,nyj,17,7.0
260,tam,car,24,7.0
261,min,chi,14,7.0
262,cle,cin,5,7.0
263,jax,clt,15,7.0
264,det,gnb,7,7.0
265,htx,oti,-3,-7.0
266,mia,nwe,9,7.0
267,nyg,was,-15,-7.0
268,rav,pit,-3,-7.0
269,crd,sea,-8,-7.0
270,ram,sfo,-3,-7.0
271,rai,sdg,3,7.0
